ா	a
வழங்கினார்	ʋaɻaŋkinaːɾ
வளர்ச்சித்	ʋaɭaɾt͡ʃt͡ʃit̪
வாக்களித்த	ʋaːkkaɭit̪t̪a
டாக்டர்கள்	ʈaːkʈaɾkaɭ
ராதேஷ்யாம்	ɾaːt̪eːʂjaːm
வருவதற்கான	ʋaɾuʋat̪arkaːna
வாஷிடங்டன்	ʋaːʂiʈaŋʈan
ராஞ்சியில்	ɾaːɲt͡ʃijil
வாழ்வதற்கு	ʋaːɻʋat̪arku
டெக்ஹின்ட்	ʈekhinʈ
வெளியாகிய்	ʋeɭijaːkij
வெளியிட்ட்	ʋeɭijiʈʈ
வெடிகுண்டு	ʋeʈikuɳʈu
வெளிநாட்டு	ʋeɭin̪aːʈʈu
வேண்டுகோள்	ʋeːɳʈukoːɭ
வேண்டுமாறு	ʋeːɳʈumaːru
விலங்கியல்	ʋilaŋkijal
விமர்சித்த	ʋimaɾt͡ʃit̪t̪a
விதித்தால்	ʋit̪it̪t̪aːl
விளையாட்டு	ʋiɭajjaːʈʈu
விழிப்புப்	ʋiɻippup
விரும்பும்	ʋiɾumpum
விடுத்ததன்	ʋiʈut̪t̪at̪an
விடுத்தார்	ʋiʈut̪t̪aːɾ
வீரர்களைய்	ʋiːɾaɾkaɭajj
வீரர்களும்	ʋiːɾaɾkaɭum
அபாலீர்ப்பு	a p aː l iː ɾ pː u
அமைச்சரவைக்	amajt͡ʃt͡ʃaɾaʋajk
அமைச்சர்கள்	amajt͡ʃt͡ʃaɾkaɭ
அனுமதிக்கப்	anumat̪ikkap
அந்நாட்டின்	an̪n̪aːʈʈin
அப்போதுதான்	appoːt̪ut̪aːn
அறிக்கையில்	arikkajjil
அதிகரிக்கப்	at̪ikaɾikkap
அதிர்ச்சியை	at̪iɾt͡ʃt͡ʃijaj
ஆனைக்கொம்பு	aː n a ɪ̯ kː o m b u
ஆப்பிரிக்கா	aː pː i ɾ i kː aː
ஆஸ்திரேலியா	aː s t̪ i ɾ eː l i j aː
ஆகைச்சுட்டி	aː ɡ a ɪ̯ t͡ɕː u ʈː i
ஆடிக்காற்று	aː ɖ i kː aː rː u
ஆட்டுப்பால்	aː ʈː u pː aː l
அவசியமாகும்	aʋat͡ʃijamaːkum
அவர்களுக்கு	aʋaɾkaɭukku
அளிக்குமாறு	aɭikkumaːru
அடிப்படையாக	aʈippaʈajjaːka
ஆய்வுத்துறை	aːjʋut̪t̪uraj
ஆகியவற்றைக்	aːkijaʋarrajk
ஆகியவற்றின்	aːkijaʋarrin
அங்கிருந்து	aŋkiɾun̪t̪u
ஆலயத்துக்கு	aːlajat̪t̪ukku
ஆலோசித்தார்	aːloːt͡ʃit̪t̪aːɾ
ஆப்பிரிக்கா	aːppiɾikkaː
ஆற்றுகிறோம்	aːrrukiroːm
ஆஸ்திரேலியா	aːst̪iɾeːlijaː
ஆதரவாளர்கள்	aːt̪aɾaʋaːɭaɾkaɭ
அணுகுமுறைய்	aɳukumurajj
அடுத்தடுத்த	aʈut̪t̪aʈut̪t̪a
அவ்விழாவைப்	aʋʋiɻaːʋajp
எதிர்வெட்டு	e d̪ i ɾ ʋ e ʈː u
என்றைக்கும்	e n r a ɪ̯ kː u m
எந்திரங்கள்	e n̪ d̪ i ɾ ɐ ŋ ɡ ɐ ɭ
எப்பொழுதும்	e pː o ɻ u d̪ u m
எற்றைக்கும்	e rː a ɪ̯ kː u m
எஸ்பெராண்டோ	e s p e ɾ aː ɳ ɖ oː
எசுத்தோனியா	e t͡ɕ u t̪ː oː n i j aː
எத்துணையும்	e t̪ː u ɳ a ɪ̯ j u m
எத்தனையாவது	e t̪ː ɐ n a ɪ̯ j aː ʋ ɐ d̪ u
எட்டுத்தொகை	e ʈː u t̪ː o ɡ a ɪ̯
எஸ்டேட்டில்	esʈeːʈʈil
எதிர்ப்புக்	et̪iɾppuk
எதிர்ப்புத்	et̪iɾpput̪
ஏமாற்றுபவன்	eː m aː rː u b ɐ ʋ ɐ n
ஏமாற்றுபவள்	eː m aː rː u b ɐ ʋ ɐ ɭ
ஏழிலைப்பாலை	eː ɻ i l a ɪ̯ pː aː l a ɪ̯
ஏற்படுத்தப்	eːrpaʈut̪t̪ap
ஏற்றுள்ளார்	eːrruɭɭaːɾ
எண்ணிக்கையை	eɳɳikkajjaj
எட்டுவதற்கு	eʈʈuʋat̪arku
ஹெலிகாப்டர்	helikaːpʈaɾ
இயக்குரோதம்	i j ɐ kː u ɾ oː d̪ ɐ m
இனப்படுகொலை	i n ɐ pː ɐ ɖ u ɡ o l a ɪ̯
இந்தோனேசியா	i n̪ d̪ oː n eː t͡ɕ i j aː
இஸ்லாமாபாத்	i s l aː m aː b aː d̪
இசைப்பாட்டு	i t͡ɕ a ɪ̯ pː aː ʈː u
இடையெழுத்து	i ɖ a ɪ̯ j e ɻ u t̪ː u
இளைப்பாற்று	i ɭ a ɪ̯ pː aː rː u
இராமமுழியன்	i ɾ aː m ɐ m u ɻ i j ɐ n
இருமையின்மை	i ɾ u m a ɪ̯ j i n m a ɪ̯
இங்கிலாந்து	i ŋ ɡ i l aː n̪ d̪ u
இரத்தினபுரி	i ɾ ɐ t̪ː i n ɐ b u ɾ i
இளஞ்சிவப்பு	i ɭ ɐ ɲ d͡ʑ i ʋ ɐ pː u
இயக்கத்தின்	ijakkat̪t̪in
இலங்கைக்கான	ilaŋkajkkaːna
இந்நிலையில்	in̪n̪ilajjil
இந்தளவுக்கு	in̪t̪aɭaʋukku
இந்தியர்கள்	in̪t̪ijaɾkaɭ
இந்தியர்களை	in̪t̪ijaɾkaɭaj
இந்தியாவைச்	in̪t̪ijaːʋajt͡ʃ
இந்தியாவில்	in̪t̪ijaːʋil
இந்தியாவின்	in̪t̪ijaːʋin
இப்போதைக்கு	ippoːt̪ajkku
இத்திருவிழா	it̪t̪iɾuʋiɻaː
இத்தொழிலில்	it̪t̪oɻilil
இதுகுறித்து	it̪ukurit̪t̪u
இடங்களுக்க்	iʈaŋkaɭukk
இடங்களுக்கு	iʈaŋkaɭukku
இடிப்பதற்க்	iʈippat̪ark
இங்கிலாந்து	iŋkilaːn̪t̪u
இருக்கிறார்	iɾukkiraːɾ
இருக்கிறோம்	iɾukkiroːm
இருதரப்பில்	iɾut̪aɾappil
இவ்விருதைப்	iʋʋiɾut̪ajp
ஈடுபட்டுள்ள	iːʈupaʈʈuɭɭa
யாழ்ப்பாணம்	j aː ɻ pː aː ɳ ɐ m
காடைக்கண்ணி	k aː ɖ a ɪ̯ kː ɐ ɳː i
காஞ்சிபுரம்	k aː ɲ d͡ʑ i b u ɾ ɐ m
காரியசித்தி	k aː ɾ i j ɐ t͡ɕ i t̪ː i
காரணப்பெயர்	k aː ɾ ɐ ɳ ɐ pː e j ɐ ɾ
கேசரியாசனம்	k eː t͡ɕ ɐ ɾ i j aː t͡ɕ ɐ n ɐ m
கேள்விப்படு	k eː ɭ ʋ i pː ɐ ɖ u
கிறிஸ்துமஸ்	k i r i s t̪ u m ɐ s
கிருத்திரம்	k i ɾ u t̪ː i ɾ ɐ m
கிருஷ்ணகிரி	k i ɾ u ʂ ɳ ɐ ɡ i ɾ i
கிருட்டிணன்	k i ɾ u ʈː i ɳ ɐ n
கீழ்ப்பாகம்	k iː ɻ pː aː ɡ ɐ m
கொழுக்கட்டை	k o ɻ u kː ɐ ʈː a ɪ̯
கொடுந்தமிழ்	k o ɖ u n̪ d̪ ɐ m i ɻ
கொண்டாட்டம்	k o ɳ ɖ aː ʈː ɐ m
கொண்டலாத்தி	k o ɳ ɖ ɐ l aː t̪ː i
கோலாலம்பூர்	k oː l aː l ɐ m b uː ɾ
குலோத்துங்க	k u l oː t̪ː u ŋ ɡ ɐ
குறிப்பிடம்	k u r i pː i ɖ ɐ m
குணிப்பெயர்	k u ɳ i pː e j ɐ ɾ
குருத்துவம்	k u ɾ u t̪ː u ʋ ɐ m
குங்கிலியம்	k u ŋ ɡ i l i j ɐ m
குங்குமப்பூ	k u ŋ ɡ u m ɐ pː uː
கூடைப்பந்து	k uː ɖ a ɪ̯ pː ɐ n̪ d̪ u
கூடாரத்தில்	k uː ɖ aː ɾ ɐ t̪ː i l
கதிரியக்கம்	k ɐ d̪ i ɾ i j ɐ kː ɐ m
க்ஷேத்திரம்	k ʂ eː t̪ː i ɾ ɐ m
கப்பற்சேதம்	k ɐ pː ɐ r t͡ɕ eː d̪ ɐ m
கப்பற்சண்டை	k ɐ pː ɐ r t͡ɕ ɐ ɳ ɖ a ɪ̯
கறிவேப்பிலை	k ɐ r i ʋ eː pː i l a ɪ̯
கற்றிருத்து	k ɐ rː i ɾ u t̪ː u
கற்றொழிலோர்	k ɐ rː o ɻ i l oː ɾ
கடையெழுத்து	k ɐ ɖ a ɪ̯ j e ɻ u t̪ː u
கரியமிலவாயு	k ɐ ɾ i j ɐ m i l ɐ ʋ aː j u
கரிக்குருவி	k ɐ ɾ i kː u ɾ u ʋ i
கழிமுட்டான்	k ɐ ɻ i m u ʈː aː n
கழுதைப்புலி	k ɐ ɻ u d̪ a ɪ̯ pː u l i
கழுகரிப்பரி	k ɐ ɻ u ɡ ɐ ɾ i pː ɐ ɾ i
கண்டக்கருவி	k ɐ ɳ ɖ ɐ kː ɐ ɾ u ʋ i
கட்டிப்பிடி	k ɐ ʈː i pː i ɖ i
கள்ளிச்செடி	k ɐ ɭː i t͡ɕː e ɖ i
கட்டிடக்கலை	k ɐ ʈː i ɖ ɐ kː ɐ l a ɪ̯
கலப்பதற்கான	kalappat̪arkaːna
கவலைக்கிடம்	kaʋalajkkiʈam
கண்காணிப்பு	kaɳkaːɳippu
காமன்வெல்த்	kaːmanʋelt̪
கான்ஸ்டபிள்	kaːnsʈapiɭ
கவுன்சிலில்	kaʋunt͡ʃilil
கருதுகிறேன்	kaɾut̪ukireːn
கண்டனத்தைத்	kaɳʈanat̪t̪ajt̪
கண்டிக்கும்	kaɳʈikkum
கண்டித்தும்	kaɳʈit̪t̪um
காங்கிரஸின்	kaːŋkiɾasin
கட்டுவதற்க்	kaʈʈuʋat̪ark
கெமிக்கல்ஸ்	kemikkals
கேட்கவில்லை	keːʈkaʋillaj
கிறிஸ்துவர்	kirist̪uʋaɾ
கிடைத்ததில்	kiʈajt̪t̪at̪il
கிட்டத்தட்ட	kiʈʈat̪t̪aʈʈa
கொல்லப்படவ்	kollappaʈaʋ
கொடியேற்றப்	koʈijeːrrap
கொள்வதற்காக	koɭʋat̪arkaːka
கொண்டுவந்த்	koɳʈuʋan̪t̪
குறிப்பிடத்	kurippiʈat̪
குற்றத்தில்	kurrat̪t̪il
குடியமர்த்த	kuʈijamaɾt̪t̪a
கூறியுள்ளது	kuːrijuɭɭat̪u
குருக்கட்டி	kuɾukkaʈʈi
குழுவினரைத்	kuɻuʋinaɾajt̪
கூடியிருந்த	kuːʈijiɾun̪t̪a
கூட்டப்பட்ட	kuːʈʈappaʈʈa
கூட்டத்தில்	kuːʈʈat̪t̪il
மகாபலிபுரம்	m a h aː b a l i p u ɾ a m
மகாபலிபுரம்	m a ɡ aː b a l i p u ɾ a m
மாமல்லபுரம்	m aː m a l l a p u ɾ a m
மாமல்லபுரம்	m aː m ɐ l l ɐ b u ɾ ɐ m
மாமல்லபுரம்	m aː m ɐ l l ɐ p u ɾ ɐ m
மாட்டிடையன்	m aː ʈː i ɖ a ɪ̯ j ɐ n
மாட்டுவண்டி	m aː ʈː u ʋ ɐ ɳ ɖ i
மெத்தம்பாரை	m e t̪ː ɐ m b aː ɾ a ɪ̯
மீக்கூற்றம்	m iː kː uː rː ɐ m
முலைக்கச்சு	m u l a ɪ̯ kː ɐ t͡ɕː u
முன்பிற்படி	m u n b i r p ɐ ɖ i
முன்புருவம்	m u n b u ɾ u ʋ ɐ m
முன்னேற்றம்	m u nː eː rː ɐ m
முன்னடியார்	m u nː ɐ ɖ i j aː ɾ
முன்னடியில்	m u nː ɐ ɖ i j i l
முப்பாட்டன்	m u pː aː ʈː ɐ n
முள்ளுக்களா	m u ɭː u kː ɐ ɭ aː
மூக்கண்ணாடி	m uː kː ɐ ɳː aː ɖ i
மயிலாடுதுறை	m ɐ j i l aː ɖ u d̪ u r a ɪ̯
மயிற்கொன்றை	m ɐ j i r k o n r a ɪ̯
மலைக்கொய்யா	m ɐ l a ɪ̯ kː o jː aː
மலைப்பாம்பு	m ɐ l a ɪ̯ pː aː m b u
மலைப்புன்கு	m ɐ l a ɪ̯ pː u n ɡ u
மலச்சிக்கல்	m ɐ l ɐ t͡ɕː i kː ɐ l
மனப்பதைப்பு	m ɐ n ɐ pː ɐ d̪ a ɪ̯ pː u
மறுபரிசீலனை	m ɐ r u b ɐ ɾ i t͡ɕ iː l ɐ n a ɪ̯
மத்தியகாலம்	m ɐ t̪ː i j ɐ ɡ aː l ɐ m
மருத்துவமனை	m ɐ ɾ u t̪ː u ʋ ɐ m ɐ n a ɪ̯
மரத்தக்காளி	m ɐ ɾ ɐ t̪ː ɐ kː aː ɭ i
மண்ணெண்ணெய்	m ɐ ɳː e ɳː e j
மட்டுக்கோல்	m ɐ ʈː u kː oː l
மக்களிடமும்	makkaɭiʈamum
மலேசியாவின்	maleːt͡ʃijaːʋin
மன்னித்துக்	mannit̪t̪uk
மாகாணத்தில்	maːkaːɳat̪t̪il
மாநிலத்தில்	maːn̪ilat̪t̪il
மாற்றுகின்ற	maːrrukinra
மாசுபடுத்தி	maːt͡ʃupaʈut̪t̪i
மார்ஹனெட்ஸ்	maːɾhaneʈs
மார்த்தாண்ட	maːɾt̪t̪aːɳʈa
மாட்டார்கள்	maːʈʈaːɾkaɭ
மேற்கொண்டத்	meːrkoɳʈat̪
மேற்பட்டோர்	meːrpaʈʈoːɾ
மேற்பட்டோரை	meːrpaʈʈoːɾaj
மீனவர்களின்	miːnaʋaɾkaɭin
மிட்டலுக்கு	miʈʈalukku
மொழிகளிலும்	moɻikaɭilum
முயற்சியால்	mujart͡ʃijaːl
முகாம்களில்	mukaːmkaɭil
முன்னேறியது	munneːrijat̪u
முற்றிலுமாக	murrilumaːka
முதல்வருமான	mut̪alʋaɾumaːna
முரளிதரனும்	muɾaɭit̪aɾanum
முடிவெடுக்க	muʈiʋeʈukka
மூடுவதற்காக	muːʈuʋat̪arkaːka
மூட்டைகளைய்	muːʈʈajkaɭajj
நாறுநறுவிலி	n̪ aː r u n̪ ɐ r u ʋ i l i
நெடுநல்வாடை	n̪ e ɖ u n̪ ɐ l ʋ aː ɖ a ɪ̯
நிலநடுக்கம்	n̪ i l ɐ n̪ ɐ ɖ u kː ɐ m
நீதிமொழிகள்	n̪ iː d̪ i m o ɻ i ɡ ɐ ɭ
நீர்க்காகம்	n̪ iː ɾ kː aː ɡ ɐ m
நஞ்சுக்கொடி	n̪ ɐ ɲ d͡ʑ u kː o ɖ i
நட்சத்திரம்	n̪ ɐ ʈ t͡ɕ ɐ t̪ː i ɾ ɐ m
நடுவுநிலைமை	n̪ ɐ ɖ u ʋ u n̪ i l a ɪ̯ m a ɪ̯
நடைதிறக்கப்	n̪aʈajt̪irakkap
நடவடிக்கைய்	n̪aʈaʋaʈikkajj
நாள்களுக்கு	n̪aːɭkaɭukku
நிகழ்ந்ததாக	n̪ikaɻn̪t̪at̪aːka
நிறைவேற்றப்	n̪irajʋeːrrap
நிறுவனங்கள்	n̪iruʋanaŋkaɭ
நிராகரித்து	n̪iɾaːkaɾit̪t̪u
ஒத்துக்கொள்	o t̪ː u kː o ɭ
ஒத்துழைப்பு	ot̪t̪uɻajppu
பாதிச்சாமம்	p aː d̪ i t͡ɕː aː m ɐ m
பாலூட்டிகள்	p aː l uː ʈː i ɡ ɐ ɭ
பார்வையாளர்	p aː ɾ ʋ a ɪ̯ j aː ɭ ɐ ɾ
பாடம்போற்று	p aː ɖ ɐ m b oː rː u
பாரம்பரியம்	p aː ɾ ɐ m b ɐ ɾ i j ɐ m
பெயர்த்துரை	p e j ɐ ɾ t̪ː u ɾ a ɪ̯
பெயர்ச்சொல்	p e j ɐ ɾ t͡ɕː o l
பெருமருந்து	p e ɾ u m ɐ ɾ u n̪ d̪ u
பெருங்காயம்	p e ɾ u ŋ ɡ aː j ɐ m
பேதிமருந்து	p eː d̪ i m ɐ ɾ u n̪ d̪ u
பேய்மருட்டி	p eː j m ɐ ɾ u ʈː i
பேராசிரியர்	p eː ɾ aː t͡ɕ i ɾ i j ɐ ɾ
பின்போடுதல்	p i n b oː ɖ u d̪ ɐ l
பிறைதொழுதல்	p i r a ɪ̯ d̪ o ɻ u d̪ ɐ l
பிறிதுசாபம்	p i r i d̪ u t͡ɕ aː b ɐ m
பிறவிக்கடல்	p i r ɐ ʋ i kː ɐ ɖ ɐ l
பிறவிப்பயன்	p i r ɐ ʋ i pː ɐ j ɐ n
பிறகுகாண்ணு	p i r ɐ ɡ u ɡ aː ɳː u
பிசாசாடுதல்	p i t͡ɕ aː t͡ɕ aː ɖ u d̪ ɐ l
பிசின்பட்டை	p i t͡ɕ i n b ɐ ʈː a ɪ̯
பிசுபிசெனல்	p i t͡ɕ u b i t͡ɕ e n ɐ l
பிசகுசொல்லு	p i t͡ɕ ɐ ɡ u t͡ɕ o l l u
பிராந்தியம்	p i ɾ aː n̪ d̪ i j ɐ m
பிரார்த்தனை	p i ɾ aː ɾ t̪ː ɐ n a ɪ̯
பிஞ்சிற்பழு	p i ɲ d͡ʑ i r p ɐ ɻ u
பிகுப்பட்டை	p i ɡ u pː ɐ ʈː a ɪ̯
பிருத்தியன்	p i ɾ u t̪ː i j ɐ n
பிணந்தின்னி	p i ɳ ɐ n̪ d̪ i nː i
பிரசேசுவரன்	p i ɾ ɐ t͡ɕ eː t͡ɕ u ʋ ɐ ɾ ɐ n
பிரச்சனைகள்	p i ɾ ɐ t͡ɕː ɐ n a ɪ̯ ɡ ɐ ɭ
பொருளாதாரம்	p o ɾ u ɭ aː d̪ aː ɾ ɐ m
பொருட்பெயர்	p o ɾ u ʈ p e j ɐ ɾ
பொருளட்டவணை	p o ɾ u ɭ ɐ ʈː ɐ ʋ ɐ ɳ a ɪ̯
போதைமருந்து	p oː d̪ a ɪ̯ m ɐ ɾ u n̪ d̪ u
புயற்காற்று	p u j ɐ r k aː rː u
பதிப்புரிமை	p ɐ d̪ i pː u ɾ i m a ɪ̯
பதிவிறக்கம்	p ɐ d̪ i ʋ i r ɐ kː ɐ m
பதப்படுத்து	p ɐ d̪ ɐ pː ɐ ɖ u t̪ː u
பயிர்க்குடி	p ɐ j i ɾ kː u ɖ i
பயிர்க்குழி	p ɐ j i ɾ kː u ɻ i
பக்குவாசயம்	p ɐ kː u ʋ aː t͡ɕ ɐ j ɐ m
பனிக்காற்று	p ɐ n i kː aː rː u
பற்றாக்குறை	p ɐ rː aː kː u r a ɪ̯
பத்திராசனம்	p ɐ t̪ː i ɾ aː t͡ɕ ɐ n ɐ m
பரிசுத்தாவி	p ɐ ɾ i t͡ɕ u t̪ː aː ʋ i
பகுப்பாய்வு	p ɐ ɡ u pː aː j ʋ u
பருப்பொருள்	p ɐ ɾ u pː o ɾ u ɭ
பகடையாட்டம்	p ɐ ɡ ɐ ɖ a ɪ̯ j aː ʈː ɐ m
பயிலரங்கில்	pajilaɾaŋkil
பக்தர்களில்	pakt̪aɾkaɭil
பதக்கத்தைக்	pat̪akkat̪t̪ajk
பதவிகளிலும்	pat̪aʋikaɭilum
பதவிக்காலம்	pat̪aʋikkaːlam
பத்திரிகைய்	pat̪t̪iɾikajj
பழமைவாய்ந்த	paɻamajʋaːjn̪t̪a
பணியாளர்கள்	paɳijaːɭaɾkaɭ
பணிகளுக்காக	paɳikaɭukkaːka
பங்காற்றும்	paŋkaːrrum
பங்கேற்றுப்	paŋkeːrrup
பாதுகாக்கப்	paːt̪ukaːkkap
படுகின்றனர்	paʈukinranaɾ
பண்டிகையைய்	paɳʈikajjajj
பெற்றுள்ளது	perruɭɭat̪u
பெண்களுக்க்	peɳkaɭukk
பேட்மின்டன்	peːʈminʈan
பேருந்துகளை	peːɾun̪t̪ukaɭaj
பித்தளையால்	pit̪t̪aɭajjaːl
பிரமுகர்கள்	piɾamukaɾkaɭ
பிரதிநிதிய்	piɾat̪in̪it̪ij
பிரச்னையில்	piɾat͡ʃnajjil
பிரிட்டனில்	piɾiʈʈanil
பொறுப்புகளை	poruppukaɭaj
போதைமருந்து	poːt̪ajmaɾun̪t̪u
பொருளாதாரம்	poɾuɭaːt̪aːɾam
பொருள்களைய்	poɾuɭkaɭajj
பொருள்களும்	poɾuɭkaɭum
போராடியதைப்	poːɾaːʈijat̪ajp
போட்டியிட்ட	poːʈʈijiʈʈa
புறக்கணிக்க	purakkaɳikka
புள்ளியியல்	puɭɭijijal
ஸ்தோத்திரம்	s t̪ oː t̪ː i ɾ ɐ m
ஶ்ரீகாகுளம்	s ɾ iː k aː k u ɭ ɐ m
தாரித்திரம்	t̪ aː ɾ i t̪ː i ɾ ɐ m
திமிங்கிலம்	t̪ i m i ŋ ɡ i l ɐ m
தினந்தோறும்	t̪ i n ɐ n̪ d̪ oː r u m
திரித்துவம்	t̪ i ɾ i t̪ː u ʋ ɐ m
திரும்பவும்	t̪ i ɾ u m b ɐ ʋ u m
திருப்புதல்	t̪ i ɾ u pː u d̪ ɐ l
திருவள்ளூர்	t̪ i ɾ u ʋ ɐ ɭː uː ɾ
திண்டுக்கல்	t̪ i ɳ ɖ u kː ɐ l
திட்டாந்தம்	t̪ i ʈː aː n̪ d̪ ɐ m
தீபஸ்தம்பம்	t̪ iː b ɐ s t̪ ɐ m b ɐ m
தீவிரகந்தம்	t̪ iː ʋ i ɾ ɐ ɡ ɐ n̪ d̪ ɐ m
தொலையியக்கி	t̪ o l a ɪ̯ j i j ɐ kː i
தொழினுட்பம்	t̪ o ɻ i n u ʈ p ɐ m
தொள்ளாயிரம்	t̪ o ɭː aː j i ɾ ɐ m
துணைக்கருவி	t̪ u ɳ a ɪ̯ kː ɐ ɾ u ʋ i
துர்நாற்றம்	t̪ u ɾ n̪ aː rː ɐ m
தமிழ்செல்வி	t̪ ɐ m i ɻ t͡ɕ e l ʋ i
தந்திரவாயன்	t̪ ɐ n̪ d̪ i ɾ ɐ ʋ aː j ɐ n
தர்ப்பீத்து	t̪ ɐ ɾ pː iː t̪ː u
தலைமையிலும்	t̪alajmajjilum
தமிழகத்தைச்	t̪amiɻakat̪t̪ajt͡ʃ
தமிழகத்தில்	t̪amiɻakat̪t̪il
தமிழகத்தின்	t̪amiɻakat̪t̪in
தமிழர்களைச்	t̪amiɻaɾkaɭajt͡ʃ
தமிழர்களின்	t̪amiɻaɾkaɭin
தெரியவில்லை	t̪eɾijaʋillaj
தெரிவிக்கப்	t̪eɾiʋikkap
தெரிவித்தது	t̪eɾiʋit̪t̪at̪u
தேசியக்கொடி	t̪eːt͡ʃijakkoʈi
திருமாவளவன்	t̪iɾumaːʋaɭaʋan
திரும்பியது	t̪iɾumpijat̪u
திரும்பியவ்	t̪iɾumpijaʋ
திருடப்பட்ட	t̪iɾuʈappaʈʈa
திருவள்ளூர்	t̪iɾuʋaɭɭuːɾ
தொகுதிக்காக	t̪okut̪ikkaːka
தொகுத்ததில்	t̪okut̪t̪at̪il
தொடங்கினார்	t̪oʈaŋkinaːɾ
துன்பத்தில்	t̪unpat̪t̪il
துணைவேந்தர்	t̪uɳajʋeːn̪t̪aɾ
தூரகரத்தில்	t̪uːɾakaɾat̪t̪il
சாய்ப்பிடம்	t͡ɕ aː j pː i ɖ ɐ m
சாம்ராஜ்யம்	t͡ɕ aː m ɾ aː d͡ʑ j ɐ m
சார்க்கண்டு	t͡ɕ aː ɾ kː ɐ ɳ ɖ u
செலுப்பட்டி	t͡ɕ e l u pː ɐ ʈː i
செப்டெம்பர்	t͡ɕ e p ʈ e m b ɐ ɾ
செஞ்சந்தனம்	t͡ɕ e ɲ d͡ʑ ɐ n̪ d̪ ɐ n ɐ m
செங்கிழங்கு	t͡ɕ e ŋ ɡ i ɻ ɐ ŋ ɡ u
செங்கல்மால்	t͡ɕ e ŋ ɡ ɐ l m aː l
செங்கந்தகம்	t͡ɕ e ŋ ɡ ɐ n̪ d̪ ɐ ɡ ɐ m
செங்கழுநீர்	t͡ɕ e ŋ ɡ ɐ ɻ u n̪ iː ɾ
செவ்வாம்பல்	t͡ɕ e ʋː aː m b ɐ l
செட்டிநாகம்	t͡ɕ e ʈː i n̪ aː ɡ ɐ m
சிலாக்கியம்	t͡ɕ i l aː kː i j ɐ m
சின்னக்கரடி	t͡ɕ i nː ɐ kː ɐ ɾ ɐ ɖ i
சிறப்புரிமை	t͡ɕ i r ɐ pː u ɾ i m a ɪ̯
சித்திரபானு	t͡ɕ i t̪ː i ɾ ɐ b aː n u
சிவப்புமரம்	t͡ɕ i ʋ ɐ pː u m ɐ ɾ ɐ m
சிவரிக்கீரை	t͡ɕ i ʋ ɐ ɾ i kː iː ɾ a ɪ̯
சிங்கப்பூர்	t͡ɕ i ŋ ɡ ɐ pː uː ɾ
சொல்லெச்சம்	t͡ɕ o l l e t͡ɕː ɐ m
சொத்துக்காக	t͡ɕ o t̪ː u kː aː ɡ ɐ
சொத்துக்கள்	t͡ɕ o t̪ː u kː ɐ ɭ
சொத்துக்களை	t͡ɕ o t̪ː u kː ɐ ɭ a ɪ̯
சொத்துக்களே	t͡ɕ o t̪ː u kː ɐ ɭ eː
சுட்டுவிரல்	t͡ɕ u ʈː u ʋ i ɾ ɐ l
சூரியகாந்தி	t͡ɕ uː ɾ i j ɐ ɡ aː n̪ d̪ i
சூட்டுக்கள்	t͡ɕ uː ʈː u kː ɐ ɭ
சதுர்வருணம்	t͡ɕ ɐ d̪ u ɾ ʋ ɐ ɾ u ɳ ɐ m
சலவைக்காரர்	t͡ɕ ɐ l ɐ ʋ a ɪ̯ kː aː ɾ ɐ ɾ
சமஸ்கிருதம்	t͡ɕ ɐ m ɐ s k i ɾ u d̪ ɐ m
சமசுகிருதம்	t͡ɕ ɐ m ɐ t͡ɕ u ɡ i ɾ u d̪ ɐ m
சந்திராதபம்	t͡ɕ ɐ n̪ d̪ i ɾ aː d̪ ɐ b ɐ m
சந்தர்ப்பம்	t͡ɕ ɐ n̪ d̪ ɐ ɾ pː ɐ m
சற்பிரசாதம்	t͡ɕ ɐ r p i ɾ ɐ t͡ɕ aː d̪ ɐ m
சங்கத்தமிழ்	t͡ɕ ɐ ŋ ɡ ɐ t̪ː ɐ m i ɻ
சட்டதிட்டம்	t͡ɕ ɐ ʈː ɐ d̪ i ʈː ɐ m
சம்பவத்தைய்	t͡ʃampaʋat̪t̪ajj
சந்திப்பில்	t͡ʃan̪t̪ippil
சந்தித்தனர்	t͡ʃan̪t̪it̪t̪anaɾ
சந்தித்துப்	t͡ʃan̪t̪it̪t̪up
சந்திரசேகர்	t͡ʃan̪t̪iɾat͡ʃeːkaɾ
செயல்படாமல்	t͡ʃejalpaʈaːmal
செயலுக்குத்	t͡ʃejalukkut̪
செய்யப்பட்ட	t͡ʃejjappaʈʈa
செய்தியாளர்	t͡ʃejt̪ijaːɭaɾ
செய்திருந்த	t͡ʃejt̪iɾun̪t̪a
செய்துள்ளது	t͡ʃejt̪uɭɭat̪u
செலவழிக்கப்	t͡ʃelaʋaɻikkap
செலுத்தப்பட	t͡ʃelut̪t̪appaʈa
செலுத்துவதை	t͡ʃelut̪t̪uʋat̪aj
செல்வதற்காக	t͡ʃelʋat̪arkaːka
செட்களையும்	t͡ʃeʈkaɭajjum
சேப்பாக்கம்	t͡ʃeːppaːkkam
சிக்கியுள்ள	t͡ʃikkijuɭɭa
சிறுத்தைகள்	t͡ʃirut̪t̪ajkaɭ
சித்தராமையா	t͡ʃit̪t̪aɾaːmajjaː
சிரமப்படும்	t͡ʃiɾamappaʈum
