ღ,ʁ
კახეთით,kʼaχetʰitʰ
კახეთის,kʼaχetʰis
კახეთმა,kʼaχetʰma
კახეთს,kʼaχetʰs
კახი,kʼaχi
კახპა,kʼaχpʼa
კბენა,kʼbena
კბილანა,kʼbiɫana
კბილებიანი,kʼbilebiani
კბილი,kʼbili
კბილისმიერი,kʼbilismieɾi
კები,kʼebi
კეგლი,kʼeɡli
კედარი,kʼedaɾi
კედელი,kʼedeli
კედლები,kʼedlebi
კევი,kʼevi
კევლიანი,kʼevliani
კევრი,kʼevɾi
კეზერაშვილი,kʼezeɾaʃʷili
კეთება,kʼetʰeba
კეთელგონივრულად,kʼetʰelɡonivɾuɫad
კეთილად,kʼetʰiɫad
კეთილგანწყობილად,kʼetʰilɡant͡sʼχʼobiɫad
კეთილგონიერება,kʼetʰilɡonieɾeba
კეთილგონიერი,kʼetʰilɡonieɾi
კეთილგონივრულად,kʼetʰilɡonivɾuɫad
კეთილდღეობა,kʼetʰildʁeoba
კეთილზნიანი,kʼetʰilzniani
კეთილთვისებიანი,kʼetʰiltʰʷisebiani
კეთილი,kʼetʰili
კეთილმეზობლური,kʼetʰilmezobɫuɾi
კეთილმეზობლურობა,kʼetʰilmezobɫuɾoba
კეთილმოსურნედ,kʼetʰilmosuɾned
კეთილსინდისიერად,kʼetʰilsindisieɾad
კეთილშობილად,kʼetʰilʃobiɫad
კეთილშობილი,kʼetʰilʃobili
კეთრი,kʼetʰɾi
კეთროვანი,kʼetʰɾovani
კეთროვნები,kʼetʰɾovnebi
კეისარი,kʼeisaɾi
კეკლუცად,kʼekʼɫut͡sʰad
კეკლუცი,kʼekʼɫut͡sʰi
კეკლუცობა,kʼekʼɫut͡sʰoba
კელნი,kʼelni
კელტი,kʼeltʼi
კენარი,kʼenaɾi
კენგურუ,kʼenɡuɾu
კენია,kʼenia
კენკრა,kʼenkʼɾa
კენტავრი,kʼentʼavɾi
კენტი,kʼentʼi
კენჭი,kʼent͡ʃʼi
კენჭისყრა,kʼent͡ʃʼisχʼɾa
კეპავს,kʼepʼafs
კეპი,kʼepʼi
კერა,kʼeɾa
კერავს,kʼeɾafs
კერამიკა,kʼeɾamikʼa
კერამიკული,kʼeɾamikʼuli
კერვა,kʼeɾʷa
კერი,kʼeɾi
კერპი,kʼeɾpʼi
კერტი,kʼeɾtʼi
კერძი,kʼeɾd͡zi
კერძო,kʼeɾd͡zo
კერძოდ,kʼeɾd͡zod
კესანე,kʼesane
კესონი,kʼesoni
კეტავს,kʼetʼafs
კეტი,kʼetʼi
კეფა,kʼepʰa
კვადრატი,kʼʷadɾatʼi
კვადრატულად,kʼʷadɾatʼuɫad
კვადრატული,kʼʷadɾatʼuli
კვაკერი,kʼʷakʼeɾi
კვალი,kʼʷali
კვამლი,kʼʷamli
კვამლსადენი,kʼʷamlsadeni
კვანძი,kʼʷand͡zi
კვარი,kʼʷaɾi
კვარტალი,kʼʷaɾtʼali
კვარტალურად,kʼʷaɾtʼaɫuɾad
კვარტალური,kʼʷaɾtʼaɫuɾi
კვარტეტი,kʼʷaɾtʼetʼi
კვარცი,kʼʷaɾt͡sʰi
კვარცხლბეკი,kʼʷaɾt͡sʰχlbekʼi
კვდება,kʼʷdeba
კვებეკი,kʼʷebekʼi
კვებითი,kʼʷebitʰi
კვეთა,kʼʷetʰa
კვეთები,kʼʷetʰebi
კვეთს,kʼʷetʰs
კვერთხი,kʼʷeɾtʰχi
კვერი,kʼʷeɾi
კვერნა,kʼʷeɾna
კვერცხები,kʼʷeɾt͡sʰχebi
კვერცხი,kʼʷeɾt͡sʰχi
კვესი,kʼʷesi
კვეცს,kʼʷet͡sʰs
კვიეტიზმი,kʼʷietʼizmi
კვინტესენცია,kʼʷintʼesent͡sʰia
კვინტეტი,kʼʷintʼetʼi
კვიპაროსი,kʼʷipʼaɾosi
კვიპროსი,kʼʷipʼɾosi
კვირა,kʼʷiɾa
კვირადღე,kʼʷiɾadʁe
კვირიონი,kʼʷiɾioni
კვირისტავა,kʼʷiɾistʼava
კვირტი,kʼʷiɾtʼi
კვიცი,kʼʷit͡sʰi
კვლა,kʼʷɫa
კვლავ,kʼʷɫav
კვლიავი,kʼʷliavi
კვნესა,kʼʷnesa
კვორუმი,kʼʷoɾumi
კვოტა,kʼʷotʼa
კვრა,kʼʷɾa
კვრინჩხი,kʼʷɾint͡ʃʰχi
კი,kʼi
კიანგი,kʼianɡi
კიბე,kʼibe
კიბერნეტიკა,kʼibeɾnetʼikʼa
კიბერორშაბათი,kʼibeɾoɾʃabatʰi
კიბო,kʼibo
კიბორჩხალა,kʼiboɾt͡ʃʰχaɫa
კიგალი,kʼiɡali
კიდე,kʼide
კიდება,kʼideba
კიდევ,kʼidev
კიდობანი,kʼidobani
კიდულად,kʼiduɫad
კიევი,kʼievi
კითხავს,kʼitʰχafs
კითხვა,kʼitʰχʷa
კითხვარი,kʼitʰχʷaɾi
კითხვითი,kʼitʰχʷitʰi
კიკაბიძე,kʼikʼabid͡ze
კილერი,kʼileɾi
კილი,kʼili
კილო,kʼiɫo
კილოგრამი,kʼiɫoɡɾami
კილოვატი,kʼiɫovatʼi
კილოკავი,kʼiɫokʼavi
კილომეტრი,kʼiɫometʼɾi
კილტე,kʼiltʼe
კიმპალი,kʼimpʼali
კინამო,kʼinamo
კინაღამ,kʼinaʁam
კინემატოგრაფია,kʼinematʼoɡɾapʰia
კინეტიკური,kʼinetʼikʼuɾi
კინკლაობა,kʼinkʼɫaoba
კინკლი,kʼinkʼli
კინო,kʼino
კინოაპარატი,kʼinoapʼaɾatʼi
კინოკამერა,kʼinokʼameɾa
კინოჟურნალი,kʼinoʒuɾnali
კინოფილმი,kʼinopʰilmi
კინტო,kʼintʼo
კინტოური,kʼintʼouɾi
კიოსკი,kʼioskʼi
კიოტო,kʼiotʼo
კიპორჭი,kʼipʼoɾt͡ʃʼi
კირი,kʼiɾi
კირიანი,kʼiɾiani
კირიბატი,kʼiɾibatʼi
კირქვა,kʼiɾkʰʷa
კირჩხიბი,kʼiɾt͡ʃʰχibi
კისერი,kʼiseɾi
კიტელი,kʼitʼeli
კიტრი,kʼitʼɾi
კიშინოვი,kʼiʃinovi
კიჩო,kʼit͡ʃʰo
კიჩოზე,kʼit͡ʃʰoze
კიცხავს,kʼit͡sʰχafs
კლავიატურა,kʼɫaviatʼuɾa
კლავიატურად,kʼɫaviatʼuɾad
კლავიატურამ,kʼɫaviatʼuɾam
კლავიატურას,kʼɫaviatʼuɾas
კლავიატურით,kʼɫaviatʼuɾitʰ
კლავიატურის,kʼɫaviatʼuɾis
კლავიკორდი,kʼɫavikʼoɾdi
კლანი,kʼɫani
კლანჭი,kʼɫant͡ʃʼi
კლარნეტი,kʼɫaɾnetʼi
კლარნეტისტი,kʼɫaɾnetʼistʼi
კლარჯეთი,kʼɫaɾd͡ʒetʰi
კლასი,kʼɫasi
კლასით,kʼɫasitʰ
კლასიკოსი,kʼɫasikʼosi
კლასიკურად,kʼɫasikʼuɾad
კლასიკური,kʼɫasikʼuɾi
კლასის,kʼɫasis
კლასიფიკაცია,kʼɫasipʰikʼat͡sʰia
კლასიციზმი,kʼɫasit͡sʰizmi
კლასიცისტი,kʼɫasit͡sʰistʼi
კლასმა,kʼɫasma
კლასობანა,kʼɫasobana
კლასს,kʼɫass
კლაუსტროფობი,kʼɫaustʼɾopʰobi
კლაუსტროფობია,kʼɫaustʼɾopʰobia
კლდე,kʼlde
კლდიანი,kʼldiani
კლემენტი,kʼlementʼi
კლეპტომანია,kʼlepʼtʼomania
კლერიკალური,kʼleɾikʼaɫuɾi
კლერკი,kʼleɾkʼi
კლიენტი,kʼlientʼi
კლიენტურა,kʼlientʼuɾa
კლივლენდი,kʼlivlendi
კლიმატი,kʼlimatʼi
კლიმატოლოგია,kʼlimatʼoɫoɡia
კლიმატურად,kʼlimatʼuɾad
კლიმატური,kʼlimatʼuɾi
კლინიკა,kʼlinikʼa
კლინიკურად,kʼlinikʼuɾad
კლინიკური,kʼlinikʼuɾi
კლინკერი,kʼlinkʼeɾi
კლიტე,kʼlitʼe
კლიშე,kʼliʃe
კლოდი,kʼɫodi
კლონი,kʼɫoni
კლოუნი,kʼɫouni
კლუბი,kʼɫubi
კმ,kʼm
კმარა,kʼmaɾa
კმაყოფილად,kʼmaχʼopʰiɫad
კმაყოფილება,kʼmaχʼopʰileba
კმაყოფილი,kʼmaχʼopʰili
კნუტი,kʼnutʼi
კოალა,kʼoaɫa
კოალიცია,kʼoalit͡sʰia
კობალტი,kʼobaltʼi
კობალტისფერი,kʼobaltʼispʰeɾi
კობიაშვილი,kʼobiaʃʷili
კობრა,kʼobɾa
კობრი,kʼobɾi
კოგნიტური,kʼoɡnitʼuɾi
კოდა,kʼoda
კოდალა,kʼodaɫa
კოდეინი,kʼodeini
კოდი,kʼodi
კოდიფიკაცია,kʼodipʰikʼat͡sʰia
კოდორი,kʼodoɾi
კოეფიციენტი,kʼoepʰit͡sʰientʼi
კოვბოი,kʼovboi
კოვზი,kʼovzi
კოზირი,kʼoziɾi
კოიოტი,kʼoiotʼi
კოკაინი,kʼokʼaini
კოკარდა,kʼokʼaɾda
კოკორი,kʼokʼoɾi
კოკოტი,kʼokʼotʼi
კოლა,kʼoɫa
კოლენკორი,kʼolenkʼoɾi
კოლექტიური,kʼolekʰtʼiuɾi
კოლიბრი,kʼolibɾi
კოლიტი,kʼolitʼi
კოლონადა,kʼoɫonada
კოლონია,kʼoɫonia
კოლონიალიზმი,kʼoɫonializmi
კოლონიზატორი,kʼoɫonizatʼoɾi
კოლონიზაცია,kʼoɫonizat͡sʰia
კოლონისტი,kʼoɫonistʼi
კოლონიური,kʼoɫoniuɾi
კოლორადო,kʼoɫoɾado
კოლორატურა,kʼoɫoɾatʼuɾa
კოლორიტი,kʼoɫoɾitʼi
კოლოსალური,kʼoɫosaɫuɾi
კოლოსი,kʼoɫosi
კოლოფი,kʼoɫopʰi
კოლრაბი,kʼolɾabi
კოლტი,kʼoltʼi
კოლუმბი,kʼoɫumbi
კოლუმბია,kʼoɫumbia
კოლუმბიელი,kʼoɫumbieli
კოლხეთი,kʼolχetʰi
კომა,kʼoma
კომბინეზონი,kʼombinezoni
კომბოსტო,kʼombostʼo
კომედია,kʼomedia
კომენტარი,kʼomentʼaɾi
კომენტატორი,kʼomentʼatʼoɾi
კომერცია,kʼomeɾt͡sʰia
კომერციული,kʼomeɾt͡sʰiuli
კომეტა,kʼometʼa
კომივოიაჟერი,kʼomivoiaʒeɾi
კომიკოსი,kʼomikʼosi
კომიკური,kʼomikʼuɾi
კომინგსი,kʼominɡsi
კომიტეტები,kʼomitʼetʼebi
კომიტეტი,kʼomitʼetʼi
კომლი,kʼomli
კომოდი,kʼomodi
კომპანია,kʼompʼania
კომპანიონი,kʼompʼanioni
კომპასი,kʼompʼasi
კომპაქტურად,kʼompʼakʰtʼuɾad
კომპაქტური,kʼompʼakʰtʼuɾi
კომპაქტურობა,kʼompʼakʰtʼuɾoba
კომპენდიუმი,kʼompʼendiumi
კომპენსაცია,kʼompʼensat͡sʰia
კომპეტენტურად,kʼompʼetʼentʼuɾad
კომპეტენტური,kʼompʼetʼentʼuɾi
კომპეტენცია,kʼompʼetʼent͡sʰia
კომპი,kʼompʼi
კომპილატორი,kʼompʼiɫatʼoɾi
კომპიუტერულად,kʼompʼiutʼeɾuɫad
კომპიუტერული,kʼompʼiutʼeɾuli
კომპლექსი,kʼompʼlekʰsi
კომპლექსური,kʼompʼlekʰsuɾi
კომპლექტი,kʼompʼlekʰtʼi
კომპლიმენტი,kʼompʼlimentʼi
კომპოზიტორი,kʼompʼozitʼoɾi
კომპონენტი,kʼompʼonentʼi
კომპოსტერი,kʼompʼostʼeɾi
კომპოსტი,kʼompʼostʼi
კომპოტი,kʼompʼotʼi
კომპრესი,kʼompʼɾesi
კომპრესორი,kʼompʼɾesoɾi
კომპრომატი,kʼompʼɾomatʼi
კომპრომისი,kʼompʼɾomisi
კომუნა,kʼomuna
კომუნალურად,kʼomunaɫuɾad
კომუნალური,kʼomunaɫuɾi
კომუნიზმი,kʼomunizmi
კომუნიკაცია,kʼomunikʼat͡sʰia
კომუნიკე,kʼomunikʼe
კომუნისტი,kʼomunistʼi
კომუნისტური,kʼomunistʼuɾi
კომუტატორი,kʼomutʼatʼoɾi
კომფორტაბელურად,kʼompʰoɾtʼabeɫuɾad
კომფორტი,kʼompʰoɾtʼi
კომში,kʼomʃi
კომშისფერი,kʼomʃispʰeɾi
კონა,kʼona
კონგენიალურად,kʼonɡeniaɫuɾad
კონგლომერატი,kʼonɡɫomeɾatʼi
კონგო,kʼonɡo
კონგრესი,kʼonɡɾesi
კონდენსატორი,kʼondensatʼoɾi
კონდიტერი,kʼonditʼeɾi
კონდიციონერი,kʼondit͡sʰioneɾi
კონდუქტორი,kʼondukʰtʼoɾi
კონექტიკუტი,kʼonekʰtʼikʼutʼi
კონვეიერი,kʼonʷeieɾi
კონვენცია,kʼonʷent͡sʰia
კონვერგენცია,kʼonʷeɾɡent͡sʰia
კონვერტი,kʼonʷeɾtʼi
კონვექცია,kʼonʷekʰt͡sʰia
კონვულსია,kʼonʷulsia
კონვულსიურად,kʼonʷulsiuɾad
კონიაკი,kʼoniakʼi
კონიუნქტურა,kʼoniunkʰtʼuɾa
კონკისტადორი,kʼonkʼistʼadoɾi
კონკორდატი,kʼonkʼoɾdatʼi
კონკრეტულად,kʼonkʼɾetʼuɫad
კონკრეტული,kʼonkʼɾetʼuli
კონკურენცია,kʼonkʼuɾent͡sʰia
კონსერვატიულად,kʼonseɾʷatʼiuɫad
კონსერვატორი,kʼonseɾʷatʼoɾi
კონსიერჟი,kʼonsieɾʒi
კონსისტენცია,kʼonsistʼent͡sʰia
კონსისტორია,kʼonsistʼoɾia
კონსორციუმი,kʼonsoɾt͡sʰiumi
კონსპექტი,kʼonspʼekʰtʼi
კონსტანტინე,kʼonstʼantʼine
კონსტიტუცია,kʼonstʼitʼut͡sʰia
კონსტრუქცია,kʼonstʼɾukʰt͡sʰia
კონსტრუქციულად,kʼonstʼɾukʰt͡sʰiuɫad
კონსული,kʼonsuli
კონსულტანტი,kʼonsultʼantʼi
კონსულტაცია,kʼonsultʼat͡sʰia
კონტაქტი,kʼontʼakʰtʼi
კონტექსტი,kʼontʼekʰstʼi
კონტინენტი,kʼontʼinentʼi
კონტინენტური,kʼontʼinentʼuɾi
კონტრაბანდა,kʼontʼɾabanda
კონტრაბასი,kʼontʼɾabasi
კონტრალტო,kʼontʼɾaltʼo
კონტრაპუნქტი,kʼontʼɾapʼunkʰtʼi
კონტრასტი,kʼontʼɾastʼi
კონტრიერიში,kʼontʼɾieɾiʃi
კონტროლი,kʼontʼɾoli
კონტროლიორი,kʼontʼɾolioɾi
კონტრრევოლუციონერი,kʼontʼɾɾevoɫut͡sʰioneɾi
კონტუზია,kʼontʼuzia
კონტური,kʼontʼuɾi
კონუსი,kʼonusi
კონუსური,kʼonusuɾi
კონფედერატი,kʼonpʰedeɾatʼi
კონფედერაცია,kʼonpʰedeɾat͡sʰia
კონფერანსიე,kʼonpʰeɾansie
კონფერენცია,kʼonpʰeɾent͡sʰia
კონფიგურაცია,kʼonpʰiɡuɾat͡sʰia
კონფიდენციალურად,kʼonpʰident͡sʰiaɫuɾad
კონფისკაცია,kʼonpʰiskʼat͡sʰia
კონფლიქტი,kʼonpʰlikʰtʼi
კონცენტრატი,kʼont͡sʰentʼɾatʼi
კონცენტრაცია,kʼont͡sʰentʼɾat͡sʰia
კონცენტრული,kʼont͡sʰentʼɾuli
კონცეპტუალურად,kʼont͡sʰepʼtʼuaɫuɾad
კონცერტი,kʼont͡sʰeɾtʼi
კონცესიონერი,kʼont͡sʰesioneɾi
კონცხი,kʼont͡sʰχi
კოოპერატივი,kʼoopʼeɾatʼivi
კოოპერატორი,kʼoopʼeɾatʼoɾi
კოორდინატი,kʼooɾdinatʼi
კოორდინატორი,kʼooɾdinatʼoɾi
კოორდინაცია,kʼooɾdinat͡sʰia
კოორდინირებს,kʼooɾdiniɾebs
კოპენჰაგენი,kʼopʼenhaɡeni
კოპი,kʼopʼi
კოპიო,kʼopʼio
კოპლებიანი,kʼopʼlebiani
კოპტი,kʼopʼtʼi
კოპტონი,kʼopʼtʼoni
კოპწია,kʼopʼt͡sʼia
კოპწიად,kʼopʼt͡sʼiad
კოპწიაობა,kʼopʼt͡sʼiaoba
კოჟრი,kʼoʒɾi
კოჟრიანი,kʼoʒɾiani
კორდებალეტი,kʼoɾdebaletʼi
კორდი,kʼoɾdi
კორდონი,kʼoɾdoni
კორეა,kʼoɾea
კორეელი,kʼoɾeeli
კორელატი,kʼoɾeɫatʼi
კორეული,kʼoɾeuli
კორექცია,kʼoɾekʰt͡sʰia
კორიდორი,kʼoɾidoɾi
კორინთელი,kʼoɾintʰeli
კორინთული,kʼoɾintʰuli
კორნეტი,kʼoɾnetʼi
კოროზია,kʼoɾozia
კორონარული,kʼoɾonaɾuli
კორონაცია,kʼoɾonat͡sʰia
კორპი,kʼoɾpʼi
კორპორაციული,kʼoɾpʼoɾat͡sʰiuli
კორპსაძრობი,kʼoɾpʼsad͡zɾobi
კორპუსი,kʼoɾpʼusi
კორსეტი,kʼoɾsetʼi
კორსიკა,kʼoɾsikʼa
კორტეჟი,kʼoɾtʼeʒi
კორტი,kʼoɾtʼi
კორძი,kʼoɾd͡zi
კოსინუსი,kʼosinusi
კოსმეტიკა,kʼosmetʼikʼa
კოსმეტიკური,kʼosmetʼikʼuɾi
კოსმეტოლოგი,kʼosmetʼoɫoɡi
კოსმოგონია,kʼosmoɡonia
კოსმონავტი,kʼosmonaftʼi
კოსმონავტიკა,kʼosmonaftʼikʼa
კოსმოპოლიტი,kʼosmopʼolitʼi
კოსმოსი,kʼosmosi
კოსმოსური,kʼosmosuɾi
კოსოვო,kʼosovo
კოსტიუმერი,kʼostʼiumeɾi
კოსტრომა,kʼostʼɾoma
კოსტუმი,kʼostʼumi
კოტეჯი,kʼotʼed͡ʒi
კოტორაანთკარი,kʼotʼoɾaantʰkʼaɾi
კოტრიკაძე,kʼotʼɾikʼad͡ze
კოფეინი,kʼopʰeini
კოქტეილი,kʼokʰtʼeili
კოღო,kʼoʁo
კოშკი,kʼoʃkʼi
კოშკიანი,kʼoʃkʼiani
კოშკურა,kʼoʃkʼuɾa
კოშმარი,kʼoʃmaɾi
კოშმარული,kʼoʃmaɾuli
კოცნა,kʼot͡sʰna
კოცონი,kʼot͡sʰoni
კოწახი,kʼot͡sʼaχi
კოწახური,kʼot͡sʼaχuɾi
კოჭა,kʼot͡ʃʼa
კოჭი,kʼot͡ʃʼi
კოჭლი,kʼot͡ʃʼli
კოხტა,kʼoχtʼa
კოხტაპრუწა,kʼoχtʼapʼɾut͡sʼa
კოჰაბიტაცია,kʼohabitʼat͡sʰia
კრაველი,kʼɾaveli
კრავი,kʼɾavi
კრაკოვი,kʼɾakʼovi
კრამიტი,kʼɾamitʼi
კრასნოიარსკი,kʼɾasnoiaɾskʼi
კრატერი,kʼɾatʼeɾi
კრება,kʼɾeba
კრებულები,kʼɾebulebi
კრებული,kʼɾebuli
კრედიტორი,kʼɾeditʼoɾi
კრედო,kʼɾedo
კრეისერი,kʼɾeiseɾi
კრემატორიუმი,kʼɾematʼoɾiumi
კრემაცია,kʼɾemat͡sʰia
კრემისფერი,kʼɾemispʰeɾi
კრემლი,kʼɾemli
კრეოზოტი,kʼɾeozotʼi
კრეოლი,kʼɾeoli
კრეპი,kʼɾepʼi
კრეტა,kʼɾetʼa
კრეტინი,kʼɾetʼini
კრეფა,kʼɾepʰa
კრეფს,kʼɾepʰs
კრეშენდო,kʼɾeʃendo
კრეჭს,kʼɾet͡ʃʼs
კრვა,kʼɾʷa
კრთომით,kʼɾtʰomitʰ
კრიალა,kʼɾiaɫa
კრიალოსანი,kʼɾiaɫosani
კრივი,kʼɾivi
კრიმანჭული,kʼɾimant͡ʃʼuli
კრინოლინი,kʼɾinolini
კრიპტოგრამა,kʼɾipʼtʼoɡɾama
კრიპტონი,kʼɾipʼtʼoni
კრისტალი,kʼɾistʼali
კრისტალური,kʼɾistʼaɫuɾi
კრიტერიუმი,kʼɾitʼeɾiumi
კრიტიკა,kʼɾitʼikʼa
კრიტიკოსი,kʼɾitʼikʼosi
კრიტიკულად,kʼɾitʼikʼuɫad
კრიტიკული,kʼɾitʼikʼuli
კროკეტი,kʼɾokʼetʼi
კრომლეხი,kʼɾomleχi
კრონა,kʼɾona
კროსვორდი,kʼɾosʷoɾdi
კრუიზი,kʼɾuizi
კრუნჩხვითი,kʼɾunt͡ʃʰχʷitʰi
კრუპიე,kʼɾupʼie
კრუტუნი,kʼɾutʼuni
კრუხი,kʼɾuχi
კრძალვა,kʼɾd͡zalʷa
კუ,kʼu
კუბა,kʼuba
კუბატურა,kʼubatʼuɾa
კუბდარი,kʼubdaɾi
კუბიზმი,kʼubizmi
კუბისტი,kʼubistʼi
კუბო,kʼubo
კუბური,kʼubuɾi
კუდა,kʼuda
კუდამოძუებული,kʼudamod͡zuebuli
კუდი,kʼudi
კუდიანი,kʼudiani
კუვი,kʼuvi
კუზი,kʼuzi
კუზიანი,kʼuziani
კუთვნილება,kʼutʰʷnileba
კუთვნილებითი,kʼutʰʷnilebitʰi
კუთრი,kʼutʰɾi
კუთხე,kʼutʰχe
კუიბიშევი,kʼuibiʃevi
კუინზლენდი,kʼuinzlendi
კულინარია,kʼulinaɾia
კულისებში,kʼulisebʃi
კულიჩი,kʼulit͡ʃʰi
კულმინაცია,kʼulminat͡sʰia
კულტი,kʼultʼi
კულტივატორი,kʼultʼivatʼoɾi
კულტურა,kʼultʼuɾa
კულტურად,kʼultʼuɾad
კულტურამ,kʼultʼuɾam
კულტურას,kʼultʼuɾas
კულტურით,kʼultʼuɾitʰ
კულტურის,kʼultʼuɾis
კულტურული,kʼultʼuɾuli
კულული,kʼuɫuli
კუმისი,kʼumisi
კუნთი,kʼuntʰi
კუნთიანი,kʼuntʰiani
კუნძი,kʼund͡zi
კუნძული,kʼund͡zuli
კუპაჟი,kʼupʼaʒi
კუპატი,kʼupʼatʼi
კუპლეტი,kʼupʼletʼi
კუპონი,kʼupʼoni
კუპრი,kʼupʼɾi
კუპრიანი,kʼupʼɾiani
კუპრისფერი,kʼupʼɾispʰeɾi
კურანტები,kʼuɾantʼebi
კურანტი,kʼuɾantʼi
კურატორი,kʼuɾatʼoɾi
კურდღელი,kʼuɾdʁeli
კურია,kʼuɾia
კურიერი,kʼuɾieɾi
კურკა,kʼuɾkʼa
კურო,kʼuɾo
კურორტი,kʼuɾoɾtʼi
კურსანტი,kʼuɾsantʼi
კურსი,kʼuɾsi
კურტიზანი,kʼuɾtʼizani
კურტკა,kʼuɾtʼkʼa
კურწი,kʼuɾt͡sʼi
კუსი,kʼusi
კუტუ,kʼutʼu
კუშტად,kʼuʃtʼad
კუშტი,kʼuʃtʼi
კუშტობა,kʼuʃtʼoba
კუწუბი,kʼut͡sʼubi
კუჭატანი,kʼut͡ʃʼatʼani
კუჭი,kʼut͡ʃʼi
კუჭმაჭი,kʼut͡ʃʼmat͡ʃʼi
ლაბადა,ɫabada
ლაბაძე,ɫabad͡ze
ლაბირინთი,ɫabiɾintʰi
ლაბორატორია,ɫaboɾatʼoɾia
ლაბრადორი,ɫabɾadoɾi
ლაგამი,ɫaɡami
ლაგება,ɫaɡeba
ლაგუნა,ɫaɡuna
ლავა,ɫava
ლავანდი,ɫavandi
ლავაში,ɫavaʃi
ლავგარდანი,ɫavɡaɾdani
ლავიწი,ɫavit͡sʼi
ლავრაზია,ɫavɾazia
ლაზათიანად,ɫazatʰianad
ლაზარე,ɫazaɾe
ლაზარეთი,ɫazaɾetʰi
ლაზეთი,ɫazetʰi
ლაზერი,ɫazeɾi
ლაზი,ɫazi
ლაზიერი,ɫazieɾi
ლაზური,ɫazuɾi
ლათინური,ɫatʰinuɾi
ლაიკა,ɫaikʼa
ლაილაი,ɫaiɫai
ლაიმი,ɫaimi
ლაინერი,ɫaineɾi
ლაიფციგი,ɫaipʰt͡sʰiɡi
ლაკმუსი,ɫakʼmusi
ლაკონიზმი,ɫakʼonizmi
ლაკონიურობა,ɫakʼoniuɾoba
ლაკონურად,ɫakʼonuɾad
ლალი,ɫali
ლალისფერი,ɫalispʰeɾi
ლამა,ɫama
ლამაზი,ɫamazi
ლამაზმანი,ɫamazmani
ლამბაქი,ɫambakʰi
ლამინარია,ɫaminaɾia
ლამის,ɫamis
ლამპარი,ɫampʼaɾi
ლანგარი,ɫanɡaɾi
ლანდი,ɫandi
ლანდო,ɫando
ლანდსკნეხტი,ɫandskʼneχtʼi
ლანთანი,ɫantʰani
ლანკასტერი,ɫankʼastʼeɾi
ლანოლინი,ɫanolini
ლანჩი,ɫant͡ʃʰi
ლანცეტი,ɫant͡sʰetʼi
ლანძღავს,ɫand͡zʁafs
ლაოსი,ɫaosi
ლაპარაკი,ɫapʼaɾakʼi
ლაპიდარული,ɫapʼidaɾuli
ლაჟვარდისფერი,ɫaʒʷaɾdispʰeɾi
ლაჟვარდოვანი,ɫaʒʷaɾdovani
ლარი,ɫaɾi
ლარინგიტი,ɫaɾinɡitʼi
ლარისა,ɫaɾisa
ლარიქსი,ɫaɾikʰsi
ლარნაკი,ɫaɾnakʼi
ლასო,ɫaso
ლასურაშვილი,ɫasuɾaʃʷili
ლასხიშვილი,ɫasχiʃʷili
ლატანი,ɫatʼani
ლატარია,ɫatʼaɾia
ლატექსი,ɫatʼekʰsi
ლატვია,ɫatʼʷia
ლატვიელი,ɫatʼʷieli
ლატვიური,ɫatʼʷiuɾi
ლაურა,ɫauɾa
ლაურეატი,ɫauɾeatʼi
ლაფანი,ɫapʰani
ლაფეტი,ɫapʰetʼi
ლაქა,ɫakʰa
ლაქლაქა,ɫakʰɫakʰa
ლაღად,ɫaʁad
ლაყე,ɫaχʼe
ლაყუჩები,ɫaχʼut͡ʃʰebi
ლაყუჩი,ɫaχʼut͡ʃʰi
ლაშა,ɫaʃa
ლაშქარა,ɫaʃkʰaɾa
ლაშქარი,ɫaʃkʰaɾi
ლაშქრობა,ɫaʃkʰɾoba
ლაჩარი,ɫat͡ʃʰaɾi
ლაცაბიძე,ɫat͡sʰabid͡ze
ლახვარი,ɫaχʷaɾi
ლგბტ,lɡbtʼ
ლებანი,lebani
ლეგა,leɡa
ლეგატი,leɡatʼi
ლეგენდა,leɡenda
ლეგენდარულად,leɡendaɾuɫad
ლეგენდარული,leɡendaɾuli
ლეგიონერი,leɡioneɾi
ლეგიონი,leɡioni
ლევანი,levani
ლევანტი,levantʼi
ლეზვი,lezʷi
ლეი,lei
ლეიბი,leibi
ლეიბორისტი,leiboɾistʼi
ლეიკემია,leikʼemia
ლეიკოციტი,leikʼot͡sʰitʼi
ლეიტენანტი,leitʼenantʼi
ლეკვეიშვილი,lekʼʷeiʃʷili
ლეკვი,lekʼʷi
ლეკიაშვილი,lekʼiaʃʷili
ლეკიშვილი,lekʼiʃʷili
ლეკური,lekʼuɾi
ლელუბანი,leɫubani
ლემა,lema
ლემნა,lemna
ლენი,leni
ლენინგრადი,leninɡɾadi
ლენტი,lentʼi
ლენჩი,lent͡ʃʰi
ლენცოფა,lent͡sʰopʰa
ლეონარდი,leonaɾdi
ლეონი,leoni
ლეოპარდი,leopʼaɾdi
ლეპტოპი,lepʼtʼopʼi
ლერწამი,leɾt͡sʼami
ლერწმიანი,leɾt͡sʼmiani
ლესავს,lesafs
ლესბიანიზმი,lesbianizmi
ლესბოსელი,lesboseli
ლესბოსელობა,lesboseɫoba
ლესიჭინე,lesit͡ʃʼine
ლესლი,lesli
ლესოთო,lesotʰo
ლეტალური,letʼaɫuɾi
