はっ	h a̠ ʔ
じゅうぎょういん	d͡ʑ ɨᵝː ɡʲ o̞ː ĩ ɴ
しゅうぎょうしゃ	ɕ ɨᵝː ɡʲ o̞ː ɕ a̠
しゅうきょく	ɕ ɨᵝː kʲ o̞ k ɯ̟ᵝ
しゅうきんぺい	ɕ ɨᵝː kʲ ĩ m p e̞ː
ジュークボックス	d͡ʑ ɨᵝː k ɯ̟ᵝ b o̞ k̚ k ɯ̟ᵝ s ɨ̥ᵝ
シュークリーム	ɕ ɨᵝː k ɯ̟ᵝ ɾʲ iː m ɯ̟ᵝ
じゅうぐんいあんふ	d͡ʑ ɨᵝː ɡ ɯ̟̃ᵝ ɰ̃ i ã̠ ɰ̃ ɸ ɯ̟ᵝ
しゅうけい	ɕʲ ɯᵝː k e̞ː
じゅうけい	d͡ʑ ɨᵝː k e̞ː
シューゲイザー	ɕ ɨᵝː ɡ e̞ː z a̠ː
じゅうけいしょう	d͡ʑ ɨᵝː k e̞ː ɕ o̞ː
じゅうけいてい	d͡ʑ ɨᵝː k e̞ː t e̞ː
じゅうげき	d͡ʑ ɨᵝː ɡ e̞ kʲ i
じゅうげきせん	d͡ʑ ɨᵝː ɡ e̞ kʲ i s ẽ̞ ɴ
しゅうけつ	ɕ ɨᵝː k e̞ t͡s ɨᵝ
しゅうけつ	ɕ ɨᵝː k e̞ t͡s ɨᵝ
しゅうげん	ɕ ɨᵝː ɡ ẽ̞ ɴ
じゅうご	d͡ʑ ɨᵝː ɡ o̞
じゅうご	d͡ʑ ɨᵝː ɡ o̞
しゅうこう	ɕ ɨᵝː k o̞ː
じゅうこう	d͡ʑ ɨᵝː k o̞ː
じゅうこう	d͡ʑ ɨᵝː k o̞ː
じゅうごう	d͡ʑ ɨᵝː ɡ o̞ː
じゅうこうぎょう	d͡ʑ ɨᵝː k o̞ː ɡʲ o̞ː
しゅうこうぼ	ɕ ɨᵝː k o̞ː b o̞
しゅうごうろん	ɕ ɨᵝː ɡ o̞ː ɾ õ̞ ɴ
じゅうこん	d͡ʑ ɨᵝː k õ̞ ɴ
しゅうさ	ɕ ɨᵝː s a̠
じゅうざい	d͡ʑ ɨᵝː z a̠ i
しゅうさいぼう	ɕ ɨᵝː s a̠ i b o̞ː
しゅうさく	ɕ ɨᵝː s a̠ k ɯ̟ᵝ
じゅうさつ	d͡ʑ ɨᵝː s a̠ t͡s ɨᵝ
じゅうさつたい	d͡ʑ ɨᵝː s a̠ t͡s ɨᵝ t a̠ i
シュウさん	ɕ ɨᵝː s ã̠ ɴ
しゅうさん	ɕ ɨᵝː s ã̠ ɴ
じゅうさんり	d͡ʑ ɨᵝː s ã̠ n ɾʲ i
しゅうし	ɕ ɨᵝː ɕ i
しゅうし	ɕ ɨᵝː ɕ i
しゅうし	ɕ ɨᵝː ɕ i
しゅうし	ɕ ɨᵝː ɕ i
しゅうじ	ɕ ɨᵝː ʑ i
しゅうじ	ɕ ɨᵝː ʑ i
じゅうし	d͡ʑ ɨᵝː ɕ i
ひではる	ç i d e̞ h a̠ ɾ ɯ̟ᵝ
しゅうじ	ɕ ɨᵝː ʑ i
じゅうし	d͡ʑ ɨᵝː ɕ i
じゅうじ	d͡ʑ ɨᵝː ʑ i
じゅうじ	d͡ʑ ɨᵝː ʑ i
じゅうじ	d͡ʑ ɨᵝː ʑ i
じゅうじか	d͡ʑ ɨᵝː ʑ i k a̠
しゅうじがく	ɕ ɨᵝː ʑ i ɡ a̠ k ɯ̟ᵝ
じゅうじぐん	d͡ʑ ɨᵝː ʑ i ɡ ɯ̟̃ᵝ ɴ
しゅうしけい	ɕ ɨᵝː ɕ i̥ k e̞ː
じゅうじしゃ	d͡ʑ ɨᵝː ʑ i ɕ a̠
じゅうじせん	d͡ʑ ɨᵝː ʑ i s ẽ̞ ɴ
しゅうしふ	ɕ ɨᵝː ɕ i ɸ ɯ̟ᵝ
しゅうじほう	ɕ ɨᵝː ʑ i h o̞ː
じゅうしまい	d͡ʑ ɨᵝː ɕ i m a̠ i
じゅうしまつ	d͡ʑ ɨᵝː ɕ i m a̠ t͡s ɨᵝ
じゅうしゃ	d͡ʑ ɨᵝː ɕ a̠
しゅうちゃく	ɕ ɨᵝː t͡ɕ a̠ k ɯ̟ᵝ
にゅうじゃく	ɲ̟ ɯ̟ᵝː ʑ a̠ k ɯ̟ᵝ
しゅうしゅ	ɕ ɨᵝː ɕ ɨᵝ
しゅうしゅ	ɕ ɨᵝː ɕ ɨᵝ
しゅうしゅう	ɕ ɨᵝː ɕ ɨᵝː
しゅうしゅう	ɕ ɨᵝː ɕ ɨᵝː
しゅじゅう	ɕ ɨᵝ ʑ ɨᵝː
じゅうじゅう	d͡ʑ ɨᵝː ʑ ɨᵝː
しゅうしゅく	ɕ ɨᵝː ɕ ɨᵝ k ɯ̟ᵝ
じゅうじゅつ	d͡ʑ ɨᵝː ʑ ɨᵝ t͡s ɨᵝ
じゅうじゅん	d͡ʑ ɨᵝː ʑ ɨ̃ᵝ ɴ
じゅうしょ	d͡ʑ ɨᵝː ɕ o̞
ぶおんな	b ɯ̟ᵝ õ̞ nː a̠
しゅうしょう	ɕ ɨᵝː ɕ o̞ː
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
しゅうしょく	ɕ ɨᵝː ɕ o̞ k ɯ̟ᵝ
しゅうしょく	ɕ ɨᵝː ɕ o̞ k ɯ̟ᵝ
しゅうしょく	ɕ ɨᵝː ɕ o̞ k ɯ̟ᵝ
じゅうしょく	d͡ʑ ɨᵝː ɕ o̞ k ɯ̟ᵝ
しゅうしょくご	ɕ ɨᵝː ɕ o̞ k ɯ̟ᵝ ɡ o̞
しゅうじょし	ɕ ɨᵝː ʑ o̞ ɕ i
じゅうしょろく	d͡ʑ ɨᵝː ɕ o̞ ɾ o̞ k ɯ̟ᵝ
じゅうじろ	d͡ʑ ɨᵝː ʑ i ɾ o̞
しゅうしん	ɕ ɨᵝː ɕ ĩ ɴ
しゅうしん	ɕ ɨᵝː ɕ ĩ ɴ
しゅうしん	ɕ ɨᵝː ɕ ĩ ɴ
じゅうしん	d͡ʑ ɨᵝː ɕ ĩ ɴ
じゅうじん	d͡ʑ ɨᵝː ʑ ĩ ɴ
しゅうしんけい	ɕ ɨᵝː ɕ ĩ ŋ k e̞ː
シューズ	ɕ ɨᵝː z ɨᵝ
ジュース	d͡ʑ ɨᵝː s ɨᵝ
じゅうすい	d͡ʑ ɨᵝː s ɨᵝ i
じゅうすいそ	d͡ʑ ɨᵝː s ɨᵝ i s o̞
しゅうせい	ɕ ɨᵝː s e̞ː
しゅうせい	ɕ ɨᵝː s e̞ː
しゅうせいあん	ɕ ɨᵝː s e̞ː ã̠ ɴ
しゅうせいえき	ɕ ɨᵝː s e̞ː e̞ kʲ i
しゅうせいしゅぎ	ɕ ɨᵝː s e̞ː ɕ ɨᵝ ɡʲ i
しゅうせきかいろ	ɕ ɨᵝː s e̞ kʲ i̥ k a̠ i ɾ o̞
しゅうぜん	ɕ ɨᵝː z ẽ̞ ɴ
じゅうぜん	d͡ʑ ɨᵝː z ẽ̞ ɴ
じゅうぜん	d͡ʑ ɨᵝː z ẽ̞ ɴ
じゅうぜん	d͡ʑ ɨᵝː z ẽ̞ ɴ
しゅうぜんこう	ɕ ɨᵝː z ẽ̞ ŋ k o̞ː
しゅうそ	ɕ ɨᵝː s o̞
しゅうぞう	ɕ ɨᵝː z o̞ː
じゅうそう	d͡ʑ ɨᵝː s o̞ː
じゅうそう	d͡ʑ ɨᵝː s o̞ː
じゅうさん	d͡ʑ ɨᵝː s ã̠ ɴ
じゅうそうび	d͡ʑ ɨᵝː s o̞ː bʲ i
しゅうそく	ɕ ɨᵝː s o̞ k ɯ̟ᵝ
しゅうぞく	ɕ ɨᵝː z o̞ k ɯ̟ᵝ
じゅうぞく	d͡ʑ ɨᵝː z o̞ k ɯ̟ᵝ
じゅうぞくせつ	d͡ʑ ɨᵝː z o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
しゅうたい	ɕ ɨᵝː t a̠ i
じゅうたい	d͡ʑ ɨᵝː t a̠ i
ちゅうたい	t͡ɕ ɨᵝː t a̠ i
じゅうたい	d͡ʑ ɨᵝː t a̠ i
じゅうだい	d͡ʑ ɨᵝː d a̠ i
しゅうたいせい	ɕ ɨᵝː t a̠ i s e̞ː
じゅうたく	d͡ʑ ɨᵝː t a̠ k ɯ̟ᵝ
じゅうたん	d͡ʑ ɨᵝː t ã̠ ɴ
しゅうだん	ɕ ɨᵝː d ã̠ ɴ
じゅうだん	d͡ʑ ɨᵝː d ã̠ ɴ
しゅうだんか	ɕ ɨᵝː d ã̠ ŋ k a̠
じゅうたんさん	d͡ʑ ɨᵝː t ã̠ ɰ̃ s ã̠ ɴ
じゅうたんばくげき	d͡ʑ ɨᵝː t ã̠ m b a̠ k ɯ̟ᵝ ɡ e̞ kʲ i
しゅうち	ɕ ɨᵝː t͡ɕ i
しゅうち	ɕ ɨᵝː t͡ɕ i
しゅうちしん	ɕ ɨᵝː t͡ɕ i ɕ ĩ ɴ
しゅうちゃく	ɕ ɨᵝː t͡ɕ a̠ k ɯ̟ᵝ
しゅうちゃくえき	ɕ ɨᵝː t͡ɕ a̠ k ɯ̟ᵝ e̞ kʲ i
しゅうちゅう	ɕ ɨᵝː t͡ɕ ɨᵝː
しゅうちゅうりょく	ɕ ɨᵝː t͡ɕ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
しゅうちんぼん	ɕ ɨᵝː t͡ɕ ĩ m b õ̞ ɴ
しゅうてい	ɕ ɨᵝː t e̞ː
じゅうていおん	d͡ʑ ɨᵝː t e̞ː õ̞ ɴ
しゅうでん	ɕ ɨᵝː d ẽ̞ ɴ
じゅうでん	d͡ʑ ɨᵝː d ẽ̞ ɴ
じゅうでんき	d͡ʑ ɨᵝː d ẽ̞ ŋʲ kʲ i
しゅうでんしゃ	ɕ ɨᵝː d ẽ̞ ɰ̃ ɕ a̠
じゅうでんち	d͡ʑ ɨᵝː d ẽ̞ ɲ̟ t͡ɕ i
じゅうてんてき	d͡ʑ ɨᵝː t ẽ̞ n t e̞ kʲ i
しゅうと	ɕ ɨᵝː t o̞
しゅうと	ɕ ɨᵝː t o̞
しひとめ	ɕ ɨᵝː t o̞ m e̞
じゅうど	d͡ʑ ɨᵝː d o̞
しゅうどう	ɕ ɨᵝː d o̞ː
しゅうどう	ɕ ɨᵝː d o̞ː
じゅうどう	d͡ʑ ɨᵝː d o̞ː
しゅうどうし	ɕ ɨᵝː d o̞ː ɕ i
しゅうどうしゃ	ɕ ɨᵝː d o̞ː ɕ a̠
しゅうどうふ	ɕ ɨᵝː d o̞ː ɸ ɯ̟ᵝ
しゅうとく	ɕ ɨᵝː t o̞ k ɯ̟ᵝ
じゅうとく	d͡ʑ ɨᵝː t o̞ k ɯ̟ᵝ
じゅうしち	d͡ʑ ɨᵝː ɕ i t͡ɕ i
しゅうなん	ɕ ɨᵝː n ã̠ ɴ
じゅうなんざい	d͡ʑ ɨᵝː n ã̠ n d͡z a̠ i
じゅうに	d͡ʑ ɨᵝː ɲ̟ i
じゅうにきゅう	d͡ʑ ɨᵝː ɲ̟ i kʲ ɨᵝː
じゅうにし	d͡ʑ ɨᵝː ɲ̟ i ɕ i
じゅうにじ	d͡ʑ ɨᵝː ɲ̟ i ʑ i
じゅうにしちょう	d͡ʑ ɨᵝː ɲ̟ i ɕ i t͡ɕ o̞ː
じゅうにしちょうかいよう	d͡ʑ ɨᵝː ɲ̟ i ɕ i t͡ɕ o̞ː k a̠ i j o̞ː
じゅうにぶん	d͡ʑ ɨᵝː ɲ̟ i b ɯ̟̃ᵝ ɴ
じゅうにめんたい	d͡ʑ ɨᵝː ɲ̟ i m ẽ̞ n t a̠ i
しゅうにゅう	ɕ ɨᵝː ɲ̟ ɯ̟ᵝː
しゅうにん	ɕ ɨᵝː ɲ̟ ĩ ɴ
じゅうにん	d͡ʑ ɨᵝː ɲ̟ ĩ ɴ
しゅうねん	ɕ ɨᵝː n ẽ̞ ɴ
しゅうねん	ɕ ɨᵝː n ẽ̞ ɴ
しゅうねん	ɕ ɨᵝː n ẽ̞ ɴ
しゅうは	ɕ ɨᵝː h a̠
しゅうは	ɕ ɨᵝː h a̠
たてなみ	t a̠ t e̞ n a̠ mʲ i
しゅうばい	ɕ ɨᵝː b a̠ i
かさねばこ	k a̠ s a̠ n e̞ b a̠ k o̞
じゅうばこよみ	d͡ʑ ɨᵝː b a̠ k o̞ j o̞ mʲ i
しゅうはすう	ɕ ɨᵝː h a̠ s ɨᵝː
じゅうはち	d͡ʑ ɨᵝː h a̠ t͡ɕ i
じゅうはん	d͡ʑ ɨᵝː h ã̠ ɴ
じゅうはん	d͡ʑ ɨᵝː h ã̠ ɴ
じゅうびょう	d͡ʑ ɨᵝː bʲ o̞ː
あきかぜ	a̠ kʲ i k a̠ z e̞
しゅうふく	ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
しゅうぶん	ɕ ɨᵝː b ɯ̟̃ᵝ ɴ
しゅうぶん	ɕ ɨᵝː b ɯ̟̃ᵝ ɴ
じゅうぶん	d͡ʑ ɨᵝː b ɯ̟̃ᵝ ɴ
しゅうぶんてん	ɕ ɨᵝː b ɯ̟̃ᵝ n t ẽ̞ ɴ
しゅうへい	ɕ ɨᵝː h e̞ː
ちょうほう	t͡ɕ o̞ː h o̞ː
じゅうほう	d͡ʑ ɨᵝː h o̞ː
しゅうまい	ɕ ɨᵝː m a̠ i
しゅうまつ	ɕ ɨᵝː m a̠ t͡s ɨᵝ
しゅうまつろん	ɕ ɨᵝː m a̠ t͡s ɨᵝ ɾ õ̞ ɴ
じゅうまん	d͡ʑ ɨᵝː m ã̠ ɴ
じゅうまん	d͡ʑ ɨᵝː m ã̠ ɴ
じゅうみん	d͡ʑ ɨᵝː mʲ ĩ ɴ
じゅうみんひょう	d͡ʑ ɨᵝː mʲ ĩ ɰ̃ ç o̞ː
しゅうめい	ɕ ɨᵝː m e̞ː
しゅうめい	ɕ ɨᵝː m e̞ː
じゅうめんたい	d͡ʑ ɨᵝː m ẽ̞ n t a̠ i
じゅうもう	d͡ʑ ɨᵝː m o̞ː
しゅうゆう	ɕ ɨᵝː j ɯ̟ᵝː
しゅうよう	ɕ ɨᵝː j o̞ː
じゅうよう	d͡ʑ ɨᵝː j o̞ː
じゅうようせい	d͡ʑ ɨᵝː j o̞ː s e̞ː
じゅうし	d͡ʑ ɨᵝː ɕ i
しゅうらい	ɕ ɨᵝː ɾ a̠ i
じゅうらい	d͡ʑ ɨᵝː ɾ a̠ i
しゅうらく	ɕ ɨᵝː ɾ a̠ k ɯ̟ᵝ
しゅうらく	ɕ ɨᵝː ɾ a̠ k ɯ̟ᵝ
しゅうらん	ɕ ɨᵝː ɾ ã̠ ɴ
しゅうり	ɕ ɨᵝː ɾʲ i
しゅうりこう	ɕ ɨᵝː ɾʲ i k o̞ː
しゅうりょう	ɕ ɨᵝː ɾʲ o̞ː
じゅうりょう	d͡ʑ ɨᵝː ɾʲ o̞ː
じゅうりょう	d͡ʑ ɨᵝː ɾʲ o̞ː
じゅうりょく	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
じゅうりょくは	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ h a̠
しゅうりん	ɕ ɨᵝː ɾʲ ĩ ɴ
じゅうりん	d͡ʑ ɨᵝː ɾʲ ĩ ɴ
シュール	ɕ ɨᵝː ɾ ɯ̟ᵝ
ジュール	d͡ʑ ɨᵝː ɾ ɯ̟ᵝ
シュールストレミング	ɕ ɨᵝː ɾ ɯ̟ᵝ s ɨᵝ t o̞ ɾ e̞ mʲ ĩ ŋ ɡ ɯ̟ᵝ
シュールレアリスム	ɕ ɨᵝː ɾ ɯ̟ᵝ ɾ e̞ a̠ ɾʲ i s ɨᵝ m ɯ̟ᵝ
しゅうれい	ɕ ɨᵝː ɾ e̞ː
しゅうれい	ɕ ɨᵝː ɾ e̞ː
しゅうれん	ɕ ɨᵝː ɾ ẽ̞ ɴ
しゅうれん	ɕ ɨᵝː ɾ ẽ̞ ɴ
しゅうろう	ɕ ɨᵝː ɾ o̞ː
しゅうろく	ɕ ɨᵝː ɾ o̞ k ɯ̟ᵝ
じゅうろく	d͡ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ
いざよい	i z a̠ j o̞ i
じゅえき	d͡ʑ ɨᵝ e̞ kʲ i
しゅえん	ɕ ɨᵝ ẽ̞ ɴ
じゅか	d͡ʑ ɨᵝ k a̠
しゅかい	ɕ ɨᵝ k a̠ i
じゅかい	d͡ʑ ɨᵝ k a̠ i
しゅかく	ɕ ɨ̥ᵝ k a̠ k ɯ̟ᵝ
じゅがく	d͡ʑ ɨᵝ ɡ a̠ k ɯ̟ᵝ
しゅかん	ɕ ɨᵝ k ã̠ ɴ
じゅかん	d͡ʑ ɨᵝ k ã̠ ɴ
しゅかんてき	ɕ ɨ̥ᵝ k ã̠ n t e̞ kʲ i
しゅき	ɕ ɨᵝ kʲ i
てばた	t e̞ b a̠ t a̠
しゅき	ɕ ɨᵝ kʲ i
しゅぎ	ɕ ɨᵝ ɡʲ i
しゅキー	ɕ ɨᵝ kʲ iː
やもり	j a̠ m o̞ ɾʲ i
じゅきゅう	d͡ʑ ɨᵝ kʲ ɨᵝː
しゅきょう	ɕ ɨ̥ᵝ kʲ o̞ː
じゅきょう	d͡ʑ ɨᵝ kʲ o̞ː
しゅぎょく	ɕ ɨᵝ ɡʲ o̞ k ɯ̟ᵝ
じゅきりん	d͡ʑ ɨᵝ kʲ i ɾʲ ĩ ɴ
しゅきん	ɕ ɨᵝ kʲ ĩ ɴ
しゅく	ɕ ɨᵝ k ɯ̟ᵝ
しゅく	ɕ ɨᵝ k ɯ̟ᵝ
かゆ	k a̠ j ɯ̟ᵝ
じゅく	d͡ʑ ɨᵝ k ɯ̟ᵝ
しゅくえん	ɕ ɨᵝ k ɯ̟ᵝ ẽ̞ ɴ
しゅくえん	ɕ ɨ̥ᵝ k ɯ̟ᵝ ẽ̞ ɴ
じゅくおん	d͡ʑ ɨᵝ k ɯ̟ᵝ õ̞ ɴ
しゅくが	ɕ ɨ̥ᵝ k ɯ̟ᵝ ɡ a̠
しゅくがかい	ɕ ɨᵝ k ɯ̟ᵝ ɡ a̠ k a̠ i
しゅくげん	ɕ ɨᵝ k ɯ̟ᵝ ɡ ẽ̞ ɴ
じゅくご	d͡ʑ ɨᵝ k ɯ̟ᵝ ɡ o̞
じゅくごしゅう	d͡ʑ ɨᵝ k ɯ̟ᵝ ɡ o̞ ɕ ɨᵝː
しゅくさつ	ɕ ɨᵝ k ɯ̟ᵝ s a̠ t͡s ɨᵝ
じゅくじ	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ i
じゅくじくん	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ i k ɯ̟̃ᵝ ɴ
しゅくじつ	ɕ ɨᵝ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
しゅくしゃく	ɕ ɨᵝ k ɯ̟ᵝ ɕ a̠ k ɯ̟ᵝ
しゅくしゅ	ɕ ɨ̥ᵝ k ɯ̟ᵝ ɕ ɨᵝ
しゅくしゅく	ɕ ɨᵝ k ɯ̟ᵝ ɕ ɨᵝ k ɯ̟ᵝ
しゅくしょ	ɕ ɨᵝ k ɯ̟̊ᵝ ɕ o̞
しゅくじょ	ɕ ɨᵝ k ɯ̟ᵝ ʑ o̞
じゅくじょ	d͡ʑ ɨᵝ k ɯ̟ᵝ ʑ o̞
じゅくすい	d͡ʑ ɨᵝ k ɯ̟̊ᵝ s ɨᵝ i
しゅくせい	ɕ ɨ̥ᵝ k ɯ̟ᵝ s e̞ː
じゅくせい	d͡ʑ ɨᵝ k ɯ̟ᵝ s e̞ː
しゅくだい	ɕ ɨᵝ k ɯ̟ᵝ d a̠ i
じゅくち	d͡ʑ ɨᵝ k ɯ̟ᵝ t͡ɕ i
しゅくてき	ɕ ɨᵝ k ɯ̟ᵝ t e̞ kʲ i
しゅくてだい	ɕ ɨᵝ k ɯ̟ᵝ t e̞ d a̠ i
じゅくどく	d͡ʑ ɨᵝ k ɯ̟ᵝ d o̞ k ɯ̟ᵝ
しゅくはく	ɕ ɨᵝ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ
じゅくばん	d͡ʑ ɨᵝ k ɯ̟ᵝ b ã̠ ɴ
しゅくふく	ɕ ɨ̥ᵝ k ɯ̟ᵝ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
しゅくぶん	ɕ ɨᵝ k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
しゅくほう	ɕ ɨᵝ k ɯ̟ᵝ h o̞ː
しゅくぼう	ɕ ɨᵝ k ɯ̟ᵝ b o̞ː
じゅくみん	d͡ʑ ɨᵝ k ɯ̟ᵝ mʲ ĩ ɴ
しゅくめい	ɕ ɨ̥ᵝ k ɯ̟ᵝ m e̞ː
しゅくめいろん	ɕ ɨᵝ k ɯ̟ᵝ m e̞ː ɾ õ̞ ɴ
シュクメルリ	ɕ ɨᵝ k ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ ɾʲ i
しゅくもう	ɕ ɨᵝ k ɯ̟ᵝ m o̞ː
やどや	j a̠ d o̞ j a̠
しゅくやく	ɕ ɨᵝ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
しゅくやくにん	ɕ ɨᵝ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
しゅくゆう	ɕ ɨᵝ k ɯ̟ᵝ j ɯ̟ᵝː
しゅげい	ɕ ɨᵝ ɡ e̞ː
しゅげい	ɕ ɨᵝ ɡ e̞ː
じゅけいしゃ	d͡ʑ ɨᵝ k e̞ː ɕ a̠
しゅけん	ɕ ɨ̥ᵝ k ẽ̞ ɴ
じゅけん	d͡ʑ ɨᵝ k ẽ̞ ɴ
じゅけんせい	d͡ʑ ɨᵝ k ẽ̞ ɰ̃ s e̞ː
しゅご	ɕ ɨᵝ ɡ o̞
しゅこう	ɕ ɨᵝ k o̞ː
しゅこう	ɕ ɨᵝ k o̞ː
しゅこう	ɕ ɨᵝ k o̞ː
じゅこう	d͡ʑ ɨᵝ k o̞ː
しゅこうげい	ɕ ɨᵝ k o̞ː ɡ e̞ː
しゅごしん	ɕ ɨᵝ ɡ o̞ ɕ ĩ ɴ
じゅごん	d͡ʑ ɨᵝ ɡ õ̞ ɴ
しゅこんこつ	ɕ ɨ̥ᵝ k õ̞ ŋ k o̞ t͡s ɨᵝ
しゅさ	ɕ ɨᵝ s a̠
しゅさい	ɕ ɨᵝ s a̠ i
しゅざい	ɕ ɨᵝ z a̠ i
てふだ	t e̞ ɸ ɯ̟ᵝ d a̠
しゅざん	ɕ ɨᵝ z ã̠ ɴ
しゅし	ɕ ɨ̥ᵝ ɕ i
しゅし	ɕ ɨᵝ ɕ i
しゅじく	ɕ ɨᵝ ʑ i k ɯ̟ᵝ
すざく	s ɨᵝ z a̠ k ɯ̟ᵝ
じゅしゃく	d͡ʑ ɨᵝ ɕ a̠ k ɯ̟ᵝ
しゅじゅ	ɕ ɨᵝ ʑ ɨᵝ
しゅじゅつ	ɕ ɨᵝ ʑ ɨᵝ t͡s ɨᵝ
じゅじゅつ	d͡ʑ ɨᵝ ʑ ɨᵝ t͡s ɨᵝ
しゅしょう	ɕ ɨᵝ ɕ o̞ː
しゅしょう	ɕ ɨᵝ ɕ o̞ː
しゅじょう	ɕ ɨᵝ ʑ o̞ː
じゅしょう	d͡ʑ ɨᵝ ɕ o̞ː
じゅしょう	d͡ʑ ɨᵝ ɕ o̞ː
じゅしょう	d͡ʑ ɨᵝ ɕ o̞ː
しゅじょう	ɕ ɨᵝ ʑ o̞ː
しゅじょうさいど	ɕ ɨᵝ ʑ o̞ː s a̠ i d o̞
じゅしょうしき	d͡ʑ ɨᵝ ɕ o̞ː ɕ i kʲ i
しゅしょうめい	ɕ ɨᵝ ɕ o̞ː m e̞ː
しゅしょく	ɕ ɨᵝ ɕ o̞ k ɯ̟ᵝ
しゅしょく	ɕ ɨ̥ᵝ ɕ o̞ k ɯ̟ᵝ
しゅしん	ɕ ɨᵝ ɕ ĩ ɴ
しゅじん	ɕ ɨᵝ ʑ ĩ ɴ
じゅしんき	d͡ʑ ɨᵝ ɕ ĩ ŋʲ kʲ i
しゅじんこう	ɕ ɨᵝ ʑ ĩ ŋ k o̞ː
しゅじんこうほせい	ɕ ɨᵝ ʑ ĩ ŋ k o̞ː h o̞ s e̞ː
じゅしんにん	d͡ʑ ɨᵝ ɕ ĩ ɲ̟ ɲ̟ ĩ ɴ
しゅすい	ɕ ɨᵝ s ɨᵝ i
しゅずだま	ɕ ɨᵝ z ɨᵝ d a̠ m a̠
しゅせい	ɕ ɨᵝ s e̞ː
じゅせい	d͡ʑ ɨᵝ s e̞ː
しゅせき	ɕ ɨᵝ s e̞ kʲ i
しゅせつ	ɕ ɨᵝ s e̞ t͡s ɨᵝ
しゅせんど	ɕ ɨᵝ s ẽ̞ n d o̞
しゅぞう	ɕ ɨᵝ z o̞ː
しゅぞく	ɕ ɨᵝ z o̞ k ɯ̟ᵝ
しゅたい	ɕ ɨᵝ t a̠ i
しゅだい	ɕ ɨᵝ d a̠ i
しゅだいか	ɕ ɨᵝ d a̠ i k a̠
しゅたいてき	ɕ ɨᵝ t a̠ i t e̞ kʲ i
じゅだく	d͡ʑ ɨᵝ d a̠ k ɯ̟ᵝ
じゅちゅう	d͡ʑ ɨᵝ t͡ɕ ɨᵝː
しゅちょうこく	ɕ ɨ̥ᵝ t͡ɕ o̞ː k o̞ k ɯ̟ᵝ
じゅっかい	d͡ʑ ɨᵝ k̚ k a̠ i
しゅっかく	ɕ ɨᵝ k̚ k a̠ k ɯ̟ᵝ
しゅっきん	ɕ ɨᵝ k̚ʲ kʲ ĩ ɴ
しゅっきん	ɕ ɨᵝ k̚ʲ kʲ ĩ ɴ
しゅっけ	ɕ ɨᵝ k̚ k e̞
しゅっこう	ɕ ɨᵝ k̚ k o̞ː
しゅっこう	ɕ ɨᵝ k̚ k o̞ː
しゅっこう	ɕ ɨᵝ k̚ k o̞ː
じゅっこう	d͡ʑ ɨᵝ k̚ k o̞ː
しゅっこく	ɕ ɨᵝ k̚ k o̞ k ɯ̟ᵝ
しゅっさつぐち	ɕ ɨᵝ sː a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ t͡ɕ i
しゅっさつじょ	ɕ ɨᵝ sː a̠ t͡s ɨᵝ ʑ o̞
しゅっさん	ɕ ɨᵝ sː ã̠ ɴ
しゅっさんきゅうか	ɕ ɨᵝ sː ã̠ ŋʲ kʲ ɨᵝː k a̠
しゅっさんりつ	ɕ ɨᵝ sː ã̠ n ɾʲ i t͡s ɨᵝ
しゅっしゃ	ɕ ɨᵝ ɕː a̠
しゅっしょうりつ	ɕ ɨᵝ ɕː o̞ː ɾʲ i t͡s ɨᵝ
しゅっせ	ɕ ɨᵝ sː e̞
しゅっせうお	ɕ ɨᵝ sː e̞ ɯ̟ᵝ o̞
しゅっせきぼ	ɕ ɨᵝ sː e̞ kʲ i b o̞
しゅっそう	ɕ ɨᵝ sː o̞ː
しゅっそうば	ɕ ɨᵝ sː o̞ː b a̠
じゅっちゅう	d͡ʑ ɨᵝ t̚ t͡ɕ ɨᵝː
じっちゅうはっく	d͡ʑ i t̚ t͡ɕ ɨᵝː h a̠ k̚ k ɯ̟ᵝ
しゅっちょう	ɕ ɨᵝ t̚ t͡ɕ o̞ː
