ya	ja
ungekamilisha	unɡekamiliʃa
ungekosa	unɡekosa
ungekuwauamuzi	unɡekuwauamuzi
ungekwishapatikana	unɡekwiʃapatikana
ungemtenga	unɡemtenɡa
ungemuomba	unɡemuomba
ungemwaga	unɡemwaɠa
ungemwona	unɡemwona
ungeonyesha	unɡeoɲeʃa
ungepanua	unɡepanua
ungerudiwa	unɡeɾuɗiwa
ungeruhusu	unɡeɾuhusu
ungeshauri	unɡeʃauɾi
ungetoa	unɡetoa
ungetoka	unɡetoka
ungetosha	unɡetoʃa
ungetuma	unɡetuma
ungetumika	unɡetumika
ungewakuta	unɡewakuta
ungezomea	unɡezomea
ungezoza	unɡezoza
ungonjwa	unɡonɟwa
ungua	unɡua
ungwe	unɡwe
uniache	uniat͡ʃe
uniambie	uniambie
unielewe	unielewe
unifikishie	unifikiʃie
unijibu	uniʄiɓu
unilinde	unilinde
unipeleke	unipeleke
unisomee	unisomee
unitoe	unitoe
unitumie	unitumie
ununuliwe	ununuliwe
unyagoni	uɲaɠoni
unyamaze	uɲamaze
unyanganyi	uɲanɡaɲi
unyanysaji	uɲaɲsaʄi
unyapara	uɲapaɾa
unyevuunyevu	uɲevuuɲevu
unyevuvyevu	uɲevuvjevu
unyongaji	uɲonɡaʄi
uoe	uoe
uogopwe	uoɠopwe
uogozi	uoɠozi
uokoazi	uokoazi
uokokozi	uokokozi
uokovu	uokovu
uombaji	uombaʄi
uondoe	uondoe
uondokaji	uondokaʄi
uondoke	uondoke
uongee	uonɡee
uongezaji	uonɡezaʄi
uongofu	uonɡofu
uongopzi	uonɡopzi
uongoza	uonɡoza
uongozini	uonɡozini
uongozo	uonɡozo
uonyeshe	uoɲeʃe
uonyeshwaji	uoɲeʃwaʄi
uoteshwe	uoteʃwe
uozefu	uozefu
up	up
upaaji	upaaʄi
upabuzi	upaɓuzi
upakiaaji	upakiaaʄi
upakuaji	upakuaʄi
upandikizwa	upandikizwa
upandishaji	upandiʃaʄi
upanga	upanɡa
upangishaji	upanɡiʃaʄi
upanukaji	upanukaʄi
upata	upata
upatikana	upatikana
upatikanajii	upatikanaʄii
upawa	upawa
upekuaji	upekuaʄi
upeleke	upeleke
upeleleze	upeleleze
upembe	upembe
upendeleuhsiano	upendeleuhsiano
upendelezo	upendelezo
upenseli	upenseli
upenyo	upeɲo
upeperushaji	upepeɾuʃaʄi
upigapo	upiɠapo
upige	upiɠe
upigwe	upiɠwe
upikaji	upikaʄi
upimbi	upimbi
upimwaji	upimwaʄi
upindishaji	upindiʃaʄi
upinduliwe	upinduliwe
upinzaniusio	upinzaniusio
upite	upite
upitia	upitia
upitiwe	upitiwe
upoanzia	upoanzia
upokelewaji	upokelewaʄi
upokewaji	upokewaʄi
uponyaji	upoɲaʄi
uporani	upoɾani
upoteze	upoteze
upotoshwaji	upotoʃwaʄi
upotovu	upotovu
upozaji	upozaʄi
uppercase	uppeɾcase
uprofesa	upɾofesa
upuliziaji	upuliziaʄi
upumzike	upumzike
upunguf	upunɡuf
upunguze	upunɡuze
upwa	upwa
uraisi	uɾaisi
uraniuam	uɾaniuam
urari	uɾaɾi
urasa	uɾasa
urasia	uɾasia
urasimishaji	uɾasimiʃaʄi
urejee	uɾeʄee
urejesho	uɾeʄeʃo
urejeshwaji	uɾeʄeʃwaʄi
urekebu	uɾekeɓu
ureno	uɾeno
uridhiaji	uɾiðiaʄi
uripotiwe	uɾipotiwe
uroto	uɾoto
urudie	uɾuɗie
urudishiwe	uɾuɗiʃiwe
urukaji	uɾukaʄi
urutubushi	uɾutuɓuʃi
usafari	usafaɾi
usafirisaji	usafiɾisaʄi
usafishaji	usafiʃaʄi
usahidi	usahiɗi
usaidie	usaiɗie
usaini	usaini
usajii	usaʄii
usala	usala
usalam	usalam
usamaria	usamaɾia
usambae	usambae
usambazji	usambazʄi
usambazwaji	usambazwaʄi
usambazwe	usambazwe
usela	usela
usemaji	usemaʄi
useme	useme
useneta	useneta
useramala	useɾamala
ushahahidi	uʃahahiɗi
ushambuaji	uʃambuaʄi
ushari	uʃaɾi
ushawaka	uʃawaka
ushawishiwa	uʃawiʃiwa
ushenzi	uʃenzi
ushikaji	uʃikaʄi
ushike	uʃike
ushinda	uʃinda
ushinde	uʃinde
ushirikianao	uʃiɾikianao
ushirikiani	uʃiɾikiani
ushirkiano	uʃiɾkiano
ushughukia	uʃuɣukia
ushughulikiwe	uʃuɣulikiwe
ushuke	uʃuke
ushwishi	uʃwiʃi
usiandike	usiandike
usiathiriwe	usiaθiɾiwe
usichana	usit͡ʃana
usicheze	usit͡ʃeze
usichezee	usit͡ʃezee
usichezwe	usit͡ʃezwe
usichukuliwe	usit͡ʃukuliwe
usidhani	usiðani
usiendeee	usiendeee
usiendelee	usiendelee
usiendeshwe	usiendeʃwe
usifanye	usifaɲe
usifike	usifike
usifikishe	usifikiʃe
usiharibike	usihaɾiɓike
usiiamini	usiiamini
usiichekee	usiit͡ʃekee
usiingie	usiinɡie
usiishie	usiiʃie
usijitukuze	usiʄitukuze
usikae	usikae
usikaidi	usikaiɗi
usikatwekwa	usikatwekwa
usikie	usikie
usikilize	usikilize
usikilizwa	usikilizwa
usikutane	usikutane
usilikuze	usilikuze
usilipue	usilipue
usimame	usimame
usimamizj	usimamizʄ
usimkumbuke	usimkumbuke
usimlazimishe	usimlazimiʃe
usimuelewe	usimuelewe
usimwambie	usimwambie
usimweleweshe	usimweleweʃe
usingeahirishwa	usinɡeahiɾiʃwa
usingedhani	usinɡeðani
usingemwambia	usinɡemwambia
usingetegemea	usinɡeteɠemea
usingetoa	usinɡetoa
usinilazimishe	usinilazimiʃe
usiniletee	usiniletee
usinzie	usinzie
usiobadilika	usioɓaɗilika
usiochuja	usiot͡ʃuʄa
usioelezeka	usioelezeka
usiofaa	usiofaa
usiofanya	usiofaɲa
usiogope	usioɠope
usioidhinishwa	usioiðiniʃwa
usioifaidisha	usioifaiɗiʃa
usiokamilika	usiokamilika
usiolipwa	usiolipwa
usiombe	usiombe
usiomhusu	usiomhusu
usiondoke	usiondoke
usionekane	usionekane
usioridhisha	usioɾiðiʃa
usiosameheka	usiosameheka
usiozidi	usioziɗi
usiozinagtia	usiozinaɠtia
usipatwe	usipatwe
usipigwe	usipiɠwe
usipime	usipime
usipofuata	usipofuata
usipoitisha	usipoitiʃa
usipokaa	usipokaa
usiposema	usiposema
usipotaja	usipotaʄa
usipoteze	usipoteze
usipotibiwa	usipotiɓiwa
usirejewe	usiɾeʄewe
usirekodiwe	usiɾekoɗiwe
usishiriki	usiʃiɾiki
usishuke	usiʃuke
usisimke	usisimke
usisubiri	usisuɓiɾi
usitarajie	usitaɾaʄie
usitawi	usitawi
usithubutu	usiθuɓutu
usitie	usitie
usitishwe	usitiʃwe
usito	usito
usitokee	usitokee
usitueleze	usitueleze
usitumike	usitumike
usituone	usituone
usiturudishe	usituɾuɗiʃe
usiuwe	usiuwe
usiwaamini	usiwaamini
usiwashe	usiwaʃe
usiwazibie	usiwaziɓie
usiweze	usiweze
usiye	usije
usiyependa	usijependa
usiyojua	usijoʄua
usiyokubalika	usijokuɓalika
usiziachie	usiziat͡ʃie
usiziri	usiziɾi
uslama	uslama
usogee	usoɠee
usomeshe	usomeʃe
ustahmilivy	ustahmilivj
ustawishaji	ustawiʃaʄi
usubi	usuɓi
usubiri	usuɓiɾi
usuhuba	usuhuɓa
usuluishi	usuluiʃi
usulutani	usulutani
uswahiba	uswahiɓa
uswahili	uswahili
uswizi	uswizi
utaadhibiwa	utaaðiɓiwa
utaahirishwa	utaahiɾiʃwa
utaambiwa	utaambiwa
utaamkiwa	utaamkiwa
utaamuliwa	utaamuliwa
utaandaliwa	utaandaliwa
utaanguka	utaanɡuka
utaashiria	utaaʃiɾia
utabainika	utaɓainika
utabakia	utaɓakia
utabeba	utaɓeɓa
utabibu	utaɓiɓu
utaboresha	utaɓoɾeʃa
utabuni	utaɓuni
utachagiza	utat͡ʃaɠiza
utachanganyikiwa	utat͡ʃanɡaɲikiwa
utachangia	utat͡ʃanɡia
utachomwa	utat͡ʃomwa
utachora	utat͡ʃoɾa
utachuma	utat͡ʃuma
utaelekezwa	utaelekezwa
utaeleza	utaeleza
utaenea	utaenea
utafafanyika	utafafaɲika
utafikaje	utafikaʄe
utafikisha	utafikiʃa
utafikishwa	utafikiʃwa
utafuatilia	utafuatilia
utafune	utafune
utafungua	utafunɡua
utafunguliwa	utafunɡuliwa
utafurahia	utafuɾahia
utafuta	utafuta
utafutwaji	utafutwaʄi
utafutwe	utafutwe
utageuka	utaɠeuka
utagharamia	utaɣaɾamia
utagusa	utaɠusa
utahisi	utahisi
utahudumia	utahuɗumia
utaibuka	utaiɓuka
utaidhinishwa	utaiðiniʃwa
utaifishaji	utaifiʃaʄi
utaigharimu	utaiɣaɾimu
utailetea	utailetea
utaimarishwa	utaimaɾiʃwa
utaingia	utainɡia
utainua	utainua
utainufaisha	utainufaiʃa
utaiona	utaiona
utaipa	utaipa
utaipitisha	utaipitiʃa
utairudisha	utaiɾuɗiʃa
utairuhusu	utaiɾuhusu
utaisaidia	utaisaiɗia
utaiwezesha	utaiwezeʃa
utajibu	utaʄiɓu
utajifunza	utaʄifunza
utajikita	utaʄikita
utajiuliza	utaʄiuliza
utajiunga	utaʄiunɡa
utajulikama	utaʄulikama
utajulikana	utaʄulikana
utajumuisha	utaʄumuiʃa
utajuta	utaʄuta
utajutia	utaʄutia
utakaaongozwa	utakaaonɡozwa
utakabiliana	utakaɓiliana
utakakosea	utakakosea
utakamchosema	utakamt͡ʃosema
utakamilisha	utakamiliʃa
utakandamiza	utakandamiza
utakaoambatana	utakaoambatana
utakaoamua	utakaoamua
utakaochelewesha	utakaot͡ʃeleweʃa
utakaochezwa	utakaot͡ʃezwa
utakaochota	utakaot͡ʃota
utakaoepuka	utakaoepuka
utakaofanywa	utakaofaɲwa
utakaofuata	utakaofuata
utakaofunguliwa	utakaofunɡuliwa
utakaohusisha	utakaohusiʃa
utakaoiweka	utakaoiweka
utakaojadili	utakaoʄaɗili
utakaokamilika	utakaokamilika
utakaokidhi	utakaokiði
utakaokusanya	utakaokusaɲa
utakaokutana	utakaokutana
utakaoleta	utakaoleta
utakaoliepusha	utakaoliepuʃa
utakaomalizika	utakaomalizika
utakaomlinda	utakaomlinda
utakaomtambua	utakaomtambua
utakaomwezesha	utakaomwezeʃa
utakaoona	utakaoona
utakaoondolewa	utakaoondolewa
utakaopigwa	utakaopiɠwa
utakaosimamia	utakaosimamia
utakaotekelezwa	utakaotekelezwa
utakaotengeneza	utakaotenɡeneza
utakaotumwa	utakaotumwa
utakaovishirikisha	utakaoviʃiɾikiʃa
utakaowaajiri	utakaowaaʄiɾi
utakaowafanya	utakaowafaɲa
utakaowahamasisha	utakaowahamasiʃa
utakaowaingizia	utakaowainɡizia
utakaowasaidia	utakaowasaiɗia
utakaowashirikisha	utakaowaʃiɾikiʃa
utakaowawezesha	utakaowawezeʃa
utakaowekwa	utakaowekwa
utakaoweza	utakaoweza
utakapoamua	utakapoamua
utakapoimarika	utakapoimaɾika
utakapoitwa	utakapoitwa
utakapokuwa	utakapokuwa
utakapopatikana	utakapopatikana
utakapopigiwa	utakapopiɠiwa
utakaporudi	utakapoɾuɗi
utakapotenguliwa	utakapotenɡuliwa
utakatifu	utakatifu
utakatwa	utakatwa
utakavyofanyika	utakavjofaɲika
utakavyokuwa	utakavjokuwa
utakayempa	utakajempa
utakayetumia	utakajetumia
utakayoingia	utakajoinɡia
utakayokumbana	utakajokumbana
utakazungumzwa	utakazunɡumzwa
utake	utake
utakelezaji	utakelezaʄi
utakifanya	utakifaɲa
utakinufaisha	utakinufaiʃa
utakipeleka	utakipeleka
utakitambuaje	utakitambuaʄe
utako	utako
utakomeshwa	utakomeʃwa
utakowezesha	utakowezeʃa
utakufanya	utakufaɲa
utakula	utakula
utakushinda	utakuʃinda
utakuwaje	utakuwaʄe
utakuza	utakuza
utalaam	utalaam
utalenga	utalenɡa
utalifanya	utalifaɲa
utaligawa	utaliɠawa
utalijua	utaliʄua
utalimia	utalimia
utalipaje	utalipaʄe
utalipwa	utalipwa
utalisikia	utalisikia
utaliua	utaliua
utalizungumzia	utalizunɡumzia
utalwa	utalwa
utamadumi	utamaɗumi
utamalizika	utamalizika
utambue	utambue
utambulishi	utambuliʃi
utamchagua	utamt͡ʃaɠua
utamjua	utamʄua
utamjumuisha	utamʄumuiʃa
utamka	utamka
utamkandamiza	utamkandamiza
utamnufaisha	utamnufaiʃa
utampandikizia	utampandikizia
utampigia	utampiɠia
utamrudishia	utamɾuɗiʃia
utamsomea	utamsomea
utamua	utamua
utamuomba	utamuomba
utamuwezesha	utamuwezeʃa
utamwezesha	utamwezeʃa
utanashati	utanaʃati
utangaze	utanɡaze
utanifanya	utanifaɲa
utanijibu	utaniʄiɓu
utanionyesha	utanioɲeʃa
utanufaika	utanufaika
utanzania	utanzania
utaokoa	utaokoa
utaondoka	utaondoka
utaongozwa	utaonɡozwa
utaonyeshwa	utaoɲeʃwa
utapatia	utapatia
utapatikana	utapatikana
utapatiwa	utapatiwa
utapelekea	utapelekea
utapelekekwa	utapelekekwa
utapewa	utapewa
utapia	utapia
utapigwa	utapiɠwa
utapitia	utapitia
utapokonya	utapokoɲa
utaponaje	utaponaʄe
utapotea	utapotea
utarabu	utaɾaɓu
utarahisha	utaɾahiʃa
utarahisisha	utaɾahisiʃa
utaratibua	utaɾatiɓua
utarejea	utaɾeʄea
utarijiri	utaɾiʄiɾi
utarudia	utaɾuɗia
utarudisha	utaɾuɗiʃa
utaruhusiwa	utaɾuhusiwa
utasaidiaje	utasaiɗiaʄe
utasaini	utasaini
utasambaratisha	utasambaɾatiʃa
utasema	utasema
utasemaje	utasemaʄe
utashindwa	utaʃindwa
utashughudia	utaʃuɣuɗia
utashughulikia	utaʃuɣulikia
utashuhudia	utaʃuhuɗia
utashuhudiwa	utaʃuhuɗiwa
utasikilizwa	utasikilizwa
utasimama	utasimama
utasitisha	utasitiʃa
utasitishwa	utasitiʃwa
utasuluhisha	utasuluhiʃa
utatafakariwa	utatafakaɾiwa
utatakiwa	utatakiwa
utatamani	utatamani
utatangaza	utatanɡaza
utataokea	utataokea
utatawala	utatawala
utatekeleza	utatekeleza
utatembea	utatembea
utatenda	utatenda
utatengwa	utatenɡwa
utatetea	utatetea
utathibitishwa	utaθiɓitiʃwa
utathubutu	utaθuɓutu
utatia	utatia
utatishiwa	utatiʃiwa
utatizima	utatizima
utatokana	utatokana
utatosha	utatoʃa
utatosheleza	utatoʃeleza
utatozwa	utatozwa
utatufikisha	utatufikiʃa
utatumikia	utatumikia
utatupa	utatupa
utatuvusha	utatuvuʃa
utatuweka	utatuweka
utaua	utaua
utauingizia	utauinɡizia
utaukuta	utaukuta
utaumwa	utaumwa
utaunganishiwa	utaunɡaniʃiwa
utaupata	utaupata
utauvunja	utauvunɟa
utauzidisha	utauziɗiʃa
utauzwa	utauzwa
utavikumba	utavikumba
utavuna	utavuna
utavunjika	utavunɟika
utavutia	utavutia
utawaambia	utawaambia
utawadanganya	utawaɗanɡaɲa
utawafikia	utawafikia
utawahudumia	utawahuɗumia
utawajua	utawaʄua
utawaonea	utawaonea
utawapokonya	utawapokoɲa
utawasamehe	utawasamehe
utawashwa	utawaʃwa
utawasili	utawasili
utawasilisha	utawasiliʃa
utawasimamia	utawasimamia
utawaumiza	utawaumiza
utawazo	utawazo
utawazuia	utawazuia
utayarishaji	utajaɾiʃaʄi
utayumba	utajumba
utazalisha	utazaliʃa
utazima	utazima
utazingatia	utazinɡatia
utazingatiwa	utazinɡatiwa
utazitolea	utazitolea
utazizima	utazizima
utazoea	utazoea
ute	ute
utegemee	uteɠemee
uteguaji	uteɠuaʄi
utekelezwaji	utekelezwaʄi
utende	utende
utengenezwaji	utenɡenezwaʄi
utengule	utenɡule
utenguliwa	utenɡuliwa
utengwe	utenɡwe
utepetevu	utepetevu
utetemeke	utetemeke
utetezo	utetezo
uteu	uteu
uteule	uteule
uthibitishaji	uθiɓitiʃaʄi
uthibitishe	uθiɓitiʃe
uthinitisho	uθinitiʃo
utiifu	utiifu
utiliaji	utiliaʄi
utimu	utimu
utlivu	utlivu
utoa	utoa
utoboaji	utoɓoaʄi
utoboe	utoɓoe
utofaiti	utofaiti
utofautishe	utofautiʃe
utohoaji	utohoaʄi
utokubalika	utokuɓalika
utosi	utosi
utowaji	utowaʄi
utoweke	utoweke
utuambie	utuambie
utue	utue
utukumbushe	utukumbuʃe
utuletee	utuletee
utumbuaji	utumbuaʄi
utumikishwaji	utumikiʃwaʄi
utumizi	utumizi
utupe	utupe
uuandae	uuandae
uundaji	uundaʄi
uundwaji	uundwaʄi
uunganishi	uunɡaniʃi
uunganisho	uunɡaniʃo
uungawaji	uunɡawaʄi
uungwana	uunɡwana
uuondoe	uuondoe
uupende	uupende
uuzwa	uuzwa
uvae	uvae
uvamuzi	uvamuzi
uviko	uviko
uvipendavyo	uvipendavjo
uvuaji	uvuaʄi
uvukaji	uvukaʄi
uvumilie	uvumilie
uvunguni	uvunɡuni
uvunjanji	uvunɟanɟi
uvunjivu	uvunɟivu
uvunjwaji	uvunɟwaʄi
uvyama	uvjama
uwaachie	uwaat͡ʃie
uwaambie	uwaambie
uwafikirie	uwafikiɾie
uwakaribishe	uwakaɾiɓiʃe
uwakomboe	uwakomboe
uwanachama	uwanat͡ʃama
uwanda	uwanda
uwape	uwape
uwapendao	uwapendao
uwapishe	uwapiʃe
uwasiliashaji	uwasiliaʃaʄi
uwasilishe	uwasiliʃe
uwasilishwaji	uwasiliʃwaʄi
uwasubiri	uwasuɓiɾi
uwatazame	uwatazame
uweje	uweʄe
uweka	uweka
uweke	uweke
uweledi	uweleɗi
uwendeshaji	uwendeʃaʄi
uwenyeji	uweɲeʄi
uwere	uweɾe
uwezi	uwezi
uwokovu	uwokovu
uyachukue	ujat͡ʃukue
uyafuate	ujafuate
uyalijiri	ujaliʄiɾi
uyasome	ujasome
uyatoe	ujatoe
uzalengo	uzalenɡo
uzalishe	uzaliʃe
uzibe	uziɓe
uzikaji	uzikaʄi
uzime	uzime
uzingatiaji	uzinɡatiaʄi
uzingatiwe	uzinɡatiwe
uziwi	uziwi
uzoaji	uzoaʄi
uzuzu	uzuzu
uzwazwa	uzwazwa
va	va
valvu	valvu
vamizi	vamizi
veepe	veepe
vemeeleza	vemeeleza
version	veɾsion
veta	veta
veterani	veteɾani
veterinari	veteɾinaɾi
vetted	vetteɗ
vha	vha
viache	viat͡ʃe
viachwe	viat͡ʃwe
viambatanishi	viambataniʃi
viambatanisho	viambataniʃo
vianvyoendelea	vianvjoendelea
viasharia	viaʃaɾia
viatilifu	viatilifu
vibadili	viɓaɗili
vibandaumiza	viɓandaumiza
vibanwe	viɓanwe
vibaraza	viɓaɾaza
vibarazani	viɓaɾazani
vibatari	viɓataɾi
vibendera	viɓendeɾa
vibinti	viɓinti
vibonde	viɓonde
vibunga	viɓunɡa
viburi	viɓuɾi
vibwagizo	viɓwaɠizo
vibwengo	viɓwenɡo
vichaa	vit͡ʃaa
vichafu	vit͡ʃafu
vichakani	vit͡ʃakani
vichanja	vit͡ʃanɟa
vichapo	vit͡ʃapo
vichekezo	vit͡ʃekezo
vichimbwe	vit͡ʃimbwe
vichupa	vit͡ʃupa
vicoba	vicoɓa
vidani	viɗani
vidato	viɗato
videbe	viɗeɓe
vidhibiti	viðiɓiti
vidogovidogo	viɗoɠoviɗoɠo
viduchu	viɗut͡ʃu
viel	viel
vielekee	vielekee
vielele	vielele
vielelzo	vielelzo
vielezi	vielezi
vielezo	vielezo
vielvile	vielvile
viewers	vieweɾs
vifanya	vifaɲa
vifuahaswa	vifuahaswa
vifupi	vifupi
viganja	viɠanɟa
vigazeti	viɠazeti
vigelekele	viɠelekele
vigilagila	viɠilaɠila
vigongo	viɠonɡo
vigumi	viɠumi
viguvugu	viɠuvuɠu
vihamba	vihamba
viheshimu	viheʃimu
vihisishi	vihisiʃi
viige	viiɠe
viijiji	viiʄiʄi
viingine	viinɡine
viitwavyo	viitwavjo
vijamaa	viʄamaa
vijidudu	viʄiɗuɗu
vijielekeze	viʄielekeze
vijijni	viʄiʄni
vijiko	viʄiko
vijineno	viʄineno
vijito	viʄito
vijiweni	viʄiweni
vijulikane	viʄulikane
vikaanza	vikaanza
vikabebwa	vikaɓeɓwa
vikadumu	vikaɗumu
vikae	vikae
vikafunga	vikafunɡa
vikahamishwa	vikahamiʃwa
vikajipanga	vikaʄipanɡa
vikamilifu	vikamilifu
vikaonyesha	vikaoɲeʃa
vikapeleka	vikapeleka
vikasha	vikaʃa
vikatapakaa	vikatapakaa
vikatokea	vikatokea
vikatoweka	vikatoweka
vike	vike
vikero	vikeɾo
vikiaminiwa	vikiaminiwa
vikiamurishwa	vikiamuɾiʃwa
vikiandika	vikiandika
vikibaki	vikiɓaki
vikichukuliwa	vikit͡ʃukuliwa
vikidaiwa	vikiɗaiwa
vikielezea	vikielezea
vikienea	vikienea
vikifanikiwa	vikifanikiwa
vikifanya	vikifaɲa
vikifanyakazi	vikifaɲakazi
vikifanyika	vikifaɲika
vikifika	vikifika
vikihusishwa	vikihusiʃwa
vikiimarisha	vikiimaɾiʃa
vikijiandaa	vikiʄiandaa
vikikabiliana	vikikaɓiliana
vikikamilika	vikikamilika
vikikamilisha	vikikamiliʃa
vikikosolewa	vikikosolewa
vikilalamikiwa	vikilalamikiwa
vikilenga	vikilenɡa
vikinyemelewa	vikiɲemelewa
vikinyooshewa	vikiɲooʃewa
vikiondoka	vikiondoka
vikiongelewa	vikionɡelewa
vikiongeza	vikionɡeza
vikipambana	vikipambana
vikipanda	vikipanda
vikipanga	vikipanɡa
vikipewa	vikipewa
vikipinga	vikipinɡa
vikipungua	vikipunɡua
vikiripoti	vikiɾipoti
vikirusha	vikiɾuʃa
vikirushwa	vikiɾuʃwa
vikisababishwa	vikisaɓaɓiʃwa
vikisaidia	vikisaiɗia
vikisaidiwa	vikisaiɗiwa
vikisambaa	vikisambaa
vikishajengwa	vikiʃaʄenɡwa
vikishawishi	vikiʃawiʃi
vikishindwa	vikiʃindwa
vikisisitiza	vikisisitiza
vikisuasua	vikisuasua
vikitengenezwa	vikitenɡenezwa
vikitengwa	vikitenɡwa
vikitimiza	vikitimiza
vikitoa	vikitoa
vikitoka	vikitoka
vikiushambulia	vikiuʃambulia
vikivamia	vikivamia
vikivutia	vikivutia
vikiwanyima	vikiwaɲima
vikiwaonya	vikiwaoɲa
vikiwasili	vikiwasili
vikizalisha	vikizaliʃa
vikizusha	vikizuʃa
vikomeshwe	vikomeʃwe
vikongwe	vikonɡwe
vikozi	vikozi
vikundikundi	vikundikundi
vikwa	vikwa
vilegezwe	vileɠezwe
viliaanza	viliaanza
viliahirishwa	viliahiɾiʃwa
viliambia	viliambia
viliangalie	vilianɡalie
viliathiri	viliaθiɾi
vilichangia	vilit͡ʃanɡia
vilichelewa	vilit͡ʃelewa
vilichomwa	vilit͡ʃomwa
vilichukua	vilit͡ʃukua
vilichukuliwa	vilit͡ʃukuliwa
vilidaiwa	viliɗaiwa
vilidumu	viliɗumu
vilidungua	viliɗunɡua
vilielekea	vilielekea
vilifadhili	vilifaðili
vilifaidika	vilifaiɗika
vilifanikiwa	vilifanikiwa
vilifanyiwa	vilifaɲiwa
vilifanywa	vilifaɲwa
vilifikia	vilifikia
vilifunga	vilifunɡa
vilifuta	vilifuta
viligundulika	viliɠundulika
viliharibu	vilihaɾiɓu
vilihusu	vilihusu
viliiambia	viliiambia
viliibuka	viliiɓuka
viliingia	viliinɡia
viliitwa	viliitwa
vilijaa	viliʄaa
vilijengwa	viliʄenɡwa
vilijitokeza	viliʄitokeza
vilijumuisha	viliʄumuiʃa
vilikabidhiwa	vilikaɓiðiwa
vilikadiria	vilikaɗiɾia
vilikamatwa	vilikamatwa
vilikiuka	vilikiuka
vilikutana	vilikutana
vilikuwepo	vilikuwepo
vilikwama	vilikwama
vililazimisha	vililazimiʃa
vililazimishwa	vililazimiʃwa
vililenga	vililenɡa
vilileta	vilileta
vililipiza	vililipiza
vilimalizika	vilimalizika
vilimilikiwa	vilimilikiwa
vilimjeruhi	vilimʄeɾuhi
vilimnukuu	vilimnukuu
vilimpiga	vilimpiɠa
vilimsababisha	vilimsaɓaɓiʃa
vilimtaja	vilimtaʄa
vilimtaka	vilimtaka
vilimtorosha	vilimtoɾoʃa
vilimuandaa	vilimuandaa
vilimwomba	vilimwomba
vilinuia	vilinuia
vilinyofolewa	viliɲofolewa
viliongeza	vilionɡeza
vilionyesha	vilioɲeʃa
viliorodheshwa	vilioɾoðeʃwa
vilipambana	vilipambana
vilipata	vilipata
vilipelekwa	vilipelekwa
vilipigwa	vilipiɠwa
vilipinga	vilipinɡa
vilipita	vilipita
vilipofika	vilipofika
vilipoingia	vilipoinɡia
vilipokuwa	vilipokuwa
vilipoondolewa	vilipoondolewa
viliporipotiwa	vilipoɾipotiwa
viliposhuka	vilipoʃuka
vilipowekwa	vilipowekwa
vilipungua	vilipunɡua
vilipunguza	vilipunɡuza
viliruhusu	viliɾuhusu
vilisababishwa	vilisaɓaɓiʃwa
vilisabisha	vilisaɓiʃa
vilishambulia	viliʃambulia
vilishangilia	viliʃanɡilia
vilishindwa	viliʃindwa
vilishiriki	viliʃiɾiki
vilisukumwa	vilisukumwa
vilisumbua	vilisumbua
vilitamalaki	vilitamalaki
vilitarajia	vilitaɾaʄia
vilitarajiwa	vilitaɾaʄiwa
vilitawala	vilitawala
vilitazamia	vilitazamia
vilitengenezwa	vilitenɡenezwa
vilitoa	vilitoa
vilituma	vilituma
vilitumia	vilitumia
vilitumika	vilitumika
viliukamata	viliukamata
viliuma	viliuma
viliungana	viliunɡana
viliungua	viliunɡua
viliutwaa	viliutwaa
vilivile	vilivile
vilivopo	vilivopo
vilivuruga	vilivuɾuɠa
vilivurugika	vilivuɾuɠika
vilivyoandikwa	vilivjoandikwa
vilivyoanzishwa	vilivjoanziʃwa
vilivyobainika	vilivjoɓainika
vilivyochangia	vilivjot͡ʃanɡia
vilivyochimbwa	vilivjot͡ʃimbwa
vilivyodumu	vilivjoɗumu
vilivyoendelea	vilivjoendelea
vilivyoendeshwa	vilivjoendeʃwa
vilivyofanikisha	vilivjofanikiʃa
vilivyofanya	vilivjofaɲa
vilivyofukiwa	vilivjofukiwa
vilivyofurika	vilivjofuɾika
vilivyogawanyika	vilivjoɠawaɲika
vilivyogunduliwa	vilivjoɠunduliwa
vilivyoharibiwa	vilivjohaɾiɓiwa
vilivyoharibu	vilivjohaɾiɓu
vilivyohitajika	vilivjohitaʄika
vilivyohusiana	vilivjohusiana
vilivyoibiwa	vilivjoiɓiwa
vilivyoibuka	vilivjoiɓuka
vilivyoidhinishwa	vilivjoiðiniʃwa
vilivyoifariji	vilivjoifaɾiʄi
vilivyoitishwa	vilivjoitiʃwa
vilivyojizolea	vilivjoʄizolea
vilivyokithiri	vilivjokiθiɾi
vilivyokutanisha	vilivjokutaniʃa
vilivyokuwepo	vilivjokuwepo
vilivyolengwa	vilivjolenɡwa
vilivyomjenga	vilivjomʄenɡa
vilivyomwezesha	vilivjomwezeʃa
vilivyondani	vilivjondani
vilivyonukuliwa	vilivjonukuliwa
vilivyonyolewa	vilivjoɲolewa
vilivyoonesha	vilivjooneʃa
vilivyopakana	vilivjopakana
vilivyopanda	vilivjopanda
vilivyopelekea	vilivjopelekea
vilivyopelekwa	vilivjopelekwa
vilivyopigania	vilivjopiɠania
vilivyopinda	vilivjopinda
vilivyopita	vilivjopita
vilivyosajiliwa	vilivjosaʄiliwa
vilivyoshika	vilivjoʃika
vilivyoshindaniwa	vilivjoʃindaniwa
vilivyoshinikizwa	vilivjoʃinikizwa
