wirkmächtig,vɪʁkmɛçtɪç
bewerbung,bəvɛrbʊŋ
hisbollah,hɪzbolaː
würfelig,vʏʁfəlɪç
taschentuch,taʃəntuːx
hosting,hɔʊ̯stɪŋ
erhaltung,ɛɐ̯haltʊŋ
auflandig,aʊ̯flandɪç
verschränkung,fɛɐ̯ʃʁɛŋkn̩
zeisig,t͡saɪ̯zɪk
asst,aːst
tut,tuːt
häschen,hɛːsçən
haushaltswarengeschäfte,haʊ̯shaltsvaːʁənɡəʃɛftə
achtunddreissigfach,axtʊndʁaɪ̯sɪçfax
bauteil,baʊ̯taɪ̯l
antreiben,ʔantʁaɪ̯bm̩
eigentümlichkeit,aɪɡn̩tyːmlɪçkaɪ̯t
bleiben,blaɪ̯bən
poet,poeːt
entwässerungsanlagen,ɛntvɛsəʁʊŋsanlaːɡən
säbelschnäbler,zɛːbəlʃnɛːblər
zehnstündigem,t͡seːnʃtʏndɪɡəm
angepisster,ʔanɡəpɪstɐ
erfangen,ɛɐ̯faŋən
durchfall,dʊʁçfal
flüssigerdgas,flʏsɪçʔeːɐ̯tɡaːs
nowosibirsk,novozibɪʁsk
wieselig,viːzəlɪk
sechsstündig,zɛksʃtʏndɪç
besuchen,bəzuːxn̩
colorado,kɔloʁaːdo
möhrensaft,møːʁənzaft
spoilern,ʃpɔɪ̯lɐn
anwartschaftsrecht,anvaʁtʃaftsʁɛçt
trottinett,tʁɔtinɛt
scheltwort,ʃɛltvɔʁt
libanons,liːbanɔns
baten,baːtən
käseblatt,keːzəblat
dachhase,daxhaːzə
stutzer,ʃtʊt͡sɐ
ödland,øːtlant
sacken,zakn̩
erhören,ɛɐ̯høːʁən
spiritus,ʃpɪʁitʊs
bevormundete,bəfoːɐ̯mʊndətə
weichzeichner,vaɪ̯çt͡saɪ̯çnɐ
köcheln,kœçəln
humorlos,humoːɐ̯loːs
zweiunddreissigecke,tsvaɪ̯ʊntdʁaɪ̯sɪçɛkə
dahinterkommen,dahɪntɐkɔmən
argwohn,aʁkvoːn
nachhauseweges,naːxhaʊ̯zəveːɡəs
verwalter,fɛɐ̯valtɐ
lammfilet,lamfileː
seewärtig,zeːvɛʁtɪk
eventualität,evɛntualitɛːt
dünnflüssig,dʏnflʏsɪç
wasserschlauches,vasɐʃlaʊ̯xəs
gebells,ɡəbɛls
schutzumschlage,ʃʊt͡sʊmʃlaːɡə
evidenz,evidɛnt͡s
kanonenfutter,kanoːnənfʊtɐ
weggeworfener,vɛkɡəvɔʁfənɐ
fahrradgepäckträger,faːɐ̯ʁaːtɡəpɛktʁɛːɡɐ
unglaube,ʊnɡlaʊ̯bə
fickend,fɪkənt
paroli,paʁoːli
buchführung,buːxfyːʁʊŋ
rosenschliffs,ʁoːzənʃlɪfs
sager,zaːɡɐ
typlokalität,tyːplokaˑlitɛːt
professoral,pʁofɛsoʁaːl
sämling,zeːmlɪŋ
katalane,katalaːnə
erbarmen,ʔɛɐ̯barmən
gemme,ɡɛmə
nasenschleimhaut,naːzn̩ʃlaɪ̯mhaʊ̯t
saar,zaːr
säle,zɛːlə
vorgehen,foːɐ̯ɡeːən
verschmitzt,fɛɐ̯ʃmɪt͡st
rauschmittel,ʁaʊ̯ʃmɪtəl
abgötterei,apɡœtəʁaɪ̯
vergnügungssüchtig,fɛɐ̯ɡnyːɡʊŋszʏçtɪç
mut,muːt
samthandschuh,zamthantʃuː
gartenhauses,ɡaʁtənhaʊ̯zəs
nachher,naːxheːɐ̯
stahlschrauben,ʃtaːlʃʁaʊ̯bən
treibgut,tʁaɪ̯pɡuːt
süsse,zyːsə
abwerben,apvɛʁbən
kamt,kaːmt
langjährig,laŋjɛːʁɪç
währt,vɛːrt
aromen,ʔaʁoːmən
fettleber,fɛtleːbɐ
tatet,taːtət
sputum,spuːtʊm
planke,plaŋkə
anweisen,ʔanvaɪ̯zn̩
schuppenlosigkeit,ʃʊpənloːzɪçkaɪ̯t
transsexuell,tʁanszɛksuɛl
erheblichkeit,ɛɐ̯heːplɪçkaɪ̯t
sechstel,zɛkstl̩
unpopulär,ʊnpopulɛːɐ̯
mitarbeiter,mɪtarbaɪ̯tər
sexy,zɛksi
neugewürz,nɔʏ̯ɡəvʏrt͡s
zuweisung,t͡suːvaɪ̯zʊŋ
taumelig,taʊ̯məlɪk
kerzengerade,kɛʁt͡sn̩ɡəʁaːdə
bolschewistinnen,bɔlʃevɪstɪnən
sportwettkampf,ʃpɔɐ̯tvɛtkampf
beutelmarder,bɔʏ̯təlmaʁdɐ
subtrahieren,zʊptʁahiːʁən
rabbi,ʁabi
geflasht,ɡəflɛʃt
busfahrer,bʊsfaːʁɐ
vorstellig,foːɐ̯ʃtɛlɪç
silikat,zilikaːt
städtisch,ʃtɛːtɪʃ
mayo,maːjo
landesbedeutsam,landəsbədɔɪ̯tzaːm
mörsel,mœʁzl̩
vorherrschen,foːʁhɛʁʃən
beifällig,baɪ̯fɛlɪç
aragonisch,aʁaɡoːnɪʃ
erdenken,ɛɐ̯dɛŋkn̩
scharen,ʃaːrən
lebewesen,leːbəveːzən
separieren,zepaʁiːʁən
alk,alk
durchschnitte,dʊʁçʃnɪtə
einpacken,ʔaɪ̯npakən
sechswertig,zɛksveːɐ̯tɪç
herumspringen,hɛʁʊmʃpʁɪŋən
massvoll,maːsfɔl
nasenloch,naːzənlɔχ
mystiker,mʏstɪkɐ
religiös,ʁeliɡjøːs
zweiklang,t͡svaɪ̯klaŋ
anfassen,anfasən
tintenkleckses,tɪntn̩klɛksəs
taumeln,taʊ̯məln
aufwendiger,ʔaʊ̯fvɛndɪɡɐ
lotterbett,lɔtɐbɛt
schildlaus,ʃɪltlaʊ̯s
fuchsig,fʊksɪk
haushaltsware,haʊ̯shaltsvaːʁə
naschen,naʃən
fahrausweisen,faːɐ̯aʊ̯svaɪzn̩
bien,biːn
zierlich,t͡siːrlɪç
schlechter,ʃlɛçtɐ
tee,tiː
wohl,voːl
brachte,braxtə
medienhistorikerin,meːdi̯ənhɪstoːʁikɐʁɪn
spann,ʃpan
beschweren,bəʃveːʁən
eierspeise,aɪ̯ɐʃpaɪ̯zə
mexiko,mɛksikoː
quaken,kvaːkən
pulli,pʊli
abgrundtief,apɡʁʊnttiːf
thronen,tʰoːnən
womöglich,voːmøːklɪç
nähte,nɛːtə
woiwodschaft,vɔʏ̯vɔtʃaft
muskatgeschmacks,mʊskaːtɡəʃmaks
eiklar,aɪklaːɐ̯
fruchtwasser,fʁʊxtvasɐ
relais,ʁəleː
abschlägig,apʃlɛːɡɪç
schmiedekunst,ʃmiːdəkʰʊnst
behauchen,bəhaʊ̯χn̩
schnorren,ʃnɔʁən
matrizen,matʁɪt͡sn̩
erkaufen,ɛɐ̯kaʊ̯fn̩
schwächen,ʃvɛçən
salzgletschern,zaltsɡlɛtʃɐn
querschnittslähmung,kveːɐ̯ʃnɪtslɛːmʊŋ
spinnert,ʃpɪnɐt
datenbanken,daːtn̩baŋkn̩
möblieren,møbliːʁən
atmen,aːtmən
fechten,fɛçtən
wärmen,vɛʁmən
abzüglich,apt͡syːklɪç
ununterbrochen,ʊnʔʊntɐbʁɔχn̩
honigfarben,hoːnɪkfaʁbn̩
triggern,tʁɪɡɐn
zusammenbruch,t͡suzamənbʁʊχ
gewinde,ɡəvɪndə
patchworkfamilie,pɛt͡ʃvœʁkfamiːli̯ə
adern,ʔaːdɐn
diskretionär,dɪskʁet͡si̯onɛːɐ̯
überschulden,yːbɐʃʊldn̩
tees,teːs
dissens,dɪsɛns
klopapier,kloːpapiːɐ̯
hinweg,hɪnvɛk
tageszeiten,taːɡəstsaɪ̯tən
pöhlen,pøːlən
unverhohlenstes,ʊnfɛɐ̯hoːlənstəs
afrodeutscher,afʁoːdɔʏ̯t͡ʃɐ
pflügen,pflyːɡən
farbintensität,faʁpʔɪntɛnzitɛːt
neunhundert,nɔɪ̯nhʊndɐt
schnalle,ʃnalə
malediven,malədiːvən
brätling,bʁeːtlɪŋ
bestenfalls,bɛstənfals
sonnenkönig,zɔnənkøːnɪç
beninisch,beniːnɪʃ
larve,larvə
übersee,yːbɐzeː
zuchtfisch,t͡sʊxtfɪʃ
meerwärts,meːɐ̯vɛʁt͡s
französischkenntnisse,fʁant͡søːzɪʃkɛntnɪsə
sesselleiste,zɛsl̩laɪ̯stə
hochdienen,hoːxdiːnən
ferkel,fɛrkəl
nachbarland,naxbaːɐ̯lant
beginn,bəɡɪn
abrasiv,abʁaziːf
bachkantate,baxkantaːtə
überwinden,yːbərvɪndən
demilitarisierer,demilitaʁiziːʁɐ
kaltmiete,kaltmiːtə
nächstgelegen,nɛːçstɡəleːɡn̩
einatmend,aɪ̯naːtmənt
puffer,pʊfɐ
verseuchers,fɛɐ̯zɔʏ̯çɐs
volksküche,fɔlkskʏçə
beschirmen,bəʃɪʁmn̩
erdapfel,eːɐ̯tʔap͡fl̩
eisen,ʔaɪ̯zən
behufen,bəhuːfn̩
durchschlag,dʊʁçʃlaːk
colonel,kɔlonɛl
flotte,flɔtə
fand,fant
lilas,liːlas
rückreise,ʁʏkʁaɪ̯zə
raumschiff,ʁaʊ̯mʃɪf
spender,ʃpɛndɐ
abgespannt,ʔapɡəʃpant
portierin,pɔʁti̯eːʁɪn
empfangshalle,ʔɛmp͡faŋshalə
bergsträsschen,bɛʁkʃtʁɛːsçən
alpaka,alpaka
pünktlich,pʏŋktlɪç
kleinlich,klaɪ̯nlɪç
halbflüssiges,halpflʏsɪɡəs
entscheidungsgewalt,ɛntʃaɪ̯dʊŋsɡəvalt
nordamerika,nɔrtameːrika
ast,ast
türen,tyːʁən
unsre,ʊnzʁə
drüse,dʁyːzə
plektrum,plɛktʁʊm
leuchtstoff,lɔɪ̯çtʃtɔf
deutschtums,dɔɪ̯t͡ʃtuːms
vierzigecks,fɪɐ̯tsɪçɛks
komikerin,koːmɪkəʁɪn
degenerativ,deɡeneʁatiːf
implementierung,ɪmpləmɛntiːʁʊŋ
vierhundertjährig,fiːɐ̯hʊndɐtjɛːʁɪç
zornigste,t͡sɔʁnɪçstə
böig,bøːɪç
schotte,ʃɔtə
nacheile,naːxaɪ̯lə
gizeh,ɡiːze
menhir,mɛnhiːr
a,a
ausbreitung,aʊ̯sbʁaɪ̯tʊŋ
präverb,pʁɛːvɛʁp
dynamik,dynaːmɪk
bajuwarisch,bajuvaːʁɪʃ
bahrain,baχʁaɪ̯n
gekröse,ɡəkʁøːzə
türsteher,tyːɐ̯ʃteːɐ
quadratur,kvadʁatuːɐ̯
gouda,ɡɔʊ̯da
rödeln,ʁøːdl̩n
staumauer,ʃtaʊmaʊ̯ɐ
highlight,haɪ̯laɪ̯t
zwölffach,t͡svœlffax
bestiarium,bɛsti̯aːʁiʊm
berufsjäger,bəruːfsjɛːɡər
klassenbuch,klasənbuːx
lautlich,laʊ̯tlɪç
wachhabende,vaxhaːbn̩dɐ
sozialisten,zotsi̯alɪstən
liebespärchen,liːbəspɛːɐ̯çən
iraker,iʁaːkɐ
kopfsteinstrassen,kɔp͡fʃtaɪ̯nʃtraːsən
altbewährt,altbəvɛːɐ̯t
grellfarben,ɡʁɛlfaʁbn̩
zugpersonal,t͡suːkpɛʁzonaːl
birgt,bɪʁkt
zwiebelkuchen,tsviːbəlkuːχn̩
pfui,fʊɪ̯
senkung,zɛŋkʊŋ
achtundvierzigfach,axtʊntfɪʁt͡sɪçfax
stellenbewerber,ʃtɛlənbəvɛʁbɐ
markig,maʁkɪk
abwasser,apvasəʁ
spielfeld,ʃpiːlfɛlt
lüttich,lʏtɪç
vogelmilch,foːɡl̩mɪlç
durch,dʊʁç
kopfes,kɔpfəs
inkarnat,ɪnkaʁnaːt
spitzen,ʃpɪtsən
fussballplatz,fuːsbalplat͡s
serifenlos,zeʁiːfn̩loːs
segensreich,zeːɡn̩sʁaɪ̯ç
schummeln,ʃʊməln
ging,ɡiːŋ
staatsreligion,ʃtaːt͡sʁeliɡi̯oːn
zelthering,t͡sɛltheːʁɪŋ
talkmasters,tɔːkmaːstɐs
ultraschall,ʊltʁaʃal
haushaltswarengeschäft,haʊ̯shaltsvaːʁənɡəʃɛft
marokkanisch,maʁokaːnɪʃ
eingeben,ʔaɪ̯nɡeːbən
durchsuchung,dʊʁçzuːχʊŋ
chicago,tʃikaːɡo
abweichler,apvaɪ̯çlɐ
köpfe,kœpfə
wuseligsten,vuːzəlɪçstn̩
vorschriftsgemässesten,foːɐ̯ʃʁɪft͡sɡəmɛːsəstn̩
franziskanermönche,fʁant͡sɪskaːnɐmœnçə
klobig,kloːbɪk
repariererin,ʁepaʁiːʁəʁɪn
schönste,ʃøːnstə
indiens,ɪndiəns
kilimandscharo,kilimand͡ʒaːʁo
demolieren,demoliːʁən
neukölln,nɔɪ̯kœln
begehung,bəɡeːʊŋ
soundkarte,saʊ̯ntkaʁtə
tastenbelegung,tastənbəleːɡʊŋ
transsexuellen,tʁanssɛksuɛlən
schwammig,ʃvamɪç
doppelbindung,dɔpl̩bɪndʊŋ
fräsmaschine,fʁɛːsmaʃiːnə
zwicken,t͡svɪkən
widrig,viːdʁɪk
würdelos,vʏʁdəloːs
schande,ʃandə
putzmittel,pʊt͡smɪtl̩
knappschaften,knapʃaftən
mohrenschwarz,moːʁənʃvaʁt͡s
beachtenswert,bəʔaχtn̩sveːɐ̯t
grösster,ɡʁøːstɐ
moschus,mɔʃʊs
posten,poːstən
pyrrhussieg,pʏʁʊsziːk
heissblütig,haɪ̯sblyːtɪç
jeansfarben,d͡ʒiːnsfaʁbən
ablenken,aplɛŋkən
goldhähnchen,ɡɔlthɛːnçən
bede,beːdə
herdenimmunität,heːɐ̯dn̩ʔɪmunitɛːt
unbehaart,ʊnbəhaːɐ̯t
überschreiben,yːbɐʃʁaɪ̯bən
wenden,vɛndn̩
vonnöten,fɔn‿nøːtn̩
glasur,ɡlazuːɐ̯
hautgout,oɡuː
kanüle,kanyːlə
passage,pasaːʒə
strömung,ʃtʁøːmʊŋ
interventiv,ɪntɐvɛntiːf
nazi,naːtsi
völkerschaft,fœlkɐʃaft
kastanienbraun,kastaːni̯ənbʁaʊ̯n
ipsativ,ɪpsatiːf
jemenitisch,jemeniːtɪʃ
hären,hɛːʁən
musikgruppe,muziːkɡʁʊpə
rutschbahnen,ʁʊtʃbaːnən
auferziehen,aʊ̯fʔɛɐ̯t͡siːən
männerbund,mɛnɐbʊnt
zuhörerin,t͡suːhøːʁəʁɪn
lux,lʊks
zehn,t͡seːn
april,apʁɪl
mittelgradig,mɪtl̩ɡʁaːdɪk
mum,mam
prosit,proːzit
schlafanzug,ʃlaːvantsʊx
zahltag,tsaːltaːk
brauchtums,bʁaʊ̯xtuːms
rücksichtslosigkeit,ʁʏkzɪçt͡sloːzɪçkaɪ̯t
empfindung,ɛmp͡fɪndʊŋ
flinte,flɪntə
quarantänisieren,karantɛːniziːrən
zweiundvierzigste,t͡svaɪ̯ʊntfɪʁt͡sɪçstə
musse,muːsə
fällend,fɛlənt
kruzifix,kʁut͡sifɪks
belagern,bəlaːɡɐn
bellen,bɛlən
buhlen,buːlən
facettenschliffs,fasɛtənʃlɪfs
wachsfigur,vaksfiɡuːɐ̯
ordensgeneral,ɔʁdn̩sɡenəʁaːl
weissbuch,vaɪ̯sbuːx
ermutigen,ɛʁmuːtiɡən
mannheimer,manhaɪ̯mɐ
saat,zaːt
schwester,ʃvɛstɐ
schütten,ʃʏtən
lachflash,laχflɛʃ
synekdochisch,zynʔɛkdɔχɪʃ
parteimitglieder,paʁtaɪ̯mɪtɡliːdɐ
anschauung,anʃaʊ̯ʊŋ
bresche,bʁɛʃə
käfers,kɛːfɐs
sellerie,zɛləriː
begonie,beɡoːni̯ə
einkaufszentrum,aɪ̯nkaʊ̯fst͡sɛntʁʊm
gashaltig,ɡaːshaltɪk
taugt,taʊ̯kt
tomahawk,tɔmahaːk
leih,laɪ̯
dreistündig,dʁaɪ̯ʃtʏndɪç
hieb,hiːp
augenwischerei,aʊ̯ɡn̩vɪʃəʁaɪ̯
pferde,pfeːɐ̯də
wackelig,vakəlɪç
psychedelika,psyçədeːlikaː
spektralanalyse,ʃpɛktʁaːlʔanalyːzə
transatlantisch,tʁansʔatlantɪʃ
gedulden,ɡədʊldn̩
vexillologie,vɛksɪloloɡiː
widmung,vɪtmʊŋ
muttersprachlers,mʊtɐʃpʁaːxlɐs
stämme,ʃtɛmə
stade,ʃtaːdə
thüringer,tyːʁɪŋəʁ
selenhaltig,zeleːnhaltɪç
propstes,pʁoːpstəs
zweiundvierzigminütiger,t͡svaɪ̯ʊntfɪɐ̯t͡sɪçminyːtɪɡɐ
connaisseur,kɔnɛsøːɐ̯
reisetasche,ʁaɪ̯zətaʃə
schwindelig,ʃvɪndəlɪk
wir,vɐ
gewahren,ɡəvaːʁən
verschwörerin,fɛɐ̯ʃvøːʁəʁɪn
präsentieren,pʁɛzɛntiːʁən
enttäuscht,ɛntɔɪ̯ʃt
volksmund,fɔlksmʊnt
forsch,fɔʁʃ
eibe,aɪ̯bə
tindern,tɪndɐn
klimapolitik,kliːmapolitiːk
abscheulichkeit,ʔapʃɔɪ̯lɪçkaɪ̯t
armförmig,aʁmfœʁmɪk
zwacken,t͡svakn̩
vera,veːʁa
ägypten,ɛɡʏptn̩
schlüsselbeine,ʃlʏsəlbaɪ̯nə
bekunden,bəkʊndən
gären,ɡɛːrən
ruderin,ʁuːdəʁɪn
molekül,molekyːl
nadelblättchen,naːdəlblɛtçən
bullen,bʊlən
planet,planeːt
xanthochrom,ksantokʁoːm
prächtig,pʁɛçtɪk
versengen,fɛɐ̯zɛŋən
dreiundfünfzigste,dʁaɪ̯ʊntfʏnft͡sɪçstə
fachbegriff,faxbəɡʁɪf
umschlag,ʊmʃlaːk
arbeitslos,aʁbaɪ̯tsloːs
simultan,zimʊltaːn
schmuddelig,ʃmʊdəlɪç
salzhaltigsten,zaltshaltɪçstən
punk,paŋk
neunzehntägig,nɔɪ̯nt͡seːntɛːɡɪç
makromolekül,makʁomolekyːl
fahrradparkplatz,faːɐ̯ʁatpaɐ̯kplat͡s
zügigstem,t͡syːɡɪkstəm
basssängers,baszɛŋɐs
hausdächern,haʊ̯sdɛçɐn
hausschuh,haʊ̯sʃuː
fit,fɪt
schirmen,ʃɪʁmən
reflektion,reflɛktsi̯oːn
trachtenkleides,tʁaxtn̩klaɪ̯dəs
gene,ɡeːnə
oft,ɔft
leidsam,laɪ̯tzam
lore,loːʁə
kühe,kyːə
sbz,ɛsbeːt͡sɛt
bucklig,bʊklɪç
schaffung,ʃafʊŋ
kirchenturm,kɪʁçəntʊʁm
masseur,masøːɐ
freundin,fʁɔʏ̯ndɪn
magd,maːxt
abhören,aphøːrən
dreifuss,dʁaɪ̯fuːs
konsulin,kɔnzulɪn
zeichnet,t͡saɪ̯çnət
leihmutter,laɪ̯mʊtɐ
zaum,tsaʊ̯m
abgefahren,ʔapɡəfaːʁən
jahrhundert,jaːɐ̯hʊndɐt
günther,ɡʏntɐ
seiche,zaɪ̯çə
hämmchen,hɛmçən
peilend,paɪlənt
zipphose,t͡sɪphoːzə
passerelle,pasəʀɛl
sierer,ziːʁɐ
stresstest,ʃtʁɛstɛst
nachauflage,naxaʊ̯flaːɡə
weihe,vaɪ̯ə
elternschaft,ɛltɐnʃaft
silbermesser,zɪlbɐmɛsɐ
einspeisen,aɪ̯nʃpaɪ̯zn̩
karabinerhaken,kaʁabiːnɐhaːkən
saibling,zaɪ̯blɪŋ
beeilen,bəʔaɪ̯lən
kleiderhaken,klaɪ̯dɐhaːkn̩
bühnenwerke,byːnənvɛʁkə
balkon,balkɔn
pharmakologe,faʁmakoloːɡə
flohe,floːə
hopsen,hɔpsən
weitschweifig,vaɪ̯tʃvaɪ̯fɪç
elektroladen,eːlɛktʁolaːdən
sklavenhandel,sklaːvn̩handl̩
klosett,klozɛt
sendung,zɛndʊŋ
splenektomie,ʃplenɛktomiː
haltlos,haltloːs
grossherzogtums,ɡʁoːshɛʁt͡soːktuːms
chlapf,xlap͡f
jawohl,javoːl
keramikvase,keʁaːmɪkvaːzə
libyen,liːby̯ən
augenblicksbildung,aʊ̯ɡŋ̍blɪksbɪldʊŋ
unbeglichen,ʊnbəɡlɪçn̩
iiih,iː
troisch,tʁoːɪʃ
staublappen,ʃtaʊ̯plapən
unmündig,ʊnmʏndɪç
einwöchig,aɪ̯nvœçɪç
halbflüssigen,halpflʏsɪɡn̩
prachtvoll,pʁaχtfɔl
dschihad,d͡ʒihaːt
markus,maʁkʊs
kabul,kabuːl
tiefschutz,tʰiːfʃʊts
ärmellos,ɛʁməloːs
eingabe,aɪ̯nɡaːbə
vorderseite,fɔʁdɐzaɪ̯tə
bands,bants
verknallt,fɛɐ̯knalt
gefälle,ɡəfɛlə
matuschek,matʊʃɛk
kopfwort,kɔp͡fvɔʁt
mystagoge,mʏstaɡoːɡə
fleischfresser,flaɪ̯ʃfʁɛsɐ
hellseherei,hɛlzeːəʁaɪ̯
ausfallserscheinungen,aʊ̯sfalsʔɛɐ̯ʃaɪnʊŋən
spiegelbild,ʃpiːɡəlbɪlt
verschieden,fɛɐ̯ʃiːdn̩
einhauchen,aɪ̯nhaʊ̯xn̩
zukunftsangst,t͡suːkʊnft͡sʔaŋst
emetikum,emeːtikʊm
haarschnitt,haːɐ̯ʃnɪt
zechprellerei,t͡sɛçpʁɛləʁaɪ̯
keilstein,kaɪ̯lʃtaɪ̯n
häufchen,hɔʏfçən
dynamo,dʏnamo
kuwait,kuvɛɪ̯t
malle,malə
andrehen,andʁeːən
verkehrsverbünden,fɛɐ̯keːɐ̯sfɛɐ̯bʏndn̩
vierfürst,fiːɐ̯fʏʁst
äffen,ɛfn̩
programmiererin,pʁoɡʁamiːʁɐʁɪn
präsente,pʁeːzɛntə
beete,beːtə
parkgebühren,paʁkɡəbyːʁən
fliegt,fliːçt
köpenickiade,køːpənɪki̯aːdə
anstrich,anʃtʁɪç
verelffachte,fɛɐ̯ɛlffaxtə
stockbesoffen,ʃtɔkbəzɔfn̩
bootfähig,buːtfɛːɪç
racker,ʁakɐ
erlitten,ɛɐ̯lɪtn̩
bildung,bɪldʊŋ
stress,stʁɛs
online,ɔnlaɪ̯n
sibirisch,zibiːʁɪʃ
ahndung,aːndʊŋ
podcast,pɔtkaːst
bischofswerdas,bɪʃɔfsvɛʁda
umsiedeln,ʔʊmziːdl̩n
sprechen,ʃprɛçən
knutschfleckes,knuːtʃflɛkəs
galaktischen,ɡalaktɪʃn̩
sklavenhändlerinnen,sklaːvənhɛntləʁɪnən
schrank,ʃʁaŋk
hethiter,hetiːtɐ
haften,haftən
pentagon,pɛntaɡoːn
o,ʔoː
buschwindröschen,bʊʃvɪntʁøːsçən
lähmen,lɛːmən
kunde,kʊndə
schokoladentäfelchen,ʃokolaːdəntɛːfəlçən
nasa,naːza
krassesten,kʁasəstn̩
bierglas,biːrɡlas
gewohnheitsmässig,ɡəvoːnhaɪ̯t͡smɛːsɪç
erfinder,ɛɐ̯fɪndɐ
bösewicht,bøːzəvɪçt
stühlchens,ʃtyːlçəns
restituieren,ʁestituiːʁən
ungerechterweise,ʊnɡəʁɛçtɐvaɪ̯zə
kappsäge,kapzɛːɡə
sumpfig,zʊmpfɪk
partout,partuː
jedermann,jeːdɐman
konklaven,kɔŋklaːvn̩
sechsundzwanzigminütiger,zɛksʊnt͡svant͡sɪçminyːtɪɡɐ
sprachtod,ʃpʁaːxtoːt
abrunden,aprʊndən
geraffel,ɡəʁafəl
mässig,mɛːsɪk
schulmann,ʃuːlman
vereinbarung,fɛɐ̯ʔaɪ̯nbaːʁʊŋ
solltest,zɔltəst
zusammenbinden,t͡suzamənbɪndn̩
zarentum,tsaːrəntuːm
stigmatisierung,stɪɡmatiziːʁʊŋ
blün,blyːn
geniessen,ɡəniːsn̩
wirkungsquantum,vɪʁkʊŋskvantʊm
schliesslich,ʃliːslɪç
neunzigfacher,nɔɪ̯nt͡sɪçfaxɐ
eingang,ʔaɪ̯nɡaŋ
freilichtbühnen,fʁaɪ̯lɪçtbyːnən
vorn,fɔʁn
regenerationsfähig,ʁeɡeneʁat͡si̯oːnsfɛːɪç
wermelskirchen,veɐməlskiɐçən
pfau,faʊ̯
mauritius,maʊ̯riːtsi̯ʊs
hain,haɪ̯n
klangtiefe,klaŋtiːfə
vornehmen,foːɐ̯neːmən
margherita,marɡəriːta
schweinegrippe,ʃvaɪ̯nəɡʁɪpə
präposition,pʁeːpozit͡si̯oːn
schädels,ʃɛːdəls
konsulat,kɔnzulaːt
bundesgrenzschutz,bʊndəsɡʁɛntsʃʊts
freudig,fʁɔɪ̯dɪk
general,ɡeːnəʁaːl
schwerfällig,ʃveːɐ̯fɛlɪç
einwegspritzen,aɪ̯nveːkʃpʁɪt͡sn̩
sketch,skɛt͡ʃ
hoffnungsschimmer,hɔfnʊŋsʃɪmɐ
widerspenstig,viːdɐʃpɛnstɪk
dreizehnjährig,dʁaɪ̯tseːnjɛːʁɪç
faktorei,faktoʁaɪ̯
unterdrücken,ʊntəʁdʁʏkən
vierundzwanzigstels,fiːɐ̯ʊntt͡svant͡sɪçstəls
achtarmig,axtʔaʁmɪç
beule,bɔʏ̯lə
matter,matɐ
toll,tɔl
nehmer,neːmɐ
nicht,nɪçt
mundschutz,mʊntʃʊts
verpflegen,fərpfleːɡən
duodezimalsystems,duodet͡simaːlzʏsteːms
pockenvirus,pɔkn̩viːʁʊs
offenbarung,ɔfənbaːʁʊŋ
cherusker,çeʁʊskɐ
christkindlmarkt,kʁɪstkɪndl̩maɐ̯kt
kalbsleberwurst,kalpsleːbɐvʊʁst
ambo,ambo
unzähmbar,ʊnt͡seːmbaːɐ̯
auflauf,ʔaʊ̯flaʊ̯f
steak,steːk
internetblog,ɪntɐnɛtblɔk
nächster,nɛːkstɐ
mathematik,matəmatɪk
autoreifen,aʊ̯toʁaɪ̯fn̩
schnurstracks,ʃnuːɐ̯ʃtʁaks
einguss,aɪ̯nɡʊs
sput,ʃpuːt
gäben,ɡɛːbən
gretchenfrage,ɡʁeːtçənfʁaːɡə
kattun,katuːn
kurpfuscher,kuːrpfʊʃər
volksstamm,fɔlksʃtam
fingerfertig,fɪŋɐfɛʁtɪç
berg,bɛrk
pinscher,pɪnʃɐ
griesskloss,ɡʁiːskloːs
elektrifizieren,elɛktʁifit͡siːʁən
kulturlandschaft,kʊltuːɐ̯lantʃaft
fischkopf,fɪʃkɔpf
schneesturm,ʃneːʃtʊʁm
wohlmeinender,voːlmaɪ̯nəndɐ
leistung,laɪ̯stʊŋ
zweikampf,t͡svaɪ̯kamp͡f
cremigsten,kʁeːmɪçstən
verband,fɛɐ̯bant
zweifamilienwohnhaus,t͡svaɪ̯famiːli̯ənvoːnhaʊ̯s
rundlich,ʁʊntlɪç
forke,fɔrkə
verstattet,fərʃtatət
verlies,fɛɐ̯liːs
garnele,ɡaʁneːlə
ärmel,ɛʁməl
scheinehe,ʃaɪ̯nʔeːə
scheinselbstständig,ʃaɪ̯nzɛlpstʃtɛndɪç
seitenwagen,zaɪ̯tn̩vaːɡn̩
mengenangaben,mɛŋənʔanɡaːbn̩
durcheinander,dʊʁçʔaɪ̯nandɐ
herausheben,hɛʁaʊ̯sheːbn̩
feuilletonist,føjətonɪst
einkunft,aɪ̯nkʊnft
kulturalistisch,kʊltuʁalɪstɪʃ
bundesversammlung,bʊndəsfɛɐ̯zamlʊŋ
unzerstörbarkeit,ʊnt͡sɛɐ̯ʃtøːɐ̯baːɐ̯kaɪ̯t
habet,haːbət
hurtig,hʊʁtɪk
unstimmig,ʊnʃtɪmɪk
bestätigung,bəʃtɛːtiɡʊŋ
fahrradschlauch,faːɐ̯ʁaːtʃlaʊ̯x
sinnbildlich,zɪnbɪltlɪç
kredenzen,kʁedɛnt͡sn̩
