disponibilidade,diʃpunibilidadɨ
ultravida,ultɾɐbidɐ
desembolado,dɨzẽbuladu
cafuné,kɐfunɛ
pãozão,pɐ̃w̃zɐ̃w̃
cem,sɐ̃j̃
anfíbola,ɐ̃fibulɐ
farmeiro,fɐɾmejɾu
treco,tɾɛku
covilhã,kubiʎɐ̃
primariamente,pɾimaɾjɐmẽtɨ
cimério,simɛɾju
poço,posu
careca,kɐɾɛkɐ
falara,fɐlaɾɐ
absolver,ɐbsɔlveɾ
dês,deʃ
cadava,kɐdavɐ
urubu,uɾubu
psiquiatra,psikjatɾɐ
contei,kõte
desacordo,dɨzɐkoɾdu
agrobiotecnologia,ɐɡɾɔbiɔtɛknuluʒiɐ
contestatários,kõtɨʃtɐtaɾjuʃ
horrivelmente,ɔʁibɛlmẽtɨ
antieconômico,ɐ̃tiikunomiku
argonauta,ɐɾɡɔnawtɐ
recuperar,ʁɨkupɨɾaɾ
ensaia,ẽsajɐ
miligrama,miliɡɾɐmɐ
antagonisticamente,ɐ̃tɐɡuniʃtikɐmẽtɨ
vadio,badiu
lembrava,lẽbɾavɐ
gonçalvo,ɡõsalvu
deixei,deʃe
coaxar,kwɐʃaɾ
coisas,kojzɐʃ
aipim,ajpĩ
menininho,mɨniniɲu
âmago,ɐmɐɡu
tarte,taɾtɨ
anonimato,ɐnunimatu
hídricas,idɾikɐʃ
aluvialmente,ɐluvjalmẽtɨ
abiotrofia,ɐbiɔtɾufiɐ
doei,dwe
queda,kɛdɐ
pornografia,puɾnuɡɾɐfiɐ
lânguido,lɐ̃ɡidu
atrator,ɐtɾatoɾ
tópica,tɔpikɐ
insondável,ĩsõdavɛl
alcoutim,alkowtĩ
exclamar,ejʃklɐmaɾ
tabuada,tɐbwadɐ
supervisor,supɛɾvizoɾ
forrar,fuʁaɾ
substituição,subʃtitwisɐ̃w̃
goês,ɡweʃ
soalheiro,swɐʎeɾu
ancara,ɐ̃kaɾɐ
poliamor,pɔliɐmoɾ
carborano,kɐɾbuɾɐnu
irado,iɾadu
bisbilhotar,biʒbiʎutaɾ
hostilidade,ɔʃtilidadɨ
amianto,ɐmjɐ̃tu
indistinto,ĩdɨʃtĩtu
psicóloga,psikɔluɡɐ
arredores,ɐʁɨdɔɾɨʃ
toesa,twezɐ
hortar,ɔɾtaɾ
turquia,tuɾkiɐ
investimento,ĩbɨʃtimẽtu
litro,litɾu
cobaia,kubajɐ
purgará,puɾɡɐɾa
expletivo,ejʃplɛtibu
rebanho,ʁɨbɐɲu
tijolar,tiʒulaɾ
judeia,ʒudɐjɐ
nutrirá,nutɾiɾa
proveito,pɾuvɐjtu
releitura,ʁɨlejtuɾɐ
brigar,bɾiɡaɾ
divisadas,divizadɐʃ
ionosfera,jɔnɔʃfɛɾɐ
invariável,ĩbɐɾjabɛl
estónio,iʃtɔniu
desamparado,dɨzɐ̃pɐɾadu
envolto,ẽboltu
abrangência,ɐbɾɐ̃ʒẽsjɐ
henry,ẽʁi
latirmos,lɐtiɾmuʃ
biónico,biɔniku
concitavam,kõsitabɐ̃w̃
vínico,viniku
niceia,nisejɐ
hijabe,iʒabɨ
censurasses,sẽsuɾasɨʃ
remedar,ʁɨmɨdaɾ
saudar,sɐudaɾ
item,itɛmɨ
clorato,kluɾatu
obsessão,ɔbsɨsɐ̃w̃
reembolso,ʁjẽbolsu
monólogo,munɔluɡu
museu,muzew
criptografar,kɾiptuɡɾɐfaɾ
curvar,kuɾvaɾ
caganeira,kɐɡɐneɾɐ
suave,swavɨ
valado,bɐladu
evacuar,ibɐkwaɾ
egipã,iʒipɐ̃
bolsonaro,bɔlsunaɾu
tambaca,tɐ̃bakɐ
formidavelmente,fuɾmidabɛlmẽtɨ
mouse,mawz
considerava,kõsidɨɾavɐ
vidas,bidɐʃ
exímio,izimju
corda,kɔʁda
siquismo,sikiʒmu
antispasto,ɐ̃tiʃpaʃtu
antifundacionista,ɐ̃tifũdɐsjuniʃtɐ
janeireiro,ʒɐnejɾejɾu
esses,esɨʃ
invencivelmente,ĩvẽsivɛlmẽtɨ
proveito,pɾuvetu
salarial,sɐlɐɾjal
cesta,seʃtɐ
penalizar,pənɐlizar
golpear,ɡolpjaɾ
despautério,dɨʃpawtɛɾju
erma,eɾmɐ
chovias,ʃuviɐʃ
catalão,kɐtɐlɐ̃w̃
chacoalhar,ʃɐkwɐʎaɾ
paio,paju
fogo,foɡu
párvulo,paɾvulu
alvejar,albɨʒaɾ
indubitavelmente,ĩdubitabɛlmẽtɨ
gengiva,ʒẽʒibɐ
civil,sɨvil
apocaliptista,ɐpɔkɐliptiʃtɐ
tóxico,tɔksiku
florista,fluɾiʃtɐ
carbonilação,kɐɾbunilɐsɐ̃w̃
ronaldo,ʁɔnaldu
gestão,ʒɨʃtɐ̃w̃
sismo,siʒmu
rotular,ʁutulaɾ
asteroide,ɐʃtɨɾɔjdɨ
sala,salɐ
esteio,iʃteju
macroscópico,mɐkɾuʃkɔpiku
monoácido,mɔnɔasidu
avariado,ɐvɐɾjadu
benvindo,bɐ̃j̃bĩdu
escoimar,iʃkojmaɾ
tocou,tukow
borrachão,buʁɐt͡ʃɐ̃w̃
tratava,tɾɐtavɐ
parcialmente,pɐɾsjalmẽtɨ
exótico,izɔtiku
circunstanciado,siɾkũʃtɐ̃sjadu
desaprovar,dɨzɐpɾuvaɾ
locomotiva,lukumutivɐ
bisão,bizɐ̃w̃
chimarrear,t͡ʃimɐʁjaɾ
centopeia,sẽtupɐjɐ
encravou,ẽkɾɐvow
barman,baɾmɛn
contundente,kõtũdẽtɨ
tomara,tumaɾɐ
distintivas,dɨʃtĩtibɐʃ
acessivelmente,ɐsɨsibɛlmẽtɨ
emparelhar,ẽpɐɾɨʎaɾ
imperdível,ĩpɨɾdibɛl
froco,fɾɔku
x,ʃ
bandeira,bɐ̃deɾɐ
coruja,kuɾuʒɐ
eletrónico,ilɛtɾɔniku
impraticabilidade,ĩpɾɐtikɐbilidadɨ
nerd,nɐɾdɨ
visigotismo,viziɡɔtiʒmu
altímetro,altimɨtɾu
pulsas,pulsɐʃ
andrei,ɐ̃dɾe
vietname,bjɛtnɐmɨ
atravessar,atɾavɛsah
esplenectomia,iʃplɨnɛktumiɐ
virgílio,vɨɾʒilju
insípido,ĩsipidu
feed,fidɨ
vincará,vĩkɐɾa
crescer,kɾɨʃseɾ
assustado,ɐsuʃtadu
golfinário,ɡɔlfinaɾju
divisível,divizivɛl
aeroporto,ɐɛɾɔpoɾtu
filo,filu
governo,ɡuveɾnu
jessé,ʒɨsɛ
antiempirista,ɐ̃tiẽpiɾiʃtɐ
itinerários,itinɨɾaɾjuʃ
camarões,kɐmɐɾõj̃ʃ
transições,tɾɐ̃zisõj̃ʃ
extravagância,iʃtɾɐvɐɡɐ̃sjɐ
polifenol,pɔlifɨnɔl
magra,maɡɾɐ
metilar,mɨtilaɾ
vedar,vɨdaɾ
cacimba,kɐsĩbɐ
hadrão,adɾɐ̃w̃
maleta,mɐletɐ
estação,iʃtɐsɐ̃w̃
pizaria,pizɐɾiɐ
cortinha,kuɾtiɲɐ
sacarímetros,sɐkɐɾimɨtɾuʃ
canónico,kɐnɔniku
mensageiro,mẽsɐʒejɾu
hangul,ɐ̃ɡul
cosmoquímica,kɔʒmɔkimikɐ
efluiu,efluiw
desfastio,dɨʃfɐʃtiu
separada,sɨpɐɾadɐ
louvavelmente,lowbabɛlmẽtɨ
reterá,ʁɨtɨɾa
piramidal,piɾɐmidal
mergulho,mɨɾɡuʎu
infetar,ĩfɛtaɾ
chufaremos,t͡ʃufɐɾemuʃ
dobrável,dubɾavɛl
criptomnésia,kɾiptɔmnɛzjɐ
malawiano,mɐlawiɐnu
interseccionalidade,ĩtɨɾsɛksjunɐlidadɨ
tivésseis,tibɛsejʃ
abalável,ɐbɐlabɛl
carinho,kɐɾiɲu
poliginia,pɔliʒiniɐ
jorrará,ʒuʁɐɾa
redutível,ʁɨdutivɛl
audacioso,awdɐsjozu
achocolatava,ɐt͡ʃukulɐtabɐ
acometais,ɐkumɨtajʃ
vocábulo,bukabulu
sustento,suʃtẽtu
diminuição,diminwisɐ̃w̃
prólogo,pɾɔluɡu
aquele,akele
tristão,tɾiʃtɐ̃w̃
incubar,ĩkubaɾ
antiprazer,ɐ̃tipɾɐzeɾ
choverás,t͡ʃubɨɾaʃ
maceteara,mɐsɨtjaɾɐ
bufete,bufɛtɨ
crato,kɾatu
tungsténio,tũɡʃtɛnju
rouxinol,ʁowʃinɔl
leve,lɛbɨ
arbusto,ɐɾbuʃtu
resolver,ʁɨzɔlbeɾ
sinto,sĩtu
veleiro,vɨlejɾu
comanda,kumɐ̃dɐ
purifico,puɾifiku
altivez,altiveʃ
vértebra,bɛɾtɨbɾɐ
veneza,bɨnezɐ
acriticamente,ɐkɾitikɐmẽtɨ
reativo,ʁjatibu
pensilvânia,pẽsilbɐnjɐ
defluiu,dɨfluiw
clímene,klimɨnɨ
cavalos,kɐbaluʃ
grafómano,ɡɾɐfɔmɐnu
monólito,munɔlitu
se,sɨ
computaríamos,kõputɐɾiɐmuʃ
humilde,umildɨ
morre,mɔʁɨ
abarticular,ɐbɐɾtikulaɾ
baixando,bajʃɐ̃du
duende,dwẽdɨ
vinhão,biɲɐ̃w̃
multidão,multidɐ̃w̃
agami,ɐɡami
pus,puʃ
mover,mubeɾ
desconvidado,dɨʃkõvidadu
ludificar,ludifikaɾ
inato,inatu
recolha,ʁɨkoʎɐ
jamelão,ʒɐmɨlɐ̃w̃
gaspar,ɡɐʃpaɾ
pensoso,pẽsozu
agueis,ɐɡwejʃ
defecar,dɨfɨkaɾ
poltrona,poltɾonɐ
calassem,kɐlasɐ̃j̃
achocolatáveis,ɐt͡ʃukulɐtabejʃ
olaria,ɔlɐɾiɐ
tua,tuɐ
cantochão,kɐ̃tut͡ʃɐ̃w̃
reflexo,ʁɨflɛksu
maceteava,mɐsɨtjabɐ
sexualmente,sɛkswalmẽtɨ
gear,ʒjaɾ
abstratividade,ɐbʃtɾatibidadɨ
deodato,djudatu
cavalheirismo,kɐvɐʎɐjɾiʒmu
lisura,lizuɾɐ
baronesa,bɐɾunezɐ
maligno,mɐliɡnu
antierótico,ɐ̃tieɾɔtiku
site,sajtɨ
compreensão,kõpɾjẽsɐ̃w̃
nuvens,nuvɐ̃j̃ʃ
sobrejetivo,subɾɨʒɛtibu
desenfadado,dɨzẽfɐdadu
vaia,bajɐ
cometeria,kumɨtɨɾiɐ
atiçar,ɐtisaɾ
maragateado,mɐɾɐɡɐtjadu
expectativa,ejʃpɛktɐtibɐ
nau,naw
antirrubéola,ɐ̃tiʁubɛulɐ
atucanarei,ɐtukɐnɐɾɐj
valet,vɐlɛ
bojarda,buʒaɾdɐ
pornográfico,puɾnuɡɾafiku
fabricação,fɐbɾikɐsɐ̃w̃
embriaguez,ẽbɾiɐɡeʃ
mascará,mɐʃkɐɾa
fúria,fuɾjɐ
valete,valɛtɨ
detetados,dɨtɛtaduʃ
polícia,pulisjɐ
rapidinho,ʁɐpidiɲu
rastros,ʁaʃtɾuʃ
anfitrite,ɐ̃fitɾitɨ
surpreendido,suɾpɾiẽdidu
fruiteira,fɾujteɾɐ
gaivina,ɡajbinɐ
meará,mjɐɾa
conversível,kõvɨɾsivɛl
esqueleto,iʃkɨletu
muita,mũj̃tɐ
estiveste,iʃtivɛʃtɨ
catastrófico,kɐtɐʃtɾɔfiku
hórus,ɔɾuʃ
acometerias,ɐkumɨtɨɾiɐʃ
bélicos,bɛlikuʃ
viverá,bibɨɾa
eletronegativo,ilɛtɾɔnɨɡɐtibu
dvd,devede
roménia,ʁumɛnjɐ
estratigráficos,iʃtɾɐtiɡɾafikuʃ
afagar,ɐfɐɡaɾ
ensolarado,ẽsulɐɾadu
perguntei,pɨɾɡũtej
tocam,tɔkɐ̃w̃
experiência,ejʃpɨɾjẽsjɐ
praga,pɾaɡɐ
grileiro,ɡɾilejɾu
choveras,t͡ʃubeɾɐʃ
firmara,fiɾmaɾɐ
xarope,ʃɐɾɔpɨ
interesse,ĩtɾɛsɨ
aparecível,ɐpɐɾɨsibɛl
atuário,ɐtwaɾju
diatomáceo,djɐtumasju
taxímetro,tɐksimɨtɾu
mealheiro,mjɐʎejɾu
diversos,divɛɾsuʃ
pores,poɾɨʃ
monométricos,mɔnɔmɛtɾikuʃ
ordeiro,ɔɾdeɾu
cercear,sɨɾsjaɾ
dionísio,djunizju
desejarem,dɨzɨʒaɾɐ̃j̃
selénio,sɨlɛnju
crasso,kɾasu
inacabado,inɐkɐbadu
antimitocondrial,ɐ̃timitɔkõdɾjal
lavandaria,lɐbɐ̃dɐɾiɐ
gimnosperma,ʒimnɔʃpɛɾmɐ
chufamos,ʃufɐmuʃ
aeronavegabilidade,ɐɛɾɔnɐvɨɡɐbilidadɨ
beijoqueiro,bejʒukejɾu
antielitismo,ɐ̃tiɛlitiʒmu
houverdes,ovɛɾdɨʃ
duarte,dwaɾtɨ
ferrenha,fɨʁeɲɐ
batatinhas,bɐtɐtiɲɐʃ
politrópico,pɔlitɾɔpiku
indistintas,ĩdiʃtĩtɐʃ
semeadura,sɨmjɐduɾɐ
falou,fɐlow
antipoluição,ɐ̃tipulwisɐ̃w̃
anticorporação,ɐ̃tikuɾpuɾɐsɐ̃w̃
assembleia,ɐsẽblejɐ
admoestador,ɐdmwɨʃtɐdoɾ
ribeiro,ʁibejɾu
anuir,ɐnwiɾ
nua,nuɐ
colombo,kulõbu
ode,ɔdeɛ
patrão,pɐtɾɐ̃w̃
beringela,bɨɾĩʒɛlɐ
abrantes,ɐbɾɐ̃tɨʃ
exsurgir,eʃsuɾʒiɾ
vote,vɔtɨ
flartar,flɐɾtaɾ
hiperónimo,ipɛɾɔnimu
favoravelmente,fɐbuɾabɛlmẽtɨ
acharam,ɐt͡ʃaɾɐ̃w̃
barlavento,baɾlɐvẽtu
ubiratã,ubiɾɐtɐ̃
efetível,ifɛtibɛl
dais,dajʃ
distinguir,diʃtĩɡiɾ
impressora,ĩpɾɨsoɾɐ
astronomicamente,ɐʃtɾunɔmikɐmẽtɨ
abadia,ɐbɐdiɐ
projetor,pɾuʒɛtoɾ
geração,ʒɨɾɐsɐ̃w̃
anhara,ɐɲaɾɐ
abandonásseis,ɐbɐ̃dunasɐjʃ
número,numɨɾu
dêixis,deksiʃ
sincelo,sĩsɛlu
barre,baʁɨ
acercar,ɐsɨɾkaɾ
roçará,ʁusɐɾa
esparguete,iʃpaɾɡɛtɨ
irdes,iɾdɨʃ
anticorrelação,ɐ̃tikuʁɨlɐsɐ̃w̃
fechadas,fɨʃadɐʃ
incontrolavelmente,ĩkõtɾulavɛlmẽtɨ
massificar,mɐsifikaɾ
calculando,kalkulɐ̃du
nove,nɔvɨ
afluxo,ɐfluksu
gume,ɡumɨ
lírico,liɾiku
conseguir,kõsiɡiɹ
chamava,t͡ʃɐmabɐ
doutorado,dotuɾadu
contastes,kõtaʃtɨʃ
visitar,vɨzitaɾ
artista,ɐɾtiʃtɐ
houvésseis,owvɛsejʃ
artrómetro,ɐɾtɾɔmɨtɾu
detetaríamos,dɨtɛtɐɾiɐmuʃ
desuniforme,dɨzunifɔɾmɨ
abacaxizeiro,ɐbɐkɐʃizɐjɾu
formato,fuɾmatu
destrua,dɨʃtɾuɐ
cates,katɨʃ
vaiará,vajɐɾa
correio,kuʁeu
instalar,ĩʃtɐlaɾ
carmelitano,kɐɾmɨlitɐnu
menstrual,mẽʃtɾwal
mourinho,moɾiɲu
deiscência,dɐjʃsẽsjɐ
chufara,ʃufaɾɐ
xiismo,ʃjiʒmu
grândola,ɡɾɐ̃dulɐ
nervosos,nɨɾbɔzuʃ
deixamos,deʃɐmuʃ
cansável,kɐ̃savɛl
penhor,pɨɲoɾ
roçar,ʁusaɾ
grifar,ɡɾifaɾ
vi,vi
emprego,ẽpɾeɡu
quase,kwazɨ
embargo,ẽbaɾɡu
utilizável,utilizabɛl
pintada,pĩtadɐ
anápolis,ɐnapuliʃ
sóis,sɔjʃ
torneira,tuɾnɐjɾɐ
quim,kĩ
formidável,fuɾmidavɛl
rastejante,ʁɐʃtɨʒɐ̃tɨ
vascaínos,vɐʃkɐinuʃ
extenso,ɐjʃtẽsu
cessa,sɛsɐ
vieram,bjɛɾɐ̃w̃
bacano,bɐkɐnu
vinil,bɨnil
dinastia,dinaʃtia
recheio,ʁɨʃeju
oratório,ɔɾɐtɔɾju
vexará,bɨʃɐɾa
eletrobiologia,ilɛtɾɔbiuluʒiɐ
cometereis,kumɨtɨɾɐjʃ
antienvelhecimento,ɐ̃tiẽvɨʎɨsimẽtu
chufadas,t͡ʃufadɐʃ
bioquímica,biɔkimikɐ
lunar,lunaɾ
convéns,kõvɐ̃j̃ʃ
deletamento,dɨlɨtɐmẽtu
capacidade,kɐpɐsidadɨ
serva,sɛʁvɐ
amaral,ɐmɐɾal
cedida,sɨdidɐ
gonorreia,ɡunuʁejɐ
século,sɛkulu
sulfídrica,sulfidɾikɐ
antinormatividade,ɐ̃tinɔɾmɐtibidadɨ
drible,dɾiblɨ
náuticas,nawtikɐʃ
hamato,ɐmatu
eletrólise,ilɛtɾɔlizɨ
quimo,kimu
eneias,inɐjɐʃ
biométrico,bjɔmɛtɾiku
mobelha,mubɐjʎɐ
bunker,bũkɛɾ
anonimato,ɐnɔnimatu
caligráfico,kɐliɡɾafiku
cooperação,kupɨɾɐsɐ̃w̃
hipersónico,ipɛɾsɔniku
cantiga,kɐ̃tiɡɐ
pupunha,pupuɲɐ
ressalve,ʁɨsalbɨ
empecilho,ẽpɨsiʎu
descorado,dɨʃkɔɾadu
galinha,ɡɐliɲɐ
vassalo,bɐsalu
ajudas,ɐʒudɐʃ
estrangeiro,iʃtɾɐ̃ʒejɾu
piriri,piɾiɾi
recoletor,ʁɨkulɛtoɾ
utilizara,utilizaɾɐ
xanxerê,ʃɐ̃ʃɨɾe
bruscamente,bɾuʃkɐmẽtɨ
viríeis,viɾiejʃ
patogenia,patɔʒɨniɐ
maragateiem,mɐɾɐɡɐtejɐ̃j̃
pasteis,pɐʃteʃ
deduzir,dɨduziɾ
morfologia,muɾfuluʒiɐ
cúmplice,kũplisɨ
bruxulear,bɾuʃuljaɾ
pateta,pɐtɛtɐ
escova,iʃkobɐ
cassetete,kasɨtɛtɨ
detonado,dɨtunadu
vouzela,vowzɛlɐ
friorento,fɾjuɾẽtu
frango,fɾɐ̃ɡu
arresto,ɐʁɛʃtu
infiltração,ĩfiltɾɐsɐ̃w̃
bebé,bɛbɛ
ficaram,fikaɾɐ̃w̃
tépala,tɛpɐlɐ
nasceu,nɐʃsew
birrar,biʁaɾ
exalte,izaltɨ
ambrósio,ɐ̃bɾɔzju
fecho,fɛʃu
tingitano,tĩʒitɐnu
pugnar,puɡnaɾ
ferreiro,fɨʁejɾu
irrepreensível,iʁɨpɾiẽsivɛl
boco,boku
porcas,pɔɾkɐʃ
lentícula,lẽtikulɐ
balcão,balkɐ̃w̃
antiverbal,ɐ̃tibɨɾbal
gula,ɡulɐ
imortal,imuɾtal
glaciar,ɡlɐsjaɾ
releitura,ʁɨletuɾɐ
supérfluo,supɛɾfluu
líder,lidɛɾ
castelãos,kɐʃtɨlɐ̃w̃ʃ
abotoo,ɐbutowu
adventício,ɐdvẽtisju
verdadeiros,bɨɾdɐdejɾuʃ
celestial,sɨlɨʃtjal
pobre,pɔbɾɨ
mudança,mudɐ̃sɐ
expandir,ejʃpɐ̃diɾ
penitência,pɨnitẽsjɐ
obstruir,ɔbʃtɾuiɾ
cauane,kawɐnɨ
imbuiu,ĩbwiw
derrama,dɨʁɐmɐ
anticompetitividade,ɐ̃tikõpɨtitividadɨ
possêidon,pusedɔn
amerissagem,ɐmɨɾisaʒɐ̃j̃
víssemos,bisɨmuʃ
excecional,ɐjʃɛsjunal
iremos,iɾemuʃ
verbalmente,bɨɾbalmẽtɨ
reativar,ʁjatibaɾ
moerá,mwɨɾa
inexoravelmente,inɨzuɾavɛlmẽtɨ
valsará,balsɐɾa
dormideira,duɾmidɐjɾɐ
rejeito,ʁɨʒejtu
poveiro,pɔvɐjɾu
pegadinha,pɨɡɐdiɲɐ
niveladora,nibɨlɐdoɾɐ
hifenização,ifɨnizɐsɐ̃w̃
observar,ɔbsɛɦvah
pontuação,põtwɐsɐ̃w̃
perguntando,pɨɾɡũtɐ̃du
tavam,tabɐ̃w̃
altruísmo,altɾuiʒmu
percebe,pɨɾsebɨ
leptão,lɛptɐ̃w̃
minsk,mĩskɨ
exclamava,iʃklɐmavɐ
coletivizar,kulɛtivizaɾ
cerval,sɨɾval
miúdo,mjudu
artilharia,ɐɾtiʎɐɾiɐ
prima,pɾimɐ
abiótico,ɐbiɔtiku
edafologia,edɐfuluʒiɐ
antiqualha,ɐ̃tikwaʎɐ
divisares,dibizaɾɨʃ
acabo,ɐkabu
deixarei,deʃɐɾe
vesta,vɛʃtɐ
profana,pɾufɐnɐ
desgovernado,dɨʒɡubɨɾnadu
coifa,kojfɐ
acompanhante,ɐkõpɐɲɐ̃tɨ
abacaxis,ɐbɐkɐʃiʃ
descabido,dɨʃkɐbidu
falena,fɐlenɐ
pegou,pɨɡow
perfeitamente,pɨɾfɐjtɐmẽtɨ
mestra,mɛʃtɾɐ
saci,sɐsi
jamaicano,ʒɐmajkɐnu
valão,vɐlɐ̃w̃
feira,feɾɐ
graciosa,ɡɾɐsjɔzɐ
dareis,dɐɾejʃ
antifosfolipídico,ɐ̃tifɔʃfɔlipidiku
bebível,bɨbivɛl
pangeia,pɐ̃ʒɐjɐ
caldeirão,kaldeɾɐ̃w̃
ivone,ibɔnɨ
conseguirá,kõsɨɡiɾa
antiperiódico,ɐ̃tipɨɾjɔdiku
iglu,iɡlu
chovessem,t͡ʃubesɐ̃j̃
cangaceiro,kɐ̃ɡɐseɾu
zebrar,zɨbɾaɾ
ascenda,ɐʃsẽdɐ
corográficas,kuɾuɡɾafikɐʃ
estorno,iʃtoɾnu
vidraria,bidɾɐɾiɐ
lascivo,lɐʃsibu
resplandecentes,ʁɨʃplɐ̃dɨsẽtɨʃ
atirador,ɐtiɾɐdoɾ
decisivo,dɨsizibu
canal,kɐnal
carpir,kɐɾpiɾ
leitura,lɐjtuɾɐ
falua,fɐluɐ
gerardo,ʒɨɾaɾdu
cosmonauta,kɔʒmɔnawtɐ
futum,futũ
baderna,bɐdɛɾnɐ
cociente,kɔsjẽtɨ
alimentada,ɐlimẽtadɐ
chumbaram,t͡ʃũbaɾɐ̃w̃
daora,dɐɔɾɐ
amélia,ɐmɛljɐ
bolseiro,bolsɐjɾu
descendo,dɨʃẽdu
trisavôs,tɾizɐvoʃ
bicolores,bikuloɾɨʃ
pescará,pɨʃkɐɾa
argumentáveis,ɐɾɡumẽtavejʃ
blues,blus
orquestra,ɔɾkɛʃtɾɐ
minutar,minutaɾ
aleive,ɐlevɨ
onomasiologia,ɔnɔmɐzjuluʒiɐ
objetividade,ɔbʒɛtibidadɨ
alameda,ɐlɐmedɐ
esquerdar,iʃkɨɾdaɾ
candidatura,kɐ̃didɐtuɾɐ
criptococal,kɾiptɔkukal
descentralizar,dɨʃẽtɾɐlizaɾ
leitegadas,lejtɨɡadɐʃ
rococó,ʁɔkɔkɔ
levei,lɨve
eito,etu
aquileia,ɐkileɐ
velhice,vɛʎisɨ
avesso,ɐvesu
canarinho,kɐnɐɾiɲu
manada,mɐnadɐ
filar,filaɾ
elegíaco,ilɨʒiɐku
acetosa,ɐsɨtozɐ
intercessão,ĩtɨɾsɛsɐ̃w̃
calvície,kalvisji
antonomásia,ɐ̃tunumazjɐ
osteopático,ɔʃtjɔpatiku
colono,kulonu
sabia,sɐbiɐ
resfriado,ʁɨʃfɾjadu
artéria,ɐɾtɛɾjɐ
técnico,tɛkniku
limoeiro,limwejɾu
bouça,bowsɐ
atração,ɐtɾasɐ̃w̃
depurar,dɨpuɾaɾ
fofinho,fufiɲu
boiz,bwiʃ
asno,aʒnu
cuca,kukɐ
anticaos,ɐ̃tikawʃ
responsavelmente,ʁɨʃpõsabɛlmẽtɨ
viés,bjɛʃ
salgueiro,salɡeɾu
guisar,ɡizaɾ
aterro,ɐteʁu
zodiacal,zudjɐkal
excerto,iʃseɾtu
armanhaque,ɐɾmɐɲakɨ
encestar,ẽsɨʃtaɾ
conosco,kunoʃku
vieram,vjɛɾɐ̃w̃
comboio,kõbɔju
mauricinho,mawɾisiɲu
mensal,mẽsal
deslizar,dɨʒlizaɾ
velho,vɛʎu
insistir,ĩsiʃtiχ
étnico,ɛtniku
conflagração,kõflɐɡɾɐsɐ̃w̃
melhorada,mɨʎuɾadɐ
força,fɔɾsɐ
antigangues,ɐ̃tiɡɐ̃ɡɨʃ
antimeridiano,ɐ̃timɨɾidjɐnu
caneta,kɐnetɐ
fluência,flwẽsjɐ
vibrafone,bibɾɐfɔnɨ
vilos,biluʃ
vaporizador,bɐpuɾizɐdoɾ
agrícola,ɐɡɾikulɐ
reumatoide,ʁewmɐtɔjdɨ
acostar,ɐkuʃtaɾ
k,ka
transitivo,tɾɐ̃zitivu
desambição,dɨzɐ̃bisɐ̃w̃
baqueta,bɐketɐ
zurrara,zuʁaɾɐ
achocolataremos,ɐʃukulɐtɐɾemuʃ
tagalo,tɐɡalu
afundar,ɐfũdaɾ
vierdes,vjɛɾdɨʃ
trespassem,tɾɨʃpasɐ̃j̃
antirracionalismo,ɐ̃tiʁɐsjunɐliʒmu
antirraquítico,ɐ̃tiʁɐkitiku
antropometricamente,ɐ̃tɾɔpɔmɛtɾikɐmẽtɨ
alimentai,ɐlimẽtaj
moldávia,mɔldabjɐ
experiência,iʃpɨɾjẽsjɐ
ubíquo,ubikwu
eixo,ejʃu
argumentar,ɐɾɡumẽtaɾ
claque,klakɨ
usucapião,uzukɐpjɐ̃w̃
indicar,ĩdikaɾ
cabine,kabinɨ
fizera,fizɛɾɐ
esvaiu,iʒbɐiw
davi,dɐbi
havias,ɐbiɐʃ
brochar,bɾɔt͡ʃaɾ
violonista,bjuluniʃtɐ
crescer,kɾeseh
lacuna,lɐkunɐ
fábula,fabulɐ
antimiscigenação,ɐ̃timiʃiʒɨnɐsɐ̃w̃
chinelas,t͡ʃinɛlɐʃ
estavam,iʃtavɐ̃w̃
tu,tu
alice,ɐlisɨ
rã,ʁɐ̃
batem,batɐ̃j̃
aceitar,ɐsejtaɾ
descolagem,dɨʃkulaʒɐ̃j̃
estanhar,iʃtɐɲaɾ
decorativas,dɨkuɾɐtibɐʃ
jorge,ʒɔɾʒe
devolver,dɨbolbeɾ
corvos,kɔɾvuʃ
fechada,fɨt͡ʃadɐ
beicinho,bejsiɲu
equivocar,ekibukaɾ
fileira,filejɾɐ
subvencionar,subbẽsjunaɾ
moleiro,muleɾu
enrijecer,ẽʁiʒɨseɾ
efetivação,ifɛtivɐsɐ̃w̃
reinado,ʁɐjnadu
nessa,nɛsɐ
espécime,iʃpɛsimɨ
resultante,ʁɨzultɐ̃tɨ
cibe,sibɨ
prestará,pɾɨʃtɐɾa
cerveija,sɨɾvejʒɐ
domingueiro,dumĩɡejɾu
escolho,iʃkoʎu
fieira,fjeɾɐ
escapar,iʃkɐpaɾ
plínio,plinju
curva,kuɾvɐ
açougueiro,ɐsowɡejɾu
centroide,sẽtɾɔjdɨ
distintivo,dɨʃtĩtibu
terceto,tɨɾsetu
avariado,ɐbɐɾjadu
empolgante,ẽpolɡɐ̃tɨ
catámos,kɐtamuʃ
anfipático,ɐ̃fipatiku
timidamente,timidɐmẽtɨ
vasão,vɐzɐ̃w̃
biodiesel,biɔdizɛl
reunião,ʁjunjɐ̃w̃
crau,kɾaw
calmaria,kalmɐɾiɐ
garça,ɡaɾsɐ
sufocante,sufukɐ̃tɨ
abstraio,ɐbʃtɾaju
máxima,masimɐ
