coch,koːχ
ffonion,fɔnjɔn
deunawfed,dei̯nau̯vɛd
casach,kaːsaχ
phenderfynu,fɛndɛrvəni
anfynych,anvənɪχ
syniad,sənjad
ymfudwr,əmviːdʊr
pŵer,puːɛr
rhys,r̥iːs
disgwyl,dɪsɡʊi̯l
blin,bliːn
plastig,plasdɪɡ
rhwymiad,r̥ʊi̯mjad
ysgub,əsɡɪb
afreolaidd,avrɛoːlɛð
golwr,ɡɔlʊr
mhencampwriaethau,m̥ɛŋkampʊrjei̯θai̯
talwch,talʊχ
ngheffyl,ŋ̊ɛfɪl
paned,panɛd
ddarn,ðarn
gwlad,ɡwlaːd
bachan,baːχan
gât,ɡaːt
gweinyddiadau,ɡwei̯nəðjadɛ
peirianwaith,pei̯rjanwai̯θ
pei,pei̯
thafarn,θaːvarn
mothau,vɔθɛ
hunaniaeth,hɪnanjai̯θ
gyddfau,ɡəðvɛ
maen,mən
ngwanwyn,ŋwanwɪn
celen,kɛlɛn
ewinfedd,ɛu̯ɪnvɛð
adnodd,adnɔð
pedwerydd,pɛdweːrɪð
tôn,toːn
chusanau,χɪsanai̯
aromatherapi,arɔmaθɛrapi
pwll,puːɬ
arweinyddion,arwei̯nəðjɔn
flasus,vlasɪs
nawn,nau̯n
paneidiau,panei̯djai̯
chododd,χɔdɔð
gwella,ɡwɛɬa
thraeth,θrai̯θ
gobaith,ɡoːbaiθ
gor,ɡɔr
hyblynnau,həblənɛ
fenyw,vɛnɪu̯
rhiffio,r̥ɪfjɔ
ceni,keːni
ataf,atav
arddelw,arðɛl
banllawr,banɬau̯r
phei,fei
credyd,krɛdɪd
rhywbeth,rʊbɛθ
adferant,adveːrant
gwelen,ɡweːlɛn
nhegan,n̥eːɡan
theyrn,θei̯rn
warden,wardɛn
deall,diːaɬ
symudais,səmɪdɛs
amrywiadau,amrɪu̯jadɛ
ffrydio,frədjɔ
goror,ɡɔrɔr
myfanwy,məvaːnʊi̯
chydbreswylwyr,χiːdbrɛsʊi̯lwɪr
go,ɡoː
seleri,sɛlɛri
ngharchar,ŋ̊arχar
awyddau,au̯əðɛ
traethodau,trei̯θoːdɛ
chymru,χəmri
ebyrth,ɛbɪrθ
damwain,damwai̯n
ngwrando,ŋrandɔ
swllt,sʊɬd
siartiau,ʃartjɛ
farus,vaːrɪs
selerau,sɛleːrai̯
cytseiniaid,kətsei̯njai̯d
gorffennol,ɡɔrfɛnɔl
mywyd,mou̯ɪd
dwywaith,dʊi̯wai̯θ
iseldiraidd,ɪsɛldiːrai̯ð
chwaer,ʍaːr
gwahân,ɡwahaːn
hedyn,hɛdɪn
athro,aθrɔ
saint,sai̯nt
pe,peː
ych,iːχ
eosiaid,ɛɔsjai̯d
rhufain,r̥ɪvɛn
chadair,χaːdɛr
tegwch,tɛɡʊχ
söolegwyr,soːɔlɛɡwɪr
mlewyn,mlɛu̯ɪn
nghrist,ŋ̊rɪst
drwyn,drʊi̯n
arfodau,arvɔdai̯
chared,χaːrɛd
amrantiad,amrantjad
ymddeol,əmðeːɔl
eirwyn,ei̯rwɪn
mwyn,mʊi̯n
garddwr,ɡarðʊr
anafes,anaːvɛs
gynnar,ɡənar
ystiflogod,əsdɪfloːɡɔd
nhegell,n̥ɛɡɛɬ
garanod,ɡaraːnɔd
sgen,sɡɛn
anffawd,anfau̯d
dŷ,diː
crair,krai̯r
rheiddiau,r̥ei̯ðjai̯
pured,pɪrɛd
elusen,ɛlɪsɛn
gwyliedydd,ɡʊi̯ljeːdɪð
wragedd,raɡɛð
llywodraethu,ɬəu̯ɔdrei̯θi
nghadeiriau,ŋ̊adei̯rjɛ
anghenus,aŋhɛnɪs
abadau,abaːɛ
ryddid,rəðɪd
gwyddonias,ɡwɪðɔnjas
droch,droːχ
animeiddiadau,anɪmei̯ðjjaːdai̯
gnawn,ɡnau̯n
ngaeaf,ŋei̯av
hydoddi,hədoːði
thalo,θalɔ
ffliwt,flɪu̯t
gladdu,ɡlaði
ddolffin,ðɔlfɪn
trawsrywedd,trau̯srɪu̯ɛð
lysieuwyr,ləʃei̯wɪr
credant,krɛdant
brëyr,breːɪr
heisteddfodau,hei̯sdɛðvoːdɛ
doethaf,dɔi̯θav
codi,kɔdi
rhwydo,r̥ʊi̯dɔ
ffotograffiaeth,fɔtɔɡrafjɛθ
deallodd,dɪaɬɔð
phedwar,fɛdwar
pherthnasau,fɛrθnasɛ
tradwy,traːdʊi̯
nodi,nɔdi
acti,akti
cyfartalog,kəvartalɔɡ
hwnnw,hʊnu
timod,tɪmɔd
farn,varn
pymtheg,pəmθɛɡ
bronwen,brɔnwɛn
sgynnyn,sɡənɪn
cyfagos,kəvaːɡɔs
cobra,kɔbra
phwmpen,fʊmpɛn
crwban,kruːban
ÿ,iː
nhaliadau,n̥aljadɛ
habadau,habadai̯
dyrchafedig,dərχaveːdɪɡ
mhapur,m̥apɪr
paratôdd,paratoːð
chwilio,χwɪljɔ
arwerthiant,arwɛrθjant
godaist,ɡoːdai̯sd
delfryd,dɛlvrɪd
ganadiaid,ɡanadjai̯d
chweina,χwei̯na
gwobrau,ɡwɔbrai̯
cyfrwy,kəvrʊi̯
cymorth,kəmɔrθ
frenhines,vrɛnhɪnɛs
utganaf,ɪtɡanav
ceillgwd,keiɬɡʊd
asesu,asɛsi
beiriannwr,bei̯rjanʊr
tafarnwr,tavarnʊr
terfysgwr,tɛrvəsɡʊr
nrama,nrama
redaist,reːdɛsd
nghroatia,ŋ̊rɔaʃa
rownd,rɔu̯nd
rwber,rʊbɛr
welais,wɛlɛs
credo,kreːdɔ
peunesau,peɨ̯nɛsɛ
uniawn,ɪnjau̯n
banjo,band͡ʒɔ
teires,tei̯rɛs
sylw,sɪlu
siocledi,ʃɔkleːdi
amrannau,amranai̯
ngemau,ŋɛmɛ
dadleuon,dadlei̯ɔn
pheriw,fɛrɪu̯
gyfraith,ɡəvrai̯θ
gwynlas,ɡwɪnlas
deli,dɛli
maestref,meisdrɛv
isel,ɪʃɛl
disgybl,dɪsɡɪbl
clwyfau,klʊi̯vɛ
fynd,vɪnd
phen,fɛn
dyfarniadau,dəvarnjaːdai̯
pwysau,pʊi̯sai̯
rheda,r̥ɛda
ynghylch,əŋhɪlχ
anghlodau,aŋhlɔdɛ
croen,krɔi̯n
erlid,ɛrlɪd
saeson,sei̯sɔn
ne,neː
mhigau,m̥iːɡai̯
fecsico,vɛksɪkɔ
tawn,tau̯n
nhrefydd,n̥rɛvɪð
penderfynu,pɛndɛrvəni
tywodfaen,təu̯ɔdvai̯n
dylan,dəlan
chododd,χoːdɔð
edrydd,ɛdrɪð
chwedl,ʍɛdɛl
nghangen,ŋ̊aŋɛn
cwestiynau,kwɛsdjənai̯
bortiwgal,bɔrtɪu̯ɡal
cyfoethocaf,kəvɔi̯θɔkav
band,band
ysgariad,əsɡarjad
cyflym,kəvlɪm
achoedd,aːχɔi̯ð
pechu,peːχi
buddsoddi,bɪðsoːði
awyddau,au̯əðai̯
wellington,wɛlɪŋtən
oleuadau,ɔljaːdɛ
anlwcus,anlʊkɪs
angheuol,aŋhei̯ɔl
pafin,paːvɪn
arllwysaf,arɬʊi̯sav
twfalw,tʊvaːlu
ddisgynebau,ðɪsɡəneːbɛ
bromin,brɔmɪn
arwerthu,arwɛrθi
oedolyn,ɔi̯doːlɪn
gwyddonwyr,ɡwɪðɔnwɪr
daliad,daljad
moryn,mɔrɪn
dulyn,diːlɪn
â,aː
pencampwriaeth,pɛŋkampʊrjɛθ
gogleddol,ɡɔɡleːðɔl
twrci,tʊrki
llygota,ɬəɡɔta
bryniau,brənjai̯
symiau,səmjɛ
trenau,trɛnɛ
basen,bəsɛn
dor,dɔr
baeddu,bai̯ðɪ
llydanbigau,ɬədambɪɡɛ
rhufeinig,r̥ɪvei̯nɪɡ
frwsioch,vrʊʃɔχ
theimlo,θʊmlɔ
wresogi,wrɛsɔɡi
nglanach,ŋlanaχ
cryched,krəχɛd
faeddod,vei̯ðɔd
achydd,aːχɪð
adroddwr,adroːðʊr
parod,parɔd
lasach,lasaχ
pasiaf,paʃa
desgiau,dɛsɡjai̯
ewro,ɛu̯rɔ
parotach,parɔtaχ
phila,fɪla
elsem,ɛlsɛm
allan,aɬan
ffenest,fɛnɛsd
cynghanedd,kəŋhaːnɛð
ryfelwr,rəveːlʊr
epidemig,ɛpɪdɛmɪɡ
cowbois,kou̯bɔi̯z
mhopty,m̥ɔpti
peipen,pei̯pɛn
cyweirio,kəu̯ei̯rjɔ
canghennau,kaŋhɛnai̯
carent,karɛnt
arbenigo,arbɛnɪɡɔ
ffermiwm,fɛrmjʊm
canolwyr,kanɔlwɪr
ffrwchnedden,frʊχnɛðɛn
beis,beiz
galeted,ɡalɛtɛd
ymysg,əmɪsɡ
llyf,ɬiːv
gana,ɡaːna
nefaid,neːvai̯d
rhi,r̥iː
gwyddoniaeth,ɡwɪðɔnjɛθ
serch,sɛrχ
gwelet,ɡwɛlɛt
llysieuyn,ɬəsjei̯ɪn
ddilledyn,ðɪɬɛdɪn
haffniwm,hafnjʊm
mether,mɛθɛr
trowsusau,trou̯sɪsɛ
anwybyddu,anwɪbəði
chansen,χansɛn
mwyaren,mʊi̯aːrɛn
casglu,kasɡli
mharcio,m̥arkjɔ
groes,ɡroːs
mhaned,m̥aːnɛd
cosb,kɔsb
myrdd,mɪrð
bathodyn,baθɔdɪn
adolygiadau,adɔləɡjaːdɛ
geirda,ɡei̯rda
gwerthiant,ɡwɛrθjant
tirana,tɪraːna
werinwyr,wɛrɪnwɪr
cyntedd,kəntɛð
cydwelediad,kɪdwɛlɛdjad
cycyllog,kəkəɬɔɡ
cais,kai̯s
dorrid,dɔrɪd
anobeithiau,anɔbei̯θjai̯
mordwy,mɔrdʊi̯
dychwelyd,dəχweːlɪd
canolwr,kanɔlʊr
hel,hɛl
hiraeth,hiːrai̯θ
garit,ɡaːrɪt
adran,adran
buon,biːɔn
bordydd,bɔrdɪð
ystad,əsdad
dugoch,diːɡɔχ
rhiain,r̥iai̯n
doir,dɔi̯r
asgwrn,asɡʊrn
castanwydden,kasdanwɪðɛn
cofio,kɔvjɔ
rw,rʊ
chul,χiːl
arianrhod,arjanr̥ɔd
cadwyn,kadʊi̯n
siomedig,ʃɔmeːdɪɡ
lanc,laŋk
rhywle,r̥ɪu̯lɛ
ddigidau,ðɪɡɪdai̯
tatŵs,tatuːz
ymherodr,əmhɛrɔdr
gwg,ɡuːɡ
bryngaer,brɪŋɡai̯r
defaid,deːvɛd
lundain,lɪndai̯n
caron,kaːrɔn
wrando,rɪndɔ
dynladdiad,diːnlaðjad
ugain,iːɡɛn
asiad,asjad
gwych,ɡwiːχ
diogel,djoːɡɛl
ffyddlon,fəðlɔn
llawlyfr,ɬau̯ləvɪr
arholiad,arhɔljad
coes,koːs
baroted,barɔtɛd
gyllell,ɡɪɬɛθ
drannoeth,dranɔi̯θ
ddisgyn,ðɪsɡɪn
caethwas,kei̯θwas
corneli,kɔrnɛli
gwaethaf,ɡwei̯θa
hysbysfwrdd,həsbəsvʊrð
argraffiadol,arɡrafjaːdɔl
arnyn,arnɪn
archoll,arχɔɬ
mhigynnau,m̥ɪɡənɛ
cathau,kaθai̯
nhelynau,n̥ɛlənɛ
hardaloedd,hardaːlɔi̯ð
lluniaidd,ɬɨ̞njai̯ð
amgylch,amɡɪlχ
breifat,brei̯vat
ffeindiaf,fei̯ndjav
hanfon,hanvɔn
selsig,sɛlsɪɡ
gennyt,ɡɛnɪt
peiriannau,pei̯rjanɛ
degawd,dɛɡau̯d
stemars,sdeːmarz
syflyd,səvlɪd
pothellog,pɔθɛɬɔɡ
cicio,kɪkjɔ
nghaledu,ŋ̊alɛdi
mhryf,m̥riːv
pumed,pɪmɛd
tros,trɔs
enillir,ɛnɪɬɪr
cydbwysedd,kɪdbʊi̯sɛð
sglodyn,sɡloːdɪn
enw,eːnu
phroblemau,frɔblɛmɛ
cyfddydd,kəvðɪð
byrlymau,bərləmai̯
trengholiadau,trɛŋhɔljadɛ
laeth,laːθ
gwŷl,ɡwiːl
gweddïo,ɡwɛðiːɔ
corfflunwyr,kɔrflɪnwɪr
amhenodol,amhɛnɔdɔl
nghyfraith,ŋ̊əvrɛθ
theimlad,θei̯mlad
gwisgo,ɡwɪsɡɔ
hunaniaeth,hiːnanjɛθ
nglân,ŋlaːn
adardy,adardi
mherlau,m̥ɛrlɛ
chacen,χakɛn
ffrindiau,frindjai̯
anwes,anwɛs
prinned,prɪnɛd
dylet,dəlɛt
ithfaen,ɪθvai̯n
addfwyn,aðvʊi̯n
gwydden,ɡwɪðɛn
traethu,trei̯θi
cyẅres,kəʊrɛs
cyfalafiaeth,kəvalavjɛθ
sinsir,sɪnsɪr
beichiogrwydd,bei̯χjɔɡrʊi̯ð
miloedd,mɪlɔi̯ð
penblethau,pɛmblɛθai̯
copa,kɔpa
tharw,θaru
drwchus,drʊχɪs
athrawes,aθrau̯ɛs
mheriw,m̥ɛrɪu̯
oherwydd,ɔhɛrwɪð
poeth,pɔi̯θ
gwarchod,ɡwarχɔd
ngwddwg,ŋuːðuɡ
milwr,miːlʊr
syrthio,sərθjɔ
braich,brai̯χ
esgaladur,ɛsɡalaːdɪr
ameba,amɛba
yn,ən
eithaf,ei̯θav
rhedais,r̥eːdai̯s
rhosyn,r̥ɔsɪn
brad,braːd
glöyn,ɡloːɪn
twf,tuːv
caron,karɔn
ddeallon,ðɛaɬɔn
esgus,ɛsɡɪs
cwynion,kʊi̯njɔn
gefnogi,ɡɛvnɔɡi
hinon,hɪnɔn
thwymyn,θʊi̯mɪn
cerwyn,keːrui̯n
tryferu,trəvɛri
diwyd,dɪu̯ɪd
weddi,weːði
prynhawniau,prɪnhau̯njɛ
camdreiglo,kamdrei̯ɡlɔ
disgwyl,dɪsɡʊl
unedau,ɪneːdai̯
arwain,arwai̯n
nigid,niːɡɪd
ffeindio,fei̯ndjɔ
ffrio,friːɔ
corwg,kɔrʊɡ
gwneud,nei̯d
plannu,plani
peidio,piːdɔ
priodas,prɪoːdas
addolgar,aðɔlɡar
mair,mai̯r
gelynion,ɡɛlənjɔn
habadaeth,habaːdai̯θ
ngâl,ŋaːl
dannedd,danɛð
unit,ɪnɪt
afuau,aviːai̯
cynaeafu,kniavi
ffenestri,fɛnɛsdri
symiau,səmjai̯
talai,talai̯
achwyniadau,aχʊi̯njaːdɛ
nysgu,nəsɡi
metelegwr,mɛtɛlɛɡʊr
cefnogi,kɛvnɔɡi
gapel,ɡapɛl
talon,talɔn
pryfed,prəvɛd
ngwiwerod,ŋwɪu̯ɛrɔd
ffi,fiː
saws,sau̯s
dyrysu,dərəsi
nhwthau,n̥ʊθai̯
rhedais,r̥ɛdɛs
ddere,ðɛrɛ
sgìl,sɡɪl
gwahanol,ɡwaːnɔl
adfeiliad,advei̯ljad
prynhawniau,prənau̯njɛ
hwyaid,hʊi̯ai̯d
tudalennau,tɪdalɛnai̯
anghanfyddadwy,aŋhanvəðadʊi̯
dwfn,dʊvn
chaled,χaːlɛd
anghenion,aŋhɛnjɔn
mhecyn,m̥ɛkɪn
rhynionyn,r̥ənjoːnɪn
canes,kaːnɛs
myth,miːθ
cherrig,χɛrɪɡ
dalet,dalɛt
gawn,ɡau̯n
fechan,veːχan
troes,trɔi̯s
cyplysnod,kəpləsnɔd
teipiadur,tei̯pjaːdɪr
gydag,daɡ
chwys,χwiːs
llefydd,ɬeːvɪð
cwis,kwɪs
hufen,hiːvɛn
garnau,ɡarnai̯
cyfle,kəvlɛ
adaregydd,adareːɡɪð
bondigrybwyll,bɔndɪɡrəbʊi̯ɬ
ymrafael,əmravɛl
siswrn,sɪʃʊn
bywydeg,bəu̯ədɛɡ
symudaist,səmiːdai̯sd
anghytûn,aŋhətiːn
gardd,ɡarð
dyddiadau,dəðjaːdai̯
absennau,absɛnɛ
corff,kɔrf
ngharu,ŋ̊aːri
cofiant,kɔvjant
mudoledd,mɪdɔlɛð
marchogaeth,marχoːɡɛθ
nghneuen,ŋ̊nei̯ɛn
delet,dɛlɛt
ofnadwy,ɔvnaːdʊi̯
cloi,klɔi̯
glanaf,ɡlaːnav
habatiroedd,habatɪrɔi̯ð
unwaith,ɪnwai̯θ
siopa,ʃɔpa
cysgaf,kəsɡav
heddluoedd,hɛðliːɔi̯ð
ffensiau,fɛnʃai̯
choginiodd,χɔɡɪnjɔð
hymenyn,həmeːnɪn
ysglodyn,əsɡloːdɪn
symbol,sɪmbɔl
afalau,avaːlai̯
gorchmynnol,ɡɔrχmənɔl
ffarm,farm
nghyfaill,ŋ̊əvai̯ɬ
losin,loːʃɪn
nwyon,nʊi̯ɔn
llythyrennau,ɬəθərɛnɛ
nofio,nɔvjɔ
bleiddiaid,blei̯ðjai̯d
scandiwm,sɡandjʊm
chain,χai̯n
adferiedydd,advɛrjeːdɪð
dyfi,dəvi
cosbau,kɔsbɛ
mewnforiadwy,mɛu̯nvɔrjaːdʊi̯
gwryw,ɡuːrɪu̯
codwch,kɔdʊχ
heibio,hei̯bjɔ
ddesgiau,ðɛsɡjai̯
marchog,marχɔɡ
darllenaf,darɬɛnav
chochlas,χɔχlas
thelyn,θeːlɪn
sefydlog,sɛvədlɔɡ
melyngoch,mɛləŋɡɔχ
farchnad,varχnad
pweru,puɛri
benywaidd,bɛnəu̯ɛð
nal,nal
afiechyd,avjeːχɪd
fforch,fɔrχ
danfon,danvɔn
dei,dei̯
weriniaeth,wɛrɪnjɛθ
gwan,ɡwan
ngeni,ŋɛni
gofalus,ɡɔvaːlɪs
rhedaist,r̥ɛdɛsd
phedrannu,fɛdrani
sancteiddio,saŋktei̯ðjɔ
goddef,ɡoːðɛ
hydrogen,hɪdrɔɡɛn
negfed,nɛɡvɛd
swigen,swɪɡɛn
ugeinfed,ɪɡei̯nvɛd
toddyf,toːðɪv
docyn,dɔkɪn
cydweithredwr,kiːdwei̯θrɛdʊr
gŵyr,ɡʊi̯r
thawe,θau̯ɛ
bipa,bɪpa
cyfnodolyn,kəvnɔdoːlɪn
crasu,krasi
cachet,kaχɛt
gyfoethog,ɡəvɔi̯θɔɡ
lin,liːn
cherir,χeːrɪr
beirniad,bei̯rnjad
godais,ɡɔdai̯s
medi,mɛdi
piod,piːɔd
mynydd,mənɪð
cristnogaeth,krɪsdnoːɡɛθ
colli,kɔɬi
amherffaith,am̥hɛrfai̯θ
ydy,ɔdi
lliwio,ɬɪu̯jɔ
tenau,teːnɛ
afanc,aːvaŋk
pabell,paːbɛɬ
gwyddau,ɡʊi̯ðai̯
gwymon,ɡʊi̯mɔn
dryw,drɪu̯
llonyddwch,ɬɔnəðʊχ
colur,kɔlɪr
siwmperi,ʃʊmpɛri
bencampwriaeth,bɛŋkampʊrjɛθ
deugain,dei̯ɡai̯n
bencampwriaeth,bɛŋkampʊrjai̯θ
hebogiaid,hɛbɔɡjai̯d
ngheisio,ŋ̊ei̯sjɔ
afon,aːvɔn
habadaeth,habaːdɛθ
flodau,vloːdɛ
gwahanu,ɡwahaːni
effeithiol,ɛfei̯θjɔl
ffroenuchel,frɔi̯nɪχɛl
bila,bɪla
munudau,mɪnɪdɛ
cyfraith,kəvrɛθ
tybaco,təbakɔ
adawed,adau̯ɛd
rhagenw,r̥aɡeːnu
perchen,pɛrχɛn
archseren,arχsɛrɛn
bobl,bɔbɔl
athen,aθɛn
fudr,viːdɪr
chefnfor,χɛvɛnvɔr
defnyddwyr,dɛvnəðwɪr
charai,χarai̯
ngardd,ŋarð
cymylu,kəməli
troseddu,trɔseːði
gofal,ɡoːval
haniaeth,hanjai̯θ
glŷn,ɡliːn
cyflafareddwr,kəvlavareːðʊr
achubwr,aχiːbʊr
rheiddyn,r̥ei̯ðin
ffordd,fɔrð
pwyslais,pʊi̯slai̯s
chowbois,χou̯bɔi̯z
edmygu,edməɡi
samariwm,samarjʊm
tawelwch,tweːlʊχ
corgwn,kɔrɡʊn
digoni,dɪɡoːni
gynnes,ɡənɛs
oni,ɔni
taranau,taranai̯
llwyn,ɬʊi̯n
phabell,fabɛɬ
syrjeris,sərd͡ʒəriz
dysgleidiau,dɪsɡlei̯djai̯
ymadael,əmaːdɛl
sant,sant
osod,ɔsɔd
timoedd,tɪmɔð
priodi,prɪoːdi
bid,biːd
û,iː
arwydd,arwɪð
sin,siːn
calenigion,kalɛnɪɡjɔn
nghyfnither,ŋ̊əvniːθɛr
darluniad,darlɪnjad
ü,iː
dynleiddiad,diːnlei̯ðjad
entrychion,ɛntrəχjɔn
moscofium,mɔsɡɔvjʊm
asio,asjɔ
sgiwen,sɡiu̯ɛn
ailosod,ai̯lɔsɔd
nant,nant
nghodi,ŋ̊ɔdi
eglurdeb,ɛɡlɪrdɛb
gogledd,ɡɔɡlɛð
dylwn,dəlʊn
orwedd,ɔrwɛð
dedwydd,dɛdʊi̯ð
arwain,arwɛn
raser,rasɛr
llychlyn,ɬəχlɪn
galwedigaethau,ɡalwɛdɪɡei̯θɛ
seminar,sɛmɪnar
cyfoethogion,kəvɔi̯θɔɡjɔn
ohirio,ɔhɪrjɔ
bopty,bɔpti
thrafod,θraːvɔd
mrathu,mraθi
sosej,sɔsɛd͡ʒ
chynffon,χənfɔn
tecwyn,tɛkwɪn
groatia,ɡrɔaʃa
cristnogaeth,krɪsdnɔɡai̯θ
gimbill,ɡɪmbɪɬ
lladdwr,ɬaðʊr
efallai,vaɬɛ
delynores,dɛlənoːrɛs
dafarnwr,davarnʊr
cyrn,kɪrn
hogiau,hɔɡjai̯
garen,ɡarɛn
gloan,ɡloːan
planhigyn,planhiːɡɪn
codais,koːdai̯s
èff,ɛf
timau,tiːmɛ
trwynoli,trʊi̯noːli
cryf,kriːv
ysmygwyr,əsməɡwɪr
anweddu,anwɛði
amrywiad,amrɪu̯jad
mwcws,mʊkʊs
cowyll,kɔu̯ɪɬ
eidionyn,ei̯djɔnɪn
mhwtan,mʊtaːn
ceisio,kei̯ʃɔ
cybydd,kəbɪð
protestiadau,prɔtɛsdjaːdɛ
fyrdd,vɪrð
dewis,dɛu̯iʃ
thorrent,θɔrɛnt
darn,darn
nghladdu,ŋ̊laði
elych,eːlɪχ
adlefau,adlɛvɛ
achubwyr,aχɪbwɪr
teganau,tɛɡaːnai̯
halmanaciau,almanakjɛ
rhai,r̥ai̯
adferaf,advɛrav
chara,χara
elid,ɛlɪd
garafán,ɡaravan
llinynnau,ɬɪnənai̯
caethon,kei̯θɔn
ymwelwr,əmwɛlʊr
niweidiol,nɪu̯ei̯djɔl
dychryniadau,dəχrənjaːdɛ
llythrennedd,ɬəθrɛnɛð
thalais,θaːlai̯s
allweddell,aɬweːðɛɬ
cryndod,krəndɔd
ngafr,ŋavar
basgrwth,basɡrʊθ
hafod,haːvɔd
ysgrifen,sɡrɪvɛn
cilddant,kɪlðant
anghydwelediad,aŋhɪdwɛlɛdjad
dois,dɔi̯s
dwfr,dʊvr
dyner,dənɛr
cynghori,kəŋhoːri
sgwariau,sɡwarjɛ
priodas,prjɔdas
mhryfed,m̥rəvɛd
pethau,pɛθɛ
brifo,brɪvɔ
nghowboi,ŋ̊ou̯bɔi̯
gwenu,ɡwɛni
ysgadenyn,əsɡadɛnɪn
haddysgu,haðəsɡi
oedi,ɔi̯di
pibydd,pɪbɪð
cledr,klɛdɛr
ngwain,ŋwai̯n
cronni,krɔni
astudiaeth,asdɪdjɛθ
wylanod,ʊi̯lanɔd
bachau,baːχɛ
caret,karɛt
telais,teːlai̯s
athletau,aθlɛtai̯
rhwyllau,r̥ʊi̯ɬai̯
rhatach,r͈aːtaχ
afalau,avaːlɛ
cipio,kɪpjɔ
ysgafnhad,əsɡavnhaːd
taid,tai̯d
mhartïon,m̥artiːɔn
baswn,basʊn
neidio,nei̯dɔ
tybiwyd,təbjʊi̯d
dyfeiswraig,dəvei̯swrai̯ɡ
styfnig,sdəvnɪɡ
aeledau,ei̯leːdɛ
iselderau,ɪsɛldeːrɛ
ymosod,əmɔsɔd
ffraeo,frei̯ɔ
cyfartaledd,kəvartaːlɛð
brech,breːχ
nghytgan,ŋ̊ətɡan
hirgron,hɪrɡrɔn
athrawon,aθrau̯ɔn
cleddyf,kleːðɪv
cyfreithwyr,kəvrei̯θwɪr
pedrannu,pɛdrani
datysen,datəsɛn
lloegr,ɬɔi̯ɡr
belarws,bɛlarʊs
deifio,dei̯vjɔ
seisnig,sei̯snɪɡ
byd,biːd
bricyll,brɪkɪɬ
lwyd,lʊi̯d
erbiwm,ɛrbjʊm
bychain,bəχɛn
ife,ɪvɛ
neu,nei̯
anian,anjan
darllenoch,darɬɛnɔχ
lleisio,ɬei̯sjɔ
gwyar,ɡʊi̯ar
gwefr,ɡwɛvr
gwagedd,ɡwaːɡɛð
bin,biːn
animeiddiwr,anɪmei̯ðjʊr
dderwen,ðɛrwɛn
tryferu,trəveːri
nghofio,ŋ̊ɔvjɔ
caint,kai̯nt
nulyn,niːlɪn
rheoliadau,r̥ɛɔljaːdai̯
bachgennyn,baχɡɛnɪn
llundain,ɬɪndɛn
deli,deːli
angen,aŋɛn
arosfa,arɔsva
thrown,θrou̯n
ofyn,oːvɪn
atgenhedlu,atɡɛnhɛdli
ffurfiol,fɪrvjɔl
metho,mɛθɔ
freuddwydio,vrei̯ðʊi̯djɔ
byrlymu,bərləmi
chrwth,χruːθ
cari,kaːri
ieuan,jei̯an
gwyddonydd,ɡwɪðɔnɪð
rwyfau,rʊi̯vai̯
rhifau,r̥iːvɛ
digwyddiad,dɪɡʊi̯ðjad
arwynebedd,arʊi̯neːbɛð
asesiad,asɛsjad
mefusen,mɛvɪsɛn
ofalus,ɔvalɪs
beudai,beɨ̯dai̯
mwyalchen,mui̯alχɛn
maharen,mahaːrɛn
ceiliog,kei̯ljɔɡ
byth,bɪθ
rhyddfarn,r̥əðvarn
cyferbynnedd,kəvɛrbənɛð
niwlen,nɪu̯lɛn
pwys,pʊi̯s
ddeuddegfed,ðei̯ðɛɡvɛd
coffi,kɔfi
tân,taːn
bonheddig,bɔnheːðɪɡ
anuniongyrchol,anɪnjɔŋɡərχɔl
rhwyllau,r̥ʊi̯ɬɛ
hirsgwariau,hɪrsɡwarjɛ
rhegen,r̥eːɡɛn
ngwddf,ŋuːðu
twngsten,tʊŋsdɛn
ogystal,ɔɡəstal
hyrddod,hərðɔd
ddaethon,ðei̯θɔn
gwäell,ɡwaːɛɬ
golombia,ɡɔlɔmbja
gambodiaidd,ɡambɔdjɛð
glwth,ɡluːθ
pabell,pabɛɬ
lestair,lɛsdai̯r
rhod,r̥oːd
cwerylgar,kwɛrəlɡar
cyflogi,kəvloːɡi
daethpwyd,dei̯θpʊi̯d
offerynnau,ɔfɛrənai̯
achyddiaeth,aχəðjai̯θ
heliwm,hɛljʊm
anwybodus,anʊi̯bɔdɪs
wair,wai̯r
pwllheli,pʊɬhɛli
awgrymiad,au̯ɡrəmjad
llong,ɬɔŋ
cysgodluniau,kəsɡɔdlɪnjɛ
garai,ɡaːrai̯
twitter,twɪtər
cwerylon,kwɛrəlɔn
egwyddor,ɛɡʊi̯ðɔr
phoeth,fɔi̯θ
barcio,barkɔ
mrecwast,mrɛkwast
pastai,pasdai̯
unig,iːnɪɡ
cyfrifwr,kəvrɪvʊr
llythrennau,ɬəθrɛnai̯
hynafol,hənavɔl
goleudy,ɡɔlei̯di
mhoptai,m̥ɔptai̯
daled,dalɛd
plymer,pləmɛr
llysiau,ɬɪʃɛ
gyrraedd,ɡərɛð
atodiadau,atɔdjaːdai̯
soddi,soːði
ffêr,feːr
cochlas,kɔχlas
ymrafael,əmraːvai̯l
ymgeisydd,əmɡei̯sɪð
clust,klɪsd
chwythaf,hʊθa
cefnau,kɛvnɛ
sebon,sɛbɔn
troedfawr,troːdvou̯r
cyfatebiaethau,kəvatɛbjei̯θɛ
elw,ɛlu
