interpretares,intərpɾətaɾəs
alleugerat,əʎəwʒəɾat
llíssera,ʎiseɾa
abordaria,əburdəɾiə
tastet,təstɛt
ocorregudes,ukurəɡudəs
encomanades,ənkomənadəs
catifa,katifa
guarida,ɡwaɾida
encarcarat,ənkərkəɾat
exasperada,eɡzaspeɾada
afalagats,əfələɡats
hevea,əvɛə
excepcional,əksəpsiunal
caixabanc,kəʃəbaŋ
impartits,impaɾtits
digne,diɡnə
fossilització,fosilizasio
gregal,ɡɾeɡal
codificats,kodifikats
numerari,numəɾaɾi
evolucionada,evolusionada
ressortir,resoɾtiɾ
farinós,faɾinos
arrelada,ərəladə
solidaris,solidaɾis
sap,sap
atomitzades,ətomid͡zadəs
alineada,əlineadə
ingressada,inɡɾesada
lo,lo
globalitzat,ɡlobəlid͡zat
indici,indisi
asolellat,azoleʎat
recança,rəkansə
negada,nəɡadə
vulnerada,vulneɾada
deformitat,defoɾmitat
sor,so
guarida,ɡwəɾidə
llac,ʎak
trinxades,tɾiɲt͡ʃades
emancipada,əmənsipadə
marejada,maɾed͡ʒada
udol,udɔl
denotaries,dənotəɾiəs
lamentares,ləməntaɾəs
deterioració,deteɾioɾasio
cavalls,kəbaʎs
esvarada,əzbəɾadə
delicades,delikades
enterro,entɛro
saturem,sətuɾəm
empelt,əmpɛl
serpent,sərpen
arpejat,əɾpəʒat
ficar,fika
abaixaran,əbəʃəɾan
rialleta,riaʎeta
aula,awlə
escarit,əskəɾit
comandaran,koməndəɾan
avivar,əviva
artificiós,aɾtifisios
esventrar,əzvəntɾa
peninsular,pəninsula
perforats,pərfuɾats
diplomada,diplomada
exigits,əɡziʒits
guilleume,ɡiʎɛwmə
centralitats,sentɾalitats
aidades,əjdadəs
argumentares,əɾɡuməntaɾəs
aclarits,aklaɾits
erigits,eɾid͡ʒits
putatiu,putatiw
tot,tot
secant,səkant
ambientades,ambientades
desafecto,dəzəfɛkto
ponxera,poɲʃeɾə
felines,fəlinəs
retinacle,retinakle
comptabilitat,kumtəbilitat
ferms,fəɾms
titella,titeʎə
microprocessador,mikɾupɾusəsədo
condemnades,kondemnades
acurades,əkuɾadəs
soler,solə
resat,rezat
abreviaria,abɾeviaɾia
abaixaríem,əbəʃəɾiəm
animós,animos
esdevingudes,ezdevinɡudes
invent,imben
brúixola,bɾuʃolə
centralitzacions,səntɾəlid͡zəsions
galvanitzar,ɡalvanizaɾ
colpista,kulpistə
clapades,kləpadəs
carnudes,kaɾnudes
capcot,kapkot
penegal,pənəɡal
bombó,bombo
enllaçada,əɲʎəsadə
llistar,ʎistaɾ
ubicades,ubikadəs
acaia,əkajə
aromer,əɾume
dinamitades,dinəmitadəs
superposada,supəɾpozadə
carles,karləs
provinguda,pɾovinɡudə
protegir,pɾutəʒi
cruiximent,kɾuʃimen
ejaculat,əʒəkulat
accionari,aksionaɾi
malaquita,mələkitə
advocar,əbbuka
justina,ʒustinə
paralítiques,paɾalitikes
correspondre,kurəspɔndɾə
rovellol,rubəʎɔl
pebrotera,pebɾoteɾa
ruixats,rujʃats
afectives,əfəktibəs
escorranc,əskuraŋ
esquerre,əskɛrə
llegits,ʎəʒits
laborada,laboɾada
contemporanis,kontempoɾanis
tensió,tənsio
insistir,insisti
nadats,nadats
oblidosa,oblidozə
inescrutable,inəskɾutablə
filtracions,filtɾəsions
calcanis,kalkanis
subjecte,subʒɛktə
parcials,pərsials
puritanes,puɾitanes
balustres,balustɾes
extensibles,ekstensibles
escoltades,əskoltadəs
sacrifica,səkɾifikə
grata,ɡɾata
escalivar,əskəliva
merder,məɾde
balbotejar,bəlbutəʒa
malvera,məlveɾə
encorreguts,ənkurəɡuts
atleta,alleta
esverat,əzbəɾat
aliatge,əliad͡ʒə
suportat,supurtat
farinós,fəɾinos
considerades,kunsidəɾadəs
donzella,dunzeʎə
furibund,fuɾibun
cansalada,kənsəladə
gelaria,ʒələɾiə
alfabetitzats,alfabetizats
curva,kuɾvə
prepuci,pɾəpusi
riera,rieɾə
psicoanalític,psikuənəlitik
verrim,bərim
menstruació,mənstɾuəsio
muls,muls
argelers,aɾd͡ʒeleɾs
deformar,dəfoɾma
recordades,rəkurdadəs
aclaparador,aklapaɾadoɾ
balí,bali
genoll,d͡ʒenoʎ
montse,monsə
periodísticament,pəɾiudistikəmen
trencar,tɾənka
gravar,ɡɾavaɾ
suggeriment,sud͡ʒəɾiment
escoltat,eskoltat
escombrada,əskumbɾadə
fuet,fuət
abuso,əbuzu
declarares,deklaɾaɾes
amputat,əmputat
estructurar,əstɾuktuɾa
afilar,əfila
oliera,olieɾa
urgit,urʒit
monumental,munuməntal
esplandit,esplandit
impresos,impɾəzos
relaxar,rələksa
venjades,veɲd͡ʒades
femat,femat
procrastinada,pɾukɾəstinadə
agnosticisme,aɡnostisizme
implicada,implikadə
falsificar,falsifikaɾ
antífona,əntifunə
gafarró,ɡafaro
falleba,fəʎebə
quitats,kitats
valorats,bəluɾats
espernetec,espeɾnetek
advocat,ədbukat
marta,martə
glioblastomes,ɡliubləstoməs
sorgits,soɾd͡ʒits
refugi,rəfuʒi
quadruplicats,kwadɾuplikats
enganxar,ənɡəɲʃa
englobats,enɡlobats
tennista,tennista
esbotzada,əzbud͡zadə
esmenada,əzmənadə
escalivar,eskalivaɾ
pentagonals,pentaɡonals
bresquilla,bɾeskiʎa
cigonya,siɡoɲə
maletí,maleti
estadístic,estadistik
togoleses,toɡoləzəs
ficares,fikaɾəs
abraçares,abɾasaɾes
malaies,məlajəs
pirosi,piɾɔzi
pronosticat,pɾunustikat
maquillat,məkiʎat
ofegades,ofeɡades
nitrós,nitɾos
abateu,abatɛw
reservades,rezeɾvades
prematura,pɾematuɾa
ígnia,iɡniə
butlla,bulla
hidrant,idɾan
optats,uptats
acostumava,akostumava
lligades,ʎiɡades
carbonitzades,kəɾbonid͡zadəs
desautoritzats,dəzəwtuɾid͡zats
ponentí,punənti
document,dukumen
vans,bans
encamisar,ənkəmiza
badades,bədadəs
concorregut,kunkurəɡut
eixamplades,ejʃamplades
fallit,fəʎit
reviure,rəbiwɾə
caragol,kəɾəɡɔl
implicada,implikada
operats,upəɾats
merceritzar,meɾseɾizaɾ
seleccionades,seleksionades
barbacoa,baɾbakoa
formulació,foɾmulasio
comprensible,kompɾənsiblə
esgarrar,əzɡəra
vesprejar,vəspɾəʒa
rapinyaire,rəpiɲajɾə
internet,intərnɛt
esquela,eskɛla
bergant,beɾɡant
redactar,rədəkta
siracusa,siɾəkuzə
admirable,əmmiɾablə
malai,malaj
dentuts,dəntuts
departida,depaɾtida
corser,koɾse
apanyar,əpəɲa
conjunció,koɲd͡ʒunsio
bresquilla,bɾəskiʎə
serrada,serada
malferida,məlfəɾidə
bellreguard,bəʎɾəɡwaɾt
perla,pɛrlə
irritant,iritant
sintonitzades,sintonizades
sopor,sopo
lladella,ʎədeʎə
guatllot,ɡwallɔt
carabassó,kaɾabaso
mosquitera,moskiteɾa
argues,arɡəs
meua,mewə
adscriure,atskɾiwɾe
destinares,dəstinaɾəs
taló,təlo
popularitat,populaɾitat
cappare,kəppaɾə
reptar,reptaɾ
captivitat,kəptivitat
congelades,koɲd͡ʒelades
comercialitzat,koməɾsiəlid͡zat
desunit,dəzunit
jurar,d͡ʒuɾaɾ
hiperventilades,ipeɾventilades
esquimal,əskimal
xafarotejada,t͡ʃafaɾoted͡ʒada
armistici,aɾmistisi
adulacions,əduləsions
bolxevisme,boʎt͡ʃevizme
amens,əmɛns
antimicrobianes,antimikɾobianes
terroritzats,teroɾizats
escletxa,əsklet͡ʃə
setanta,sətantə
tendals,tendals
abordatges,əburdad͡ʒəs
morra,morə
rondinades,rundinadəs
triangulars,tɾiənɡulas
cometa,komətə
fumatge,fumad͡ʒe
conspirats,kunspiɾats
pixapins,piʃəpins
pontet,pontet
orquestrar,oɾkestɾaɾ
rearrencats,rearenkats
dramatitzar,dɾəmətid͡za
denotant,denotant
consultar,kunsulta
esponjats,espoɲd͡ʒats
ballarina,bəʎəɾinə
lluitat,ʎujtat
foradar,foɾadaɾ
atraient,atɾajent
edificació,edifikasio
alimentacions,əliməntəsions
clot,klɔt
investides,imvəstidəs
osteosarcoma,ustəuzərkomə
falguereta,fəlɡəɾətə
portentosos,poɾtentozos
naixement,nəʃəmen
viarany,biəɾaɲ
exhalades,əɡzəladəs
oradors,oɾədos
transparent,tɾanspaɾent
globalitzar,ɡlubəlid͡za
actualitzats,əktuəlid͡zats
vulcanitzats,bulkənid͡zats
compensat,kompənsat
evaporat,əbəpuɾat
cercava,səɾkavə
xanca,t͡ʃanka
proximitat,pɾoksimitat
compromesa,kompɾomeza
llevantí,ʎəbənti
monoplataforma,monoplatafoɾma
anatomia,ənətumiə
matriarcals,matɾiaɾkals
amaguem,əməɡɛm
alegrs,alets
ormeig,urmɛt͡ʃ
pebrot,pebɾɔt
menorquí,mənurki
preventiva,pɾəvəntivə
translitero,tɾənzliteɾu
cossi,kɔsi
finalitzada,finəlid͡zadə
francesc,fɾansesk
rinoceront,rinosəɾɔnt
refets,rəfɛts
mastegat,masteɡat
olimp,olimp
oriol,uɾiɔl
commemorats,kumməmuɾats
disfrutar,disfɾutaɾ
enllaunats,eɲʎawnats
insegura,inseɡuɾa
salva,salbə
entendre,əntendɾə
volada,volada
peregrinades,pəɾəɡɾinadəs
contreure,kontɾɛwɾe
aiguafort,əjɡwəfɔrt
progressada,pɾoɡɾesada
arrapat,ərəpat
hermenéutica,eɾmenewtika
lateralitzar,lətəɾəlid͡za
carlí,kərli
cimera,simeɾə
bolet,bulɛt
momificada,momifikada
digitalitzats,diʒitəlid͡zats
centau,sentaw
milfulls,milfuʎs
delegades,deleɡades
secundina,sekundina
adiades,adiades
efectisme,efektizme
lucrat,lukɾat
abuso,abuzo
reclamats,rəkləmats
revelada,rəvəladə
ensaginar,ensad͡ʒinaɾ
cianur,sianuɾ
retallats,rətəʎats
bruta,bɾuta
eviti,əbiti
laboriós,ləbuɾios
avantatjats,əbəntəd͡ʒats
clamar,kləma
trasplantament,tɾasplantament
exportat,ekspoɾtat
contraatacades,kontɾəətəkadəs
escurçades,eskuɾsades
pleta,pleta
vírica,viɾika
congoixa,konɡoʃə
vibrats,bibɾats
entretinguts,entɾetinɡuts
evacuada,əvəkuadə
aplicable,əplikablə
comprar,kompɾa
caragol,kaɾaɡɔl
espet,espet
titulem,titulɛm
capítols,kəpitols
embogida,embod͡ʒida
blanda,blanda
analitzada,ənəlid͡zadə
disposar,dispoza
adoraria,əduɾəɾiə
opac,upak
tabard,təbaɾt
alquímica,alkimika
pandora,pandoɾa
cardinal,kəɾdinal
especulativa,espekulativa
alimentant,alimentant
efectiva,efektiva
llavons,ʎavɔns
sinistres,sinistɾes
post,pɔst
xuclador,ʃuklədo
carpat,kərpat
vibració,vibɾasio
femta,fəmtə
quadrar,kwədɾa
inaplicable,inəplikablə
predominades,pɾəduminadəs
estacarem,əstəkəɾɛm
tallar,taʎaɾ
sovintejar,sovintəʒa
odiós,odios
llargarut,ʎəɾɡəɾut
farcir,faɾsiɾ
retenir,rətəni
adquisicions,ətkizisions
citologia,situluʒiə
nacionalitzada,nasionalizada
alçapremar,alsapɾemaɾ
corea,kuɾeə
tancada,tənkadə
tristor,tɾistoɾ
professionalitzades,pɾofesionalizades
mamari,mamaɾi
automatitzat,awtomatizat
canemuixa,kanemujʃa
sardanista,sərdənistə
perit,pəɾit
solucionat,sulusiunat
guipúscoa,ɡipuskuə
alades,alades
hamburg,ambuɾk
migrar,miɡɾa
armem,ərmɛm
antagonistes,əntəɡunistəs
humitejades,umitəʒadəs
metodologia,metodolod͡ʒia
blanqueig,blənkət͡ʃ
ventrut,bəntɾut
condemnats,kondəmnats
tardança,tərdansə
suprem,supɾɛm
diverticle,divəɾtiklə
solar,sula
poguda,poɡuda
incondicional,inkundisiunal
destacat,dəstəkat
mamífer,məmifə
luxemburgueses,luksəmburɡɛzəs
desconcertades,deskonseɾtades
votaria,votaɾia
derrota,derɔta
excitació,əksitəsio
celeste,səlestə
nadal,nadal
venceria,venseɾia
casulla,kazuʎa
sarg,saɾk
procés,pɾuses
paperer,papeɾeɾ
explicativa,əksplikətibə
servil,seɾvil
estricta,əstɾiktə
vetades,vetades
engrut,enɡɾut
cabines,kabines
hipocorístic,ipokoɾistik
nadar,nadaɾ
postulat,pustulat
afavorits,afavoɾits
muntanyoses,muntəɲozəs
carnavalesc,kəɾnəvələsk
colecistectomia,kuləsistəktumiə
apresa,əpɾɛzə
computem,kumputɛm
bifaç,bifas
cullo,kuʎu
significarem,siɡnifikəɾəm
revirar,rəviɾa
barreig,baret͡ʃ
voivoda,vojvɔda
solcat,sulkat
instrumentació,instɾumentasio
protactini,pɾutəktini
denotes,dənɔtəs
disposes,dispɔzəs
raciocinacions,rasiosinasions
vori,vɔɾi
marítim,maɾitim
criticables,kɾitikabləs
immigrant,immiɡɾan
anguiló,ənɡilo
premia,pɾemia
melanesi,mələnɛzi
estadant,əstədant
venjar,bəɲʒa
sona,sɔna
bato,bato
segons,səɡons
silenciat,silensiat
esglaiades,ezɡlajades
sagnant,saɡnant
apurem,apuɾem
exacerbat,əɡzəsəɾbat
vaticinades,bətisinadəs
lexicalitzar,ləksikəlid͡za
beneficies,bənəfisiəs
dissociats,disusiats
bast,bast
prolongades,pɾulunɡadəs
pressupostar,pɾəsuposta
banc,baŋ
gregori,ɡɾeɡɔɾi
arbitrar,aɾbitɾaɾ
llibreter,ʎibɾəte
xirivia,ʃiɾibiə
enteses,əntəzəs
casarem,kəzəɾɛm
titubades,titubadəs
menstruada,mənstɾuadə
xafar,t͡ʃafaɾ
perseverança,peɾseveɾansa
sebaci,sebasi
omplert,umplɛrt
istanbul,istəmbul
castedat,kastedat
converso,komvɛɾso
solfatara,solfətaɾə
boira,bɔjɾa
simultani,simultani
orografies,oɾoɡɾafies
lliga,ʎiɡə
aspersió,əspərsio
exagerar,eɡzad͡ʒeɾaɾ
adiposa,adipoza
impossibilitats,imposibilitats
roinar,rojnaɾ
diagramar,diəɡɾəma
assajant,əsəʒan
altrament,əltɾəment
felibre,fəlibɾə
mussa,musa
lassa,lasa
vistiplau,vistiplaw
figuro,fiɡuɾo
plagiada,pləʒiadə
acomiadada,əkumiədadə
esclatats,esklatats
xocats,t͡ʃokats
canto,kantu
cometes,komətəs
huité,wite
botifler,butifle
compactats,kompaktats
fatimita,fatimita
derivat,deɾivat
votant,butan
recerca,rəsɛrkə
recolzat,rekolzat
pedalejar,pədələʒa
assolible,asolible
rememorar,rəməmoɾa
emperadriu,əmpəɾədɾiw
raspat,rəspat
enze,ɛnzə
turbó,turbo
japó,d͡ʒapo
empalmada,əmpəlmadə
complicava,komplikavə
caiguts,kəjɡuts
incontrolada,inkuntɾuladə
aplegar,apleɡaɾ
cosines,kozines
groller,ɡɾoʎe
taumaturga,təwməturɡə
compensació,kompensasio
preventiva,pɾeventiva
atall,ətaʎ
becada,bekada
apreciar,əpɾəsia
femo,femu
fenc,fɛŋ
enyorat,əɲoɾat
cavalla,kəbaʎə
amputar,əmputa
tomaca,tomaka
suport,supɔrt
movedís,movedis
clavecí,kləvəsi
apurem,əpuɾɛm
fredolic,fɾədulik
descendir,desendiɾ
inutilitzar,inutilid͡za
albera,əlbeɾə
tori,tɔɾi
vertebrada,veɾtebɾada
augmentant,awɡmentant
profetitzat,pɾofetizat
ferroll,fəroʎ
llei,ʎej
ampliats,ampliats
aletejar,aleted͡ʒaɾ
mística,mistikə
consultada,kunsultadə
llorenç,ʎoɾɛns
poblat,publat
recapitulacions,rekapitulasions
subalternar,subalteɾnaɾ
amplificar,əmplifika
confeccionat,kumfəksiunat
xarbot,ʃəɾbɔt
pena,pɛnə
metatars,mətətas
opinar,opina
tortura,turtuɾə
baldragues,bəldɾaɡəs
mústiga,mustiɡa
enclavar,ənkləba
aquell,akeʎ
selectiu,sələktiw
momificació,mumifikəsio
narrat,nərat
parlats,paɾlats
periquitos,peɾikitos
cloració,kloɾasio
brandats,bɾandats
alarmistes,ələɾmistəs
esverada,əzvəɾadə
conteniments,kontənimens
fermenta,fəɾmentə
assetjat,əsəd͡ʒat
pagesia,pad͡ʒezia
sentenciada,sentensiada
rotlle,rɔʎʎə
reprotxar,repɾot͡ʃaɾ
paralític,paɾalitik
derrapar,derapaɾ
alternativa,əltərnətibə
quantificades,kwəntifikadəs
avaria,əvəɾiə
desfet,dəsfɛt
biscaia,biskajə
sinagoga,sinəɡoɡə
qualque,kwalkə
mig,mit͡ʃ
autovia,əwtubiə
jutgessa,ʒud͡ʒɛsə
roncats,ronkats
miolada,miuladə
plaqueta,pləkətə
enteniment,enteniment
tardades,taɾdades
garbí,ɡəɾbi
exigu,eɡziɡu
remenades,rəmənadəs
reflexió,rəfləksio
cuinada,kujnada
confiscades,komfiskadəs
doblegats,dobləɡats
aforisme,əfuɾizmə
debut,dəbut
excretar,əkskɾəta
canana,kanana
floricol,floɾikɔl
aromar,aɾomaɾ
revelats,revelats
illa,iʎa
causats,kawzats
ambientats,əmbiəntats
escandalosos,əskəndəlozos
vorer,buɾe
afillar,afiʎaɾ
fruit,fɾujt
antifaç,əntifas
significava,siɡnifikava
apadrinar,apadɾinaɾ
normalitzada,noɾmalizada
motoritzat,motoɾizat
culturalment,kultuɾəlmen
censuro,sensuɾo
ensalada,ensalada
corrent,korent
condimentar,kondimentaɾ
abecedaris,abesedaɾis
papar,papaɾ
artifici,əɾtifisi
cames,kames
desmantellada,dəzməntəʎadə
rabassut,rəbəsut
enfonsades,emfonzades
vociferar,busifəɾa
parles,paɾləs
maletí,mələti
profanació,pɾofanasio
espanyolitzar,əspəɲolid͡za
confessió,kumfəsio
període,peɾiode
criança,kɾiansə
empatats,empatats
bestiesa,bəstiəzə
despreniment,dəspɾənimen
comunicats,kumunikats
ruandesos,ruəndɛzus
acudires,akudiɾes
llavador,ʎəbədo
corifeu,kuɾifɛw
fragilitat,fɾad͡ʒilitat
beca,bɛkə
pedrada,pədɾadə
cintura,sintuɾa
jerarquia,d͡ʒeɾaɾkia
sucre,sukɾe
destí,desti
actualitzat,aktualizat
caravana,kəɾəvanə
garantiu,ɡaɾantiw
aiguat,ajɡwat
clapes,klapes
alçant,alsant
transbordador,tɾənzboɾdədo
marejat,maɾed͡ʒat
egipci,əʒipsi
apartada,əpəɾtadə
kaó,kəo
teologia,teolod͡ʒia
encarnades,ənkəɾnadəs
estanteria,əstəntəɾiə
comprometí,kompɾoməti
tamboret,təmboɾət
conradís,konradis
camerino,kəməɾino
esternudats,esteɾnudats
ganiveta,ɡaniveta
adalil,adalil
lapidar,ləpida
regularitzar,reɡulaɾizaɾ
ensopegat,ənsopəɡat
encantats,ənkəntats
calb,kalp
psicopatologia,psikupətuluʒiə
capdavall,kəbdəvaʎ
timonera,timuneɾə
encongides,enkoɲd͡ʒides
antologia,əntuluʒiə
por,po
roja,rɔʒə
descendides,dəsəndidəs
dansats,dansats
fraterns,fɾətɛɾns
impartir,impəɾti
normativitzar,noɾmətivid͡za
disputes,disputəs
morrejar,mored͡ʒaɾ
nicenes,nisɛnəs
vives,vives
robí,rubi
vexats,vəʃats
coclear,kuklea
amari,əmaɾi
heretge,eɾed͡ʒe
profundament,pɾufundəmen
vehiculares,veikulaɾes
malvenuda,məlvənudə
efectives,əfəktibəs
inhalar,inəla
absents,əpsens
recobrats,rekobɾats
precisi,pɾəsizi
cúmul,kumul
gestionada,d͡ʒestionada
desertar,dezeɾtaɾ
enrogallar,enroɡaʎaɾ
aplaudides,əpləwdidəs
xava,t͡ʃava
mensual,mensual
criteris,kɾitɛɾis
rossos,rosos
camaleó,kamaleo
alier,əlie
navarreses,navarezes
gresolera,ɡɾəzuleɾə
esternudada,əstərnudadə
compartir,kumpərti
esfilagarsada,əsfiləɡəɾsadə
vinculat,binkulat
cuidat,kujdat
insurreccionats,insureksionats
lleterassa,ʎətəɾasə
curri,kuri
petricó,pətɾiko
girientorn,ʒiɾiəntorn
afaitats,əfəjtats
microorganisme,mikɾooɾɡənizmə
bustos,bustos
almanco,əlmanko
senyoreta,səɲoɾətə
catalana,katalana
consideracions,konsideɾasions
crusant,kɾuzant
inserció,insəɾsio
coquet,koket
guineuer,ɡineweɾ
flirtar,fliɾta
estiuejat,əstiwəʒat
pregat,pɾəɡat
degoteig,deɡotet͡ʃ
qualificació,kwalifikasio
cínamom,sinəmum
prefix,pɾəfiks
afeblida,afeblida
desagregada,dəzəɡɾəɡadə
quedar,kəda
anotacions,ənutəsions
blanquiella,blənkieʎə
truco,tɾuku
antecedit,antesedit
assequible,əsəkiblə
documentalista,dukuməntəlistə
elamita,elamita
protector,pɾutəkto
octals,oktals
enrunar,ənruna
arabitzada,əɾəbid͡zadə
figurada,fiɡuɾada
balancera,balanseɾa
blenera,bleneɾa
parcial,pəɾsial
siguin,siɡin
ganyota,ɡaɲɔta
luxemburg,luksembuɾk
perquisició,peɾkizisio
tres,tɾes
apartats,əpəɾtats
guix,ɡiʃ
desvinculat,dezvinkulat
dempeus,dəmpɛws
discapacitat,diskapasitat
visitades,bizitadəs
kuwait,kubajt
calguer,kalɡeɾ
saboga,səbɔɡə
carxofera,kaɾt͡ʃofeɾa
contrafet,kɔntɾafet
domtada,domtadə
capgirar,kəbʒiɾa
productora,pɾuduktoɾə
sensibles,sənsibləs
afilades,afilades
destarotar,dəstəɾuta
auguris,awɡuɾis
alarmisme,ələrmizmə
patologista,pətoluʒistə
divertides,diveɾtides
emportada,empoɾtada
pestell,pestɛʎ
irregularitat,irəɡuləɾitat
inestables,inəstabləs
fracturat,fɾəktuɾat
aprimades,apɾimades
coccions,koksions
detectivesca,detektiveska
trillar,tɾiʎa
batejar,bated͡ʒaɾ
recurs,rəkurs
desestabilitzada,dezestabilizada
disposada,dispozadə
capits,kəpits
dormida,durmidə
protactini,pɾotaktini
terciaris,təɾsiaɾis
catalana,kətəlanə
telefoni,tələfɔni
concisa,konsiza
llavador,ʎəvədo
cales,kaləs
valent,bəlen
fumat,fumat
liorna,lioɾnə
emmagatzemar,əmməɡəd͡zəma
nominalitzats,nominəlid͡zats
elaborarem,ələboɾəɾəm
plaquejar,plaked͡ʒaɾ
mobiliari,mubiliaɾi
xebronet,t͡ʃebɾonet
jesús,d͡ʒezus
sarró,saro
alfons,əlfons
evaporació,əbəpuɾəsio
militaritzar,militəɾid͡za
bloquejades,blukəʒadəs
enquestada,ənkəstadə
gates,ɡatəs
venós,bənos
barbudes,baɾbudes
sacrificaria,sakɾifikaɾia
serrall,səraʎ
babaua,babawa
comunicaria,kumunikəɾiə
retir,rəti
diferenciats,difeɾensiats
esquitxar,eskit͡ʃaɾ
pacte,pakte
bisexuals,biseʃuals
corrompuda,korumpudə
orelluda,uɾəʎudə
recaptats,rekaptats
motlle,mɔllə
compra,kompɾə
puntada,puntada
dir,di
amina,əminə
afores,əfɔɾəs
sondrollar,sundɾuʎa
hibernada,ibəɾnadə
consentits,kunsəntits
codificares,kudifikaɾəs
tornavís,toɾnavis
amarant,əməɾan
paulí,pawli
motiva,mutivə
renovables,rənovabləs
esbarriar,ezbariaɾ
colpejat,kolped͡ʒat
inquietats,inkietats
xiular,t͡ʃiwlaɾ
sensual,sensual
becvermell,bɛɡbərmɛʎ
atenuada,ətənuadə
adient,ədient
factoria,faktoɾia
rosegat,rozeɡat
tendenciosos,təndənsiozus
ocorregut,okoreɡut
barbuts,baɾbuts
provinguts,pɾubinɡuts
turkmenistan,turɡmənistan
agenollar,ad͡ʒenoʎaɾ
xipollejat,ʃipoʎəʒat
nodrissa,nodɾisa
mendelevi,məndəlɛvi
confraternitzacions,komfɾətəɾnid͡zəsions
majoritari,məʒuɾitaɾi
aprimada,əpɾimadə
benvolguts,bəmbulɡuts
argues,aɾɡəs
aclarides,aklaɾides
ionitzat,junid͡zat
barrella,bəreʎə
feble,feblə
vegem,bəʒem
taurí,tawɾi
intimar,intima
gaies,ɡajəs
inflació,imfləsio
emeses,emezes
explotador,əksplutədo
caputxí,kəput͡ʃi
goeses,ɡoezes
intervingut,intəɾvinɡut
fressa,fɾəsə
moscarda,muskardə
estomacat,əstoməkat
badoc,bədɔk
oferta,ofɛɾtə
estesa,əstəzə
compactat,kompəktat
fotovoltaica,fotovoltajkə
arrecerar,areseɾaɾ
contem,kuntɛm
fabrico,fəbɾiko
lleteries,ʎətəɾiəs
fetitxe,fətit͡ʃə
fongs,foŋs
perjudicial,pəɾʒudisial
gaudides,ɡəwdidəs
esgatinyat,əzɡətiɲat
acomodar,əkomoda
defenestració,dəfənəstɾəsio
excursionista,əkskursiunistə
adiríem,ədiɾiəm
espurnejar,əspurnəʒa
puritanes,puɾitanəs
alimentació,alimentasio
raonament,raonament
predicat,pɾədikat
sala,salə
xilografia,ksiloɡɾəfiə
manesos,manezos
fanalera,fanaleɾa
condemnada,kondemnada
temuts,təmuts
afectives,afektives
jull,d͡ʒuʎ
principals,pɾinsipals
fecundats,fekundats
solades,suladəs
sesta,sestə
tanmateix,tammatejʃ
encastar,enkastaɾ
embrutats,embɾutats
carnisseries,kəɾnisəɾiəs
ruanda,ruandə
vacat,bəkat
consolar,konsola
atacar,ətəka
ingredient,inɡɾedient
onomatopeic,unumətupɛjk
estirades,estiɾades
geologia,ʒəoluʒiə
resina,rezina
horta,ɔrtə
assaltats,əsəltats
rodanxa,rodaɲʃə
anticipis,antisipis
mocador,mokadoɾ
esguerro,əzɡɛru
espigat,espiɡat
algues,alɡes
rebaixar,rəbəʃa
foradats,foɾadats
barbada,baɾbada
refinat,rəfinat
mortificat,moɾtifikat
drama,dɾama
elxana,əʎʃanə
rebregar,rəbɾəɡa
aprenentatge,əpɾənəntad͡ʒə
conflictes,komfliktes
mosquet,muskɛt
fogassa,foɡasə
reiniciat,rejnisiat
demorar,dəmuɾa
temporada,təmpoɾadə
siamesa,siəmɛzə
caldejats,kəldəʒats
venciment,vənsiment
illegible,iʎed͡ʒible
raspallada,raspaʎada
annexió,anneksio
vulnerabilitat,vulnəɾəbilitat
orfe,ɔrfə
premsar,pɾəmsa
cosina,kozina
amperímetre,ampeɾimetɾe
desmarcat,dezmaɾkat
persistida,pəɾsistidə
garantires,ɡəɾəntiɾəs
metastatitzat,metastatizat
sona,sɔnə
pestilencial,pestilensial
munyit,muɲit
conservacions,kunsərbəsions
escumar,eskumaɾ
caviar,kəvia
fornejat,furnəʒat
complicaria,komplikəɾiə
armoll,aɾmɔʎ
atracció,ətɾəksio
enamorada,ənəmoɾadə
moixonet,moʃonət
eixarrancar,ejʃarankaɾ
apartar,əpərta
aleta,əlɛtə
peluts,peluts
jugar,ʒuɡa
compactada,kompaktada
gesticular,ʒəstikula
aconsellada,əkonsəʎadə
vilipendiar,vilipəndia
punides,punides
plovisqueig,ploviskət͡ʃ
polititzats,politid͡zats
erms,eɾms
boscúria,buskuɾiə
geneta,ʒənətə
ronronejada,ronronəʒadə
afamar,afamaɾ
tenebra,tənebɾə
infravalorar,imfɾəbəluɾa
convex,komvɛks
guadalajara,ɡwadalad͡ʒaɾa
sacrificades,səkɾifikadəs
arreu,ərəw
titulares,titulaɾes
espasme,əspazmə
absorció,apsoɾsio
tremolar,tɾemolaɾ
salmó,salmo
permissió,pəɾmisio
dany,daɲ
destinada,destinada
indicatius,indikətiws
flirtar,flirta
tocaria,tukəɾiə
braçats,bɾəsats
destrossada,dəstɾusadə
formatiu,foɾmatiw
disfressar,disfɾəsa
pervertir,pərbərti
confraternització,komfɾateɾnizasio
assajar,əsəʒa
fluctuada,fluktuada
acariciat,akaɾisiat
domador,domadoɾ
necessitar,nəsəsita
dessecar,dəsəka
sexar,seksaɾ
manifestació,manifestasio
admira,admiɾa
arrugues,əruɡəs
meravellós,məɾəvəʎos
irrevocable,irevokable
idiotisme,idiotizme
retorçats,retoɾsats
